training_domain,val_loss_arxiv,val_loss_freelaw,val_loss_pubmed_central,val_loss_wikipedia_en,val_loss_dm_mathematics,val_loss_github,val_loss_stackexchange,val_loss_gutenberg_pg_19,val_loss_pile_cc,val_loss_ubuntu_irc,val_loss_hackernews,val_loss_pubmed_abstracts,val_loss_uspto_backgrounds,mean_transfer_loss
arxiv,2.3109,5.8974,5.3343,6.2295,4.9225,6.1695,5.8374,5.8323,6.1348,7.1561,5.8749,5.8878,5.5277,5.6242
freelaw,6.3014,2.67,6.0845,6.1603,4.7627,6.3962,6.127,5.3418,5.8928,7.3812,5.5736,6.0817,5.5404,5.7164
nih_exporter,7.0374,1.4315,1.5727,4.4631,0.0732,2.1919,2.7568,4.5065,4.5469,4.1718,4.2973,1.034,4.8769,3.3046
pubmed_central,4.8961,5.8065,2.8619,6.1296,4.716,6.4461,6.0739,5.9628,6.025,7.5347,5.8789,4.5906,5.3326,5.5581
wikipedia_en,5.785,5.2568,5.4975,3.4482,4.4312,6.0683,5.8058,5.2981,5.3327,7.2265,5.5508,5.6572,5.2978,5.4351
dm_mathematics,4.8338,5.2744,5.3996,6.3217,-13.3451,5.2883,5.5562,5.8479,6.0139,7.2385,5.5184,5.5815,5.2493,4.2137
github,5.8985,6.1617,6.074,6.4751,4.6866,2.7372,4.5949,6.0178,6.2342,6.9453,5.7272,6.4148,5.9621,5.6869
philpapers,0.6755,1.6033,1.4059,2.2459,-5.001,-1.4328,0.4703,3.6118,4.3252,-2.4896,4.2009,3.3048,2.6307,1.1962
stackexchange,4.3797,6.1249,5.6913,6.237,3.868,4.041,2.9914,5.7816,5.8848,6.9042,5.3312,6.0974,5.6236,5.3043
enron_emails,8.8368,-0.7964,10.5145,3.3062,-11.9646,-5.736,0.3369,1.1413,2.1198,-9.1128,0.057,5.6221,8.1503,0.9596
gutenberg_pg_19,5.2652,5.107,5.5599,5.7266,3.6899,5.6476,5.6252,2.4317,5.5243,6.7157,5.1794,5.6376,5.4446,5.1965
pile_cc,5.9115,5.0653,6.1288,5.3545,4.8139,5.9624,5.6226,5.0199,4.816,6.9231,4.9824,5.6799,5.1992,5.4984
ubuntu_irc,4.2932,5.1082,4.0021,5.9395,1.7463,2.91,3.8553,5.4517,5.1701,-11.4508,4.5548,5.6297,5.5707,3.2908
europarl,3.3949,4.8607,2.2287,5.1316,3.5238,4.5643,4.6055,5.1773,5.542,1.8943,5.5186,5.041,4.1792,4.2817
hackernews,5.16,3.5445,4.3786,5.1823,0.8818,3.4675,3.3136,3.7754,4.5953,4.4209,-2.7346,5.394,5.2133,3.584
pubmed_abstracts,5.1366,5.7567,4.3798,6.0482,4.7315,5.3947,5.3982,5.6978,5.8513,7.232,5.553,2.6567,4.7938,5.2793
uspto_backgrounds,5.6144,5.7188,5.1422,6.0781,4.5778,5.9828,5.7292,5.9092,5.9155,6.9833,5.661,5.116,2.3952,5.448
