返航余量（%）,水平能耗率倍率,目标优先策略,总架次,总能耗（kWh）,累计作业时间（s）,代表方案集中非支配
20.0,1.0,架次优先,18,59.23198592446156,32777.29117378634,是
20.0,1.0,能耗优先,19,59.13394063942671,34445.31150835551,是
20.0,1.0,时间优先,18,59.23198592446156,32777.29117378634,是
10.0,1.0,架次优先,18,59.23198592446156,32777.29117378634,是
10.0,1.0,能耗优先,19,59.13394063942671,34445.31150835551,是
10.0,1.0,时间优先,18,59.23198592446156,32777.29117378634,是
15.0,1.0,架次优先,18,59.23198592446156,32777.29117378634,是
15.0,1.0,能耗优先,19,59.13394063942671,34445.31150835551,是
15.0,1.0,时间优先,18,59.23198592446156,32777.29117378634,是
25.0,1.0,架次优先,19,61.18140067935332,34571.06360983421,是
25.0,1.0,能耗优先,21,60.973279725392786,37917.44332503132,是
25.0,1.0,时间优先,19,61.27311108028108,34565.06360983421,是
30.0,1.0,架次优先,20,67.3494393357804,36595.6398526065,是
30.0,1.0,能耗优先,26,66.63711525551874,46508.91301408157,是
30.0,1.0,时间优先,20,67.3494393357804,36595.6398526065,是
20.0,0.8,架次优先,18,47.89490760897958,32777.29117378634,是
20.0,0.8,能耗优先,19,47.8322617837445,34445.31150835551,是
20.0,0.8,时间优先,18,47.89490760897958,32777.29117378634,是
20.0,1.2,架次优先,20,88.76774768239319,36928.7730170759,是
20.0,1.2,能耗优先,28,84.1544045705089,50058.486850781555,是
20.0,1.2,时间优先,20,88.76774768239319,36928.7730170759,是
