site,aircraft,reserve_fraction,max_safe_payload_kg,route_distance_m,cruise_altitude_m,empty_round_trip_energy_kwh,max_payload_round_trip_energy_kwh,empty_round_trip_feasible
S001,A,0.2,25.0,3063.411326288906,273.0566101074219,1.1649100946018893,1.3165122674842529,True
S001,B,0.2,30.0,3063.411326288906,273.0566101074219,0.9329079662820075,1.2776290042236256,True
S001,C,0.2,80.0,3063.411326288906,273.0566101074219,1.9471695293351448,3.090851368702457,True
S002,A,0.2,25.0,7435.278518338766,308.9542541503906,2.7483947309171373,3.1001263328328905,True
S002,B,0.2,30.0,7435.278518338766,308.9542541503906,2.190938722103745,3.00814858852008,True
S002,C,0.2,68.55430084833452,7435.278518338766,308.9542541503906,4.647148054937269,6.4,True
S003,A,0.2,25.0,7261.075570364676,561.8041381835938,2.7880952690429117,3.1559037328528228,True
S003,B,0.2,30.0,7261.075570364676,561.8041381835938,2.2362647935507054,3.063509251861978,True
S003,C,0.2,68.23549018466188,7261.075570364676,561.8041381835938,4.64221353505382,6.3999999999999995,True
S004,A,0.2,25.0,7745.662441501595,398.2391662597656,2.9050947979113255,3.279238756262706,True
S004,B,0.2,30.0,7745.662441501595,398.2391662597656,2.321370136616153,3.1819695192433235,True
S004,C,0.2,63.25931100733154,7745.662441501595,398.2391662597656,4.883051169549027,6.4,True
S005,A,0.2,25.0,5302.02013115008,326.410888671875,1.996156726745343,2.2535428500120083,True
S005,B,0.2,30.0,5302.02013115008,326.410888671875,1.596047411321957,2.186675257640217,True
S005,C,0.2,80.0,5302.02013115008,326.410888671875,3.350086199444121,5.313520172860585,True
S006,A,0.2,25.0,3181.0333082558964,366.09783935546875,1.221895019110295,1.3875905551279843,True
S006,B,0.2,30.0,3181.0333082558964,366.09783935546875,0.9801094713442735,1.347993313232814,True
S006,C,0.2,80.0,3181.0333082558964,366.09783935546875,2.034172382738966,3.2482386943139674,True
S007,A,0.2,25.0,4533.827897987457,511.9731750488281,1.7772432331261645,2.0176122529269254,True
S007,B,0.2,30.0,4533.827897987457,511.9731750488281,1.4300827900006192,1.9594661820545798,True
S007,C,0.2,80.0,4533.827897987457,511.9731750488281,2.9349058910882295,4.678743500520582,True
S008,A,0.2,25.0,8109.473184927932,372.9093322753906,3.011367767164405,3.3994873677619957,True
S008,B,0.2,28.632453771565512,8109.473184927932,372.9093322753906,2.402381371956162,3.2,True
S008,C,0.2,58.435840766971026,8109.473184927932,372.9093322753906,5.082271089725376,6.4,True
S009,A,0.2,25.0,5722.680393214653,293.2289123535156,2.1207491832688588,2.393926476391099,True
S009,B,0.2,30.0,5722.680393214653,293.2289123535156,1.6913083367935142,2.323240675151039,True
S009,C,0.2,80.0,5722.680393214653,293.2289123535156,3.582147165542332,5.686544052679954,True
S010,A,0.2,25.0,4778.43990162097,435.63653564453125,1.824048546053064,2.06820474813911,True
S010,B,0.2,30.0,4778.43990162097,435.63653564453125,1.4616637118276836,2.00859110338851,True
S010,C,0.2,80.0,4778.43990162097,435.63653564453125,3.0442402822077925,4.852782183631606,True
S011,A,0.2,25.0,2817.1517251516107,295.36175537109375,1.080629224937061,1.2232594645413943,True
S011,B,0.2,30.0,2817.1517251516107,295.36175537109375,0.8666083393627642,1.18747611856745,True
S011,C,0.2,80.0,2817.1517251516107,295.36175537109375,1.799991499596607,2.8620236525784515,True
S012,A,0.2,25.0,7398.449561287365,413.3009948730469,2.774436848599735,3.134380861615882,True
S012,B,0.2,30.0,7398.449561287365,413.3009948730469,2.216909523580082,3.042017087313587,True
S012,C,0.2,68.01467178965129,7398.449561287365,413.3009948730469,4.663728479956534,6.4,True
S013,A,0.2,25.0,4848.706999909826,399.18182373046875,1.830008879433624,2.0738790048721434,True
S013,B,0.2,30.0,4848.706999909826,399.18182373046875,1.4637853337641737,2.014103627714176,True
S013,C,0.2,80.0,4848.706999909826,399.18182373046875,3.0681733740619066,4.890905454625271,True
S014,A,0.2,25.0,5410.9170943694,591.9473876953125,2.134693998141932,2.422096452231748,True
S014,B,0.2,30.0,5410.9170943694,591.9473876953125,1.7193998822624232,2.351834421328119,True
S014,C,0.2,80.0,5410.9170943694,591.9473876953125,3.5162921736738317,5.5991884605867055,True
S015,A,0.2,25.0,6019.113948538039,571.7992553710938,2.310265049010689,2.623130635439933,True
S015,B,0.2,30.0,6019.113948538039,571.7992553710938,1.8528891537237921,2.548200770132621,True
S015,C,0.2,80.0,6019.113948538039,571.7992553710938,3.847249315389197,6.142374354643366,True
