架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
Q2-001,U07,C,C-B01,0.0,300.0,540.0,S001,1627.4267416985467,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
Q2-002,U08,C,C-B02,0.0,300.0,420.0,S001,1363.4267416985467,2.4121359166308616,56.0,0.108,69.84830104211423
Q2-003,U05,B,B-B01,0.0,300.0,360.0,S011,1126.678806680371,0.9663067834640664,17.0,0.039,75.84233041339834
Q2-004,U06,B,B-B02,0.0,300.0,330.0,S011,1066.678806680371,0.8958731675326339,8.0,0.028,77.60317081168415
Q2-005,U06,B,B-B03,1066.678806680371,1366.678806680371,1456.678806680371,S001,2277.036678343111,1.0770625138134382,20.0,0.051000000000000004,73.07343715466405
Q2-006,U08,C,C-B03,1363.4267416985467,1663.4267416985467,1783.4267416985467,S006,2792.29062697251,2.3241812864593445,42.0,0.117,70.9477339192582
Q2-007,U05,B,B-B04,1126.678806680371,1426.678806680371,1486.678806680371,S006,2333.260078835845,1.097106338574758,17.0,0.039,72.57234153563105
Q2-008,U06,B,B-B01,2277.036678343111,2577.036678343111,2637.036678343111,S013,3727.437619802442,1.6362077508916966,17.0,0.039,59.094806227707586
Q2-009,U05,B,B-B02,2333.260078835845,2633.260078835845,2663.260078835845,S013,3723.661020295176,1.515445650922376,8.0,0.028,62.1138587269406
Q2-010,U01,A,A-B01,0.0,300.0,360.0,S010,1653.8535692154742,1.9524999797660452,17.0,0.039,56.61111156075456
Q2-011,U05,B,B-B03,3723.661020295176,4023.661020295176,4053.661020295176,S010,5158.233259456618,1.5137978432935315,8.0,0.028,62.15505391766172
Q2-012,U06,B,B-B04,3727.437619802442,4027.437619802442,4087.437619802442,S009,5228.217410349552,1.8848475991435154,17.0,0.039,52.878810021412114
Q2-013,U05,B,B-B01,5158.233259456618,5458.233259456618,5488.233259456618,S009,6599.013050003728,1.7475923238206748,8.0,0.028,56.31019190448313
Q2-014,U06,B,B-B02,5228.217410349552,5528.217410349552,5588.217410349552,S005,6747.242731221646,1.778276884704698,17.0,0.039,55.543077882382555
Q2-015,U02,A,A-B02,0.0,300.0,360.0,S007,1712.4426794497324,1.8990181164235906,17.0,0.039,57.79959741280909
Q2-016,U07,C,C-B04,1627.4267416985467,1927.4267416985467,2047.4267416985467,S005,3375.472358794599,3.801896648845467,42.0,0.117,52.47629188943166
Q2-017,U08,C,C-B02,2850.0468857860715,3150.0468857860715,3240.0468857860715,S007,4607.272126920727,3.1442317699063445,28.0,0.09,60.697102876170696
Q2-018,U03,A,A-B03,0.0,300.0,360.0,S002,2007.7326591437009,2.9291056520786074,17.0,0.039,34.90876328714205
Q2-019,U04,A,A-B04,0.0,300.0,360.0,S015,1970.2112326339443,2.475682947936683,17.0,0.039,44.984823379184824
Q2-020,U05,B,B-B03,6599.013050003728,6899.013050003728,6929.013050003728,S015,8308.587151019738,1.9202607253391195,8.0,0.028,51.99348186652202
Q2-021,U07,C,C-B01,3375.472358794599,3675.472358794599,3855.472358794599,S002,5486.4804853771375,6.12498843027008,64.0,0.17200000000000001,23.437644621624
Q2-022,U01,A,A-B05,1653.8535692154742,1953.8535692154742,2013.8535692154742,S014,3642.815920230166,2.287579462141669,17.0,0.039,49.164900841296244
Q2-023,U06,B,B-B04,6747.242731221646,7047.242731221646,7077.242731221646,S014,8495.84117909069,1.781931987531721,8.0,0.028,55.45170031170697
Q2-024,U02,A,A-B06,1712.4426794497324,2012.4426794497324,2072.442679449732,S012,3822.859065478095,2.9610218101255965,17.0,0.039,34.1995153305423
Q2-025,U05,B,B-B01,8308.587151019738,8608.587151019738,8638.587151019738,S012,10112.388551671855,2.2918422768600646,8.0,0.028,42.703943078498384
Q2-026,U03,A,A-B01,2717.909118925665,3017.909118925665,3077.909118925665,S008,4894.115003750893,3.211521065175303,17.0,0.039,28.632865218326607
Q2-027,U04,A,A-B02,2761.0479130832146,3061.0479130832146,3121.0479130832146,S004,4945.009097181137,3.0986054485476933,17.0,0.039,31.142101143384593
Q2-028,U08,C,C-B03,4607.272126920727,4907.272126920727,4997.272126920727,S008,6679.032016340154,5.42136436523035,28.0,0.09,32.23294543462063
Q2-029,U07,C,C-B04,5486.4804853771375,5786.4804853771375,5906.4804853771375,S004,7659.665976844928,5.539956839091937,42.0,0.117,30.750539511350784
Q2-030,U01,A,A-B03,3642.815920230166,3942.815920230166,4002.815920230166,S003,5905.094584626882,2.98110828373102,17.0,0.039,33.75314925042178
Q2-031,U08,C,C-B02,6679.032016340154,6979.032016340154,7159.032016340154,S003,9114.842874452579,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
