电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
B-B01,B,Q2-001,0.0,1923.8014006521175,31.120163243887866,1923.8014006521175,3784.3852377580615
B-B01,B,Q2-011,3784.3852377580615,5750.275349752359,25.350495996215884,5750.275349752359,7710.866752484617
B-B01,B,Q2-018,7710.866752484617,9616.756864478913,30.664349173220316,9616.756864478913,11485.241478809761
B-B02,B,Q2-002,0.0,1868.5984478690452,46.56918206451104,1868.5984478690452,3461.3992920841874
B-B02,B,Q2-010,3478.3736398135593,5558.616451864787,30.522455368554592,5558.616451864787,7429.5605588098415
B-B02,B,Q2-015,7429.5605588098415,8616.239365490212,73.10085469680378,8616.239365490212,9749.157884078946
B-B03,B,Q2-003,1868.5984478690452,3688.488489734787,31.95254946986075,3688.488489734787,5534.644298923868
B-B03,B,Q2-012,5558.616451864787,7388.1905528807965,42.228856709371385,7388.1905528807965,9056.223703251693
B-B04,B,Q2-005,1923.8014006521175,3478.3736398135593,54.47488984981588,3478.3736398135593,4934.142215750084
B-B04,B,Q2-014,5750.275349752359,7311.055140299469,47.439223044067646,7311.055140299469,8888.775274202297
C-B01,C,Q2-004,0.0,1889.2252411346558,57.45894448256449,1889.2252411346558,3644.281444012425
C-B01,C,Q2-013,3644.281444012425,5524.327061108477,47.01581169315732,5524.327061108477,7505.651141090069
C-B01,C,Q2-019,7505.651141090069,9875.461999202495,27.958980263762957,9875.461999202495,12269.68409348763
C-B02,C,Q2-006,0.0,1611.5615493694872,59.39049686617438,1611.5615493694872,3324.7674506023754
C-B02,C,Q2-009,3324.7674506023754,5629.9529420701665,22.789267415106764,5629.9529420701665,8136.18548140952
C-B03,C,Q2-007,1611.5615493694872,3172.4254346434504,67.57581332093785,3172.4254346434504,4708.282812689797
C-B03,C,Q2-016,5524.327061108477,7151.753802807024,62.44172425815522,7151.753802807024,8798.849777213662
C-B04,C,Q2-008,1889.2252411346558,3450.6519828332025,63.42203261360152,3450.6519828332025,5076.507942871836
C-B04,C,Q2-017,5629.9529420701665,7674.961068652705,28.258329934426328,7674.961068652705,10062.6972534068
