电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,Q23-016,0.0,1163.5358620695392,75.4499543406507,1163.5358620695392,1982.68645564108
A-B01,A,Q23-018,2322.0,4310.962351014692,49.164900841296244,4310.962351014692,5471.818640077841
A-B01,A,Q23-020,5472.0,7481.993455329423,50.08075674667343,7481.993455329423,8630.943617622668
A-B02,A,Q23-012,2655.0,3967.6157157640037,70.89879451784795,3967.6157157640037,4845.93138703198
A-B02,A,Q23-013,4847.0,7023.205884825228,28.632865218326607,7023.205884825228,8450.978636986982
A-B03,A,Q23-010,2008.0,3703.7593252437628,52.678058085514266,3703.7593252437628,4818.944570132077
A-B05,A,Q23-004,0.0,2007.7326591437006,34.90876328714205,2007.7326591437006,3353.918736410854
A-B05,A,Q23-006,3704.0,5966.278664396717,33.75314925042178,5966.278664396717,7327.487724141234
A-B06,A,Q23-001,0.0,1312.4715825390365,71.82222309798306,1312.4715825390365,2178.782682265257
A-B06,A,Q23-019,2180.0,4150.211232633944,44.984823379184824,4150.211232633944,5365.408528704541
B-B01,B,Q23-023,2503.0,4462.89784429327,38.810051891764296,4462.89784429327,6190.190278169356
B-B02,B,Q23-021,0.0,2115.40334600042,43.293549371310256,2115.40334600042,3764.981823564375
B-B02,B,Q23-008,5827.0,7752.77243604787,35.34208693521794,7752.77243604787,9540.176262504092
B-B03,B,Q23-017,0.0,1863.8014006521175,38.20680028657728,1863.8014006521175,3601.550195684778
B-B03,B,Q23-024,4463.0,6630.896402439148,28.854000891905862,6630.896402439148,8530.760386979448
B-B04,B,Q23-022,2421.0,4519.481447098818,41.08487610007763,4519.481447098818,6207.343594697471
B-B04,B,Q23-015,6631.0,7760.6308045644855,75.81434526321561,7760.6308045644855,8846.515486668748
C-B01,C,Q23-002,0.0,1627.4267416985467,62.44172425815522,1627.4267416985467,3274.522716105184
C-B01,C,Q23-025,3377.0,5790.779412820788,46.399225422437,5790.779412820788,7785.46286200132
C-B02,C,Q23-003,0.0,1363.4267416985467,69.84830104211423,1363.4267416985467,2850.0468857860715
C-B02,C,Q23-005,3436.0,5547.008126582538,23.437644621624,5547.008126582538,8039.192493114018
C-B03,C,Q23-014,1364.0,3435.759889419427,32.23294543462063,3435.759889419427,5737.379405002646
C-B03,C,Q23-009,5791.0,7964.185491467791,30.750539511350784,7964.185491467791,10297.923802055191
C-B04,C,Q23-011,1628.0,3376.0456170960524,52.47629188943166,3376.0456170960524,5239.0592928250335
C-B04,C,Q23-007,5548.0,7983.810858112425,23.153969290681033,7983.810858112425,10482.141523481003
