方案,可行,架次,总能耗（kWh）,完成时间（s）,加权迟到（全部期望时间）,全部期望时间准时率,硬截止合规率,说明
minimum_sorties | minimum_work_time | minimum_sorties_merged | minimum_work_time_merged/cp_sat,True,18,60.66448430966645,9581.426741698548,362113.16162622423,0.85,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
minimum_sorties | minimum_work_time | minimum_sorties_merged | minimum_work_time_merged/heuristic_balanced,True,18,60.66448430966645,10657.756122334016,447130.1188041119,0.875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
minimum_sorties | minimum_work_time | minimum_sorties_merged | minimum_work_time_merged/heuristic_energy,True,18,60.66448430966645,10657.756122334016,447130.1188041119,0.875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
minimum_energy | minimum_energy_merged/cp_sat,True,19,61.3141301417079,8677.045617096052,141886.21050074592,0.8875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
minimum_energy | minimum_energy_merged/heuristic_balanced,True,19,60.566439024631606,9895.639487964188,316237.92385763535,0.875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
minimum_energy | minimum_energy_merged/heuristic_energy,True,19,60.566439024631606,9895.639487964188,316237.92385763535,0.875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive/cp_sat,True,31,82.92409714926535,8370.863885273964,281712.2162028858,0.8875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive/heuristic_balanced,True,31,81.83842859951294,10115.34054955597,114740.72029524787,0.8875,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive/heuristic_energy,True,31,78.98119362066103,15298.286858839787,311022.5079068213,0.8625,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive_merged/cp_sat,True,25,74.62767725833724,7983.810858112425,90817.98816138331,0.9,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive_merged/heuristic_balanced,True,25,73.99385135552542,12576.709145127594,313069.9189754025,0.825,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
constructive_merged/heuristic_energy,True,25,73.99385135552542,12576.709145127594,313069.9189754025,0.825,1.0,feasible heuristic candidate; not a Pareto-optimality certificate
