架次编号,航段序号,from,to,payload_kg,distance_m,cruise_altitude_m,flight_s,energy_kwh
Q23-001,1,O01,S001,20.0,3063.411326288906,273.0566101074219,339.3591246028516,0.6930001616790924
Q23-001,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
Q23-002,1,O01,S001,78.0,3063.411326288906,273.0566101074219,306.8983708492734,2.0385218927144426
Q23-002,2,S001,O01,0.0,3063.411326288906,273.0566101074219,312.5283708492734,0.9661401666331395
Q23-003,1,O01,S001,56.0,3063.411326288906,273.0566101074219,306.8983708492734,1.445995749997722
Q23-003,2,S001,O01,0.0,3063.411326288906,273.0566101074219,312.5283708492734,0.9661401666331395
Q23-004,1,O01,S002,17.0,7435.278518338766,308.9542541503906,715.8063295718504,1.567064446515872
Q23-004,2,S002,O01,0.0,7435.278518338766,308.9542541503906,721.9263295718504,1.3620412055627353
Q23-005,1,O01,S002,64.0,7435.278518338766,308.9542541503906,612.9140632912693,3.813553196754571
Q23-005,2,S002,O01,0.0,7435.278518338766,308.9542541503906,622.0940632912692,2.311435233515509
Q23-006,1,O01,S003,17.0,7261.075570364676,561.8041381835938,839.1126655316918,1.6149747941555515
Q23-006,2,S003,O01,0.0,7261.075570364676,561.8041381835938,853.1659988650251,1.3661334895754682
Q23-007,1,O01,S003,64.0,7261.075570364676,561.8041381835938,769.3654290562129,3.854449956814672
Q23-007,2,S003,O01,0.0,7261.075570364676,561.8041381835938,790.4454290562128,2.293232499930845
Q23-008,1,O01,S004,17.0,7745.662441501595,398.2391662597656,803.6272587156277,1.6593795058613205
Q23-008,2,S004,O01,0.0,7745.662441501595,398.2391662597656,810.3339253822944,1.4392259426863725
Q23-009,1,O01,S004,42.0,7745.662441501595,398.2391662597656,709.5627457338954,3.1117336799349014
Q23-009,2,S004,O01,0.0,7745.662441501595,398.2391662597656,719.6227457338954,2.4282231591570365
Q23-010,1,O01,S005,17.0,5302.02013115008,326.410888671875,472.2693271027137,0.9885284858386653
Q23-010,2,S005,O01,0.0,5302.02013115008,326.410888671875,476.7559937693803,0.7897483988660325
Q23-011,1,O01,S005,42.0,5302.02013115008,326.410888671875,498.6578085480262,2.1357526867382792
Q23-011,2,S005,O01,0.0,5302.02013115008,326.410888671875,505.3878085480262,1.6661439621071876
Q23-012,1,O01,S006,17.0,3181.0333082558964,366.09783935546875,365.0711912153351,0.7233825270818953
Q23-012,2,S006,O01,0.0,3181.0333082558964,366.09783935546875,377.54452454866845,0.586171719614947
Q23-013,1,O01,S008,17.0,8109.473184927932,372.9093322753906,798.3296090792808,1.7247997316702608
Q23-013,2,S008,O01,0.0,8109.473184927932,372.9093322753906,807.8762757459475,1.4867213335050418
Q23-014,1,O01,S008,28.0,8109.473184927932,372.9093322753906,689.7199447097137,2.899164281087569
Q23-014,2,S008,O01,0.0,8109.473184927932,372.9093322753906,704.0399447097136,2.5222000841427805
Q23-015,1,O01,S011,17.0,2817.1517251516107,293.3490295410156,322.478598759379,0.6256645308732299
Q23-015,2,S011,O01,0.0,2817.1517251516107,293.3490295410156,328.10526542604566,0.5286053104070693
Q23-016,1,O01,S011,8.0,2817.1517251516107,293.3490295410156,322.478598759379,0.5750197232494871
Q23-016,2,S011,O01,0.0,2817.1517251516107,293.3490295410156,328.10526542604566,0.5286053104070693
Q23-017,1,O01,S012,17.0,7398.449561287365,413.3009948730469,641.8307003260587,1.3819756660263818
