sortie,leg,from,to,intersected_cell_count,maximum_ground_m,cruise_altitude_m,minimum_clearance_m,compliant
Q23-001,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
Q23-001,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
Q23-002,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
Q23-002,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
Q23-003,1,O01,S001,136,223.05661010742188,273.0566101074219,50.0,True
Q23-003,2,S001,O01,136,223.05661010742188,273.0566101074219,50.0,True
Q23-004,1,O01,S002,323,258.9542541503906,308.9542541503906,50.0,True
Q23-004,2,S002,O01,323,258.9542541503906,308.9542541503906,50.0,True
Q23-005,1,O01,S002,323,258.9542541503906,308.9542541503906,50.0,True
Q23-005,2,S002,O01,323,258.9542541503906,308.9542541503906,50.0,True
Q23-006,1,O01,S003,338,511.80413818359375,561.8041381835938,50.0,True
Q23-006,2,S003,O01,338,511.80413818359375,561.8041381835938,50.0,True
Q23-007,1,O01,S003,338,511.80413818359375,561.8041381835938,50.0,True
Q23-007,2,S003,O01,338,511.80413818359375,561.8041381835938,50.0,True
Q23-008,1,O01,S004,276,348.2391662597656,398.2391662597656,50.0,True
Q23-008,2,S004,O01,276,348.2391662597656,398.2391662597656,50.0,True
Q23-009,1,O01,S004,276,348.2391662597656,398.2391662597656,50.0,True
Q23-009,2,S004,O01,276,348.2391662597656,398.2391662597656,50.0,True
Q23-010,1,O01,S005,181,276.410888671875,326.410888671875,50.0,True
Q23-010,2,S005,O01,181,276.410888671875,326.410888671875,50.0,True
Q23-011,1,O01,S005,181,276.410888671875,326.410888671875,50.0,True
Q23-011,2,S005,O01,181,276.410888671875,326.410888671875,50.0,True
Q23-012,1,O01,S006,116,316.09783935546875,366.09783935546875,50.0,True
Q23-012,2,S006,O01,116,316.09783935546875,366.09783935546875,50.0,True
Q23-013,1,O01,S008,321,322.9093322753906,372.9093322753906,50.0,True
Q23-013,2,S008,O01,321,322.9093322753906,372.9093322753906,50.0,True
Q23-014,1,O01,S008,321,322.9093322753906,372.9093322753906,50.0,True
Q23-014,2,S008,O01,321,322.9093322753906,372.9093322753906,50.0,True
Q23-015,1,O01,S011,123,245.36175537109375,295.36175537109375,50.0,True
Q23-015,2,S011,O01,123,245.36175537109375,295.36175537109375,50.0,True
Q23-016,1,O01,S011,123,245.36175537109375,295.36175537109375,50.0,True
Q23-016,2,S011,O01,123,245.36175537109375,295.36175537109375,50.0,True
Q23-017,1,O01,S012,354,363.3009948730469,413.3009948730469,50.0,True
Q23-017,2,S012,O01,354,363.3009948730469,413.3009948730469,50.0,True
Q23-018,1,O01,S014,203,541.9473876953125,591.9473876953125,50.0,True
Q23-018,2,S014,O01,203,541.9473876953125,591.9473876953125,50.0,True
Q23-019,1,O01,S015,286,521.7992553710938,571.7992553710938,50.0,True
Q23-019,2,S015,O01,286,521.7992553710938,571.7992553710938,50.0,True
Q23-020,1,O01,S013,228,349.18182373046875,399.18182373046875,50.0,True
Q23-020,2,S013,S010,60,454.07037353515625,504.07037353515625,50.0,True
Q23-020,3,S010,O01,203,385.63653564453125,435.63653564453125,50.0,True
Q23-021,1,O01,S010,203,385.63653564453125,435.63653564453125,50.0,True
Q23-021,2,S010,S014,79,487.5635681152344,537.5635681152344,50.0,True
Q23-021,3,S014,O01,203,541.9473876953125,591.9473876953125,50.0,True
Q23-022,1,O01,S007,213,461.9731750488281,511.9731750488281,50.0,True
Q23-022,2,S007,S015,74,452.918212890625,502.918212890625,50.0,True
Q23-022,3,S015,O01,286,521.7992553710938,571.7992553710938,50.0,True
Q23-023,1,O01,S013,228,349.18182373046875,399.18182373046875,50.0,True
Q23-023,2,S013,S009,150,322.2989807128906,372.2989807128906,50.0,True
Q23-023,3,S009,O01,253,243.22891235351562,293.2289123535156,50.0,True
Q23-024,1,O01,S009,253,243.22891235351562,293.2289123535156,50.0,True
Q23-024,2,S009,S012,108,310.91961669921875,360.91961669921875,50.0,True
Q23-024,3,S012,O01,354,363.3009948730469,413.3009948730469,50.0,True
Q23-025,1,O01,S006,116,316.09783935546875,366.09783935546875,50.0,True
Q23-025,2,S006,S007,104,540.361328125,590.361328125,50.0,True
Q23-025,3,S007,O01,213,461.9731750488281,511.9731750488281,50.0,True
