架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
Q23-001,U07,C,C-B04,1561.0,1861.0,2071.0,S001,3122.4267416985467,2.9262373909118784,76.0,0.159,63.42203261360152
Q23-002,U07,C,C-B03,3123.0,3423.0,3663.0,S001,4750.426741698547,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
Q23-003,U05,B,B-B04,1555.0,1855.0,1945.0,S002,3374.8900418657418,2.72189802120557,25.0,0.067,31.95254946986075
Q23-004,U07,C,C-B04,4751.0,5051.0,5201.0,S002,6796.008126582538,5.739333605245894,56.0,0.14400000000000002,28.258329934426328
Q23-005,U05,B,B-B04,5341.0,5641.0,5731.0,S003,7421.242812051227,2.7791017852578164,25.0,0.067,30.522455368554592
Q23-006,U08,C,C-B01,6238.0,6538.0,6688.0,S003,8607.810858112425,5.7632815788989635,56.0,0.14400000000000002,27.958980263762957
Q23-007,U08,C,C-B02,3932.0,4232.0,4412.0,S004,6237.185491467791,6.176858606791459,59.0,0.156,22.789267415106764
Q23-008,U07,C,C-B03,6797.0,7097.0,7277.0,S005,8677.045617096052,4.238735064547415,59.0,0.156,47.01581169315732
Q23-009,U07,C,C-B03,0.0,300.0,480.0,S006,1560.8638852739632,2.593934934324972,59.0,0.156,67.57581332093785
Q23-010,U08,C,C-B02,0.0,300.0,450.0,S007,1889.2252411346556,3.403284441394841,45.0,0.129,57.45894448256449
Q23-011,U05,B,B-B01,3375.0,3675.0,3765.0,S008,5340.8901119942975,2.9859801601513647,25.0,0.067,25.350495996215884
Q23-012,U06,B,B-B02,5210.0,5510.0,5570.0,S008,7115.8901119942975,2.7734260330711873,20.0,0.062,30.664349173220316
Q23-013,U06,B,B-B03,7116.0,7416.0,7506.0,S009,8676.779790547109,2.102431078237294,25.0,0.067,47.439223044067646
Q23-014,U05,B,B-B03,0.0,300.0,390.0,S010,1554.5722391614418,1.821004406007365,25.0,0.067,54.47488984981588
Q23-015,U05,B,B-B01,7422.0,7722.0,7812.0,S011,8608.678806680371,1.0759658121278484,25.0,0.067,73.10085469680378
Q23-016,U08,C,C-B01,1890.0,2190.0,2280.0,S012,3931.6517322764666,4.927111095410753,25.0,0.067,38.41111130736559
Q23-017,U06,B,B-B01,0.0,300.0,390.0,S013,1510.400941459331,1.8245337426160748,25.0,0.067,54.38665643459812
Q23-018,U06,B,B-B02,1511.0,1811.0,1901.0,S014,3379.5984478690452,2.1372327174195584,25.0,0.067,46.56918206451104
Q23-019,U06,B,B-B03,3380.0,3680.0,3770.0,S015,5209.57410101601,2.3108457316251445,25.0,0.067,42.228856709371385
