运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,诊断说明
Q23-018,leg1-climb,330.0,385.8872517903646,直连,,
Q23-003,leg1-climb,360.0,455.20033162434896,直连,,
Q23-006,leg1-climb,360.0,420.4180847167969,直连,,
Q23-018,leg1-cruise,385.8872517903646,620.6498955529988,直连,,
Q23-002,leg1-climb,390.0,518.0910583496094,直连,,
Q23-013,leg1-climb,390.0,445.1763041178385,直连,,
Q23-017,leg1-climb,420.0,478.14264404296875,直连,,
Q23-006,leg1-cruise,420.4180847167969,740.2150102367439,直连,,
Q23-013,leg1-cruise,445.1763041178385,699.5176549273787,直连,,
Q23-003,leg1-cruise,455.20033162434896,783.3573686169336,直连,,
Q23-017,leg1-cruise,478.14264404296875,682.3700657955625,直连,,
Q23-002,leg1-cruise,518.0910583496094,781.3455814585584,直连,,
Q23-016,leg1-climb,540.0,598.1426440429688,直连,,
Q23-016,leg1-cruise,598.1426440429688,802.3700657955625,直连,,
Q23-018,leg1-descent,620.6498955529988,653.9545977014363,直连,,
Q23-018,S011-handoff,653.9545977014363,833.9545977014363,直连,,
Q23-017,leg1-descent,682.3700657955625,726.8983708492734,直连,,
Q23-013,leg1-cruise,699.5176549273787,826.6883303321488,中继,R3-001,
Q23-017,S001-handoff,726.8983708492734,1050.8983708492733,直连,,
Q23-006,leg1-cruise,740.2150102367439,1040.024627911694,中继,R3-001,
Q23-002,leg1-cruise,781.3455814585584,820.3462515487731,中继,R3-002,
Q23-003,leg1-cruise,783.3573686169336,1071.7377950649627,中继,R3-001,
Q23-016,leg1-descent,802.3700657955625,846.8983708492734,直连,,
Q23-002,leg1-descent,820.3462515487731,885.7355215683044,中继,R3-002,
Q23-013,leg1-descent,826.6883303321488,851.979895273555,中继,R3-001,
Q23-018,leg2-climb,833.9545977014363,861.7085161584675,直连,,
Q23-016,S001-handoff,846.8983708492734,1314.8983708492733,直连,,
Q23-013,S009-handoff,851.979895273555,1061.979895273555,中继,R3-001,
Q23-018,leg2-cruise,861.7085161584675,1096.4711599211018,直连,,
Q23-002,S007-handoff,885.7355215683044,1095.7355215683044,中继,R3-002,
Q23-006,leg1-descent,1040.024627911694,1075.8063295718503,中继,R3-001,
Q23-017,leg2-climb,1050.8983708492733,1086.521014892242,直连,,
Q23-013,leg2-climb,1061.979895273555,1105.619767506628,中继,R3-001,
Q23-003,leg1-descent,1071.7377950649627,1125.1381930141815,中继,R3-001,
Q23-006,S002-handoff,1075.8063295718503,1285.8063295718503,中继,R3-001,
Q23-017,leg2-cruise,1086.521014892242,1290.7484366448357,直连,,
Q23-002,leg2-climb,1095.7355215683044,1147.2082591985127,中继,R3-002,
Q23-018,leg2-descent,1096.4711599211018,1163.5358620695392,直连,,
Q23-013,leg2-cruise,1105.619767506628,1303.4778554334014,中继,R3-001,
Q23-003,S012-handoff,1125.1381930141815,1335.1381930141815,中继,R3-001,
Q23-002,leg2-cruise,1147.2082591985127,1295.7671114345628,中继,R3-002,
Q23-006,leg2-climb,1285.8063295718503,1315.6244142886471,中继,R3-001,
Q23-017,leg2-descent,1290.7484366448357,1363.4267416985467,直连,,
Q23-002,leg2-descent,1295.7671114345628,1307.134396590813,中继,R3-002,
Q23-013,leg2-descent,1303.4778554334014,1335.9257021130888,中继,R3-001,
Q23-002,S015-handoff,1307.134396590813,1487.134396590813,中继,R3-002,
Q23-016,leg2-climb,1314.8983708492733,1350.521014892242,直连,,
Q23-006,leg2-cruise,1315.6244142886471,1615.4340319635974,中继,R3-001,
Q23-003,leg2-climb,1335.1381930141815,1379.6385246385305,中继,R3-001,
Q23-013,S012-handoff,1335.9257021130888,1515.9257021130888,中继,R3-001,
Q23-016,leg2-cruise,1350.521014892242,1554.7484366448357,直连,,
Q23-003,leg2-cruise,1379.6385246385305,1668.0189510865596,中继,R3-001,
Q23-002,leg3-climb,1487.134396590813,1519.567481714511,中继,R3-002,
Q23-013,leg3-climb,1515.9257021130888,1560.4260337374378,中继,R3-001,
Q23-002,leg3-cruise,1519.567481714511,1666.3751389959266,中继,R3-002,
Q23-008,leg1-climb,1554.0,1602.4522033691405,直连,,
Q23-016,leg2-descent,1554.7484366448357,1627.4267416985467,直连,,
Q23-013,leg3-cruise,1560.4260337374378,1797.1764196986335,中继,R3-001,
Q23-008,leg1-cruise,1602.4522033691405,1857.7364805598827,直连,,
Q23-006,leg2-cruise,1615.4340319635974,1935.2309574835444,直连,,
Q23-002,leg3-cruise,1666.3751389959266,1920.8417449503802,直连,,
Q23-003,leg2-cruise,1668.0189510865596,1996.1759880791442,直连,,
Q23-013,leg3-cruise,1797.1764196986335,2053.656004489929,直连,,
Q23-008,leg1-descent,1857.7364805598827,1893.3591246028514,直连,,
Q23-008,S001-handoff,1893.3591246028514,2133.3591246028514,直连,,
Q23-002,leg3-descent,1920.8417449503802,2098.4814470988176,直连,,
Q23-006,leg2-descent,1935.2309574835444,2007.7326591437006,直连,,
Q23-003,leg2-descent,1996.1759880791442,2110.416386028363,直连,,
Q23-013,leg3-descent,2053.656004489929,2167.8964024391476,直连,,
Q23-008,leg2-climb,2133.3591246028514,2163.0446613053255,直连,,
Q23-008,leg2-cruise,2163.0446613053255,2418.3289384960676,直连,,
Q23-008,leg2-descent,2418.3289384960676,2476.4715825390363,直连,,
Q23-005,leg1-climb,2510.386,2600.8799412434896,直连,,
Q23-005,leg1-cruise,2600.8799412434896,2855.5595008347127,直连,,
Q23-004,leg1-climb,2682.0,2836.749129231771,直连,,
Q23-004,leg1-cruise,2836.749129231771,3160.227868569072,直连,,
Q23-020,leg1-climb,2837.0,2927.4939412434896,直连,,
Q23-005,leg1-cruise,2855.5595008347127,2924.127074570811,中继,R3-003,
Q23-001,leg1-climb,2865.0,2967.6455118815106,直连,,
Q23-005,leg1-descent,2924.127074570811,2943.119804062999,中继,R3-003,
Q23-020,leg1-cruise,2927.4939412434896,3252.712093676466,直连,,
Q23-005,S013-handoff,2943.119804062999,3153.119804062999,中继,R3-003,
Q23-001,leg1-cruise,2967.6455118815106,3226.477673219313,直连,,
Q23-023,leg1-climb,2985.1549999999997,3083.238732910156,直连,,
Q23-007,leg1-climb,3015.0,3094.465946451823,直连,,
Q23-023,leg1-cruise,3083.238732910156,3368.2990024409564,直连,,
Q23-007,leg1-cruise,3094.465946451823,3359.552055473148,直连,,
Q23-005,leg2-climb,3153.119804062999,3159.9861309672956,中继,R3-003,
Q23-005,leg2-cruise,3159.9861309672956,3374.5643567345587,中继,R3-003,
Q23-004,leg1-cruise,3160.227868569072,3287.6588870958876,中继,R3-003,
Q23-001,leg1-cruise,3226.477673219313,3286.2081719895755,中继,R3-003,
Q23-020,leg1-cruise,3252.712093676466,3331.552857902642,中继,R3-003,
Q23-001,leg1-descent,3286.2081719895755,3319.8227862473877,中继,R3-003,
Q23-004,leg1-descent,3287.6588870958876,3384.0378421740124,中继,R3-003,
Q23-001,S010-handoff,3319.8227862473877,3529.8227862473877,中继,R3-003,
Q23-020,leg1-descent,3331.552857902642,3350.5455873948295,中继,R3-003,
Q23-020,S013-handoff,3350.5455873948295,3530.5455873948295,中继,R3-003,
Q23-007,leg1-descent,3359.552055473148,3380.0711912153356,直连,,
