运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
Q23-018,leg1-climb,330.0,385.8872517903646,直连,,66.86922826520828,122.0
Q23-003,leg1-climb,360.0,383.80008290608725,直连,,63.97228668276127,122.0
Q23-006,leg1-climb,360.0,400.2787231445313,直连,,60.23392494929279,122.0
Q23-003,leg1-climb,383.80008290608725,407.6001658121745,直连,,78.85462513877252,122.0
Q23-018,leg1-cruise,385.8872517903646,393.2235844079469,直连,,83.80932947714741,122.0
Q23-002,leg1-climb,390.0,415.6182116699219,直连,,65.36346721130167,122.0
Q23-013,leg1-climb,390.0,417.58815205891926,直连,,66.65528399300692,122.0
Q23-018,leg1-cruise,393.2235844079469,400.5599170255292,直连,,85.9918103904865,122.0
Q23-006,leg1-climb,400.2787231445313,420.4180847167969,直连,,82.40264797547299,122.0
Q23-018,leg1-cruise,400.5599170255292,407.89624964311156,直连,,88.52036194838145,122.0
Q23-003,leg1-climb,407.6001658121745,431.4002487182617,直连,,84.0548442399942,122.0
Q23-018,leg1-cruise,407.89624964311156,422.56891487827613,直连,,90.72671002699629,122.0
Q23-002,leg1-climb,415.6182116699219,441.2364233398438,直连,,79.63443779651607,122.0
Q23-013,leg1-climb,417.58815205891926,445.1763041178385,直连,,80.40713379023344,122.0
Q23-017,leg1-climb,420.0,449.0713220214844,直连,,64.31881537331904,122.0
Q23-006,leg1-cruise,420.4180847167969,427.39557397206147,直连,,84.48775035894121,122.0
Q23-018,leg1-cruise,422.56891487827613,429.9052474958585,直连,,94.14097494227529,122.0
Q23-006,leg1-cruise,427.39557397206147,434.373063227326,直连,,86.26370376738377,122.0
Q23-018,leg1-cruise,429.9052474958585,437.2415801134408,直连,,95.48574184333452,122.0
Q23-003,leg1-climb,431.4002487182617,455.20033162434896,直连,,87.28503714858458,122.0
Q23-006,leg1-cruise,434.373063227326,441.3505524825905,直连,,88.49418464395617,122.0
Q23-018,leg1-cruise,437.2415801134408,444.57791273102316,直连,,96.66068710473903,122.0
Q23-002,leg1-climb,441.2364233398438,466.8546350097656,直连,,84.77168861744347,122.0
Q23-006,leg1-cruise,441.3505524825905,448.3280417378551,直连,,90.54211440868782,122.0
Q23-018,leg1-cruise,444.57791273102316,451.9142453486055,直连,,97.70178415293066,122.0
Q23-013,leg1-cruise,445.1763041178385,452.24134164032574,直连,,83.85390032035153,122.0
Q23-006,leg1-cruise,448.3280417378551,455.30553099311965,直连,,92.30675973195673,122.0
Q23-017,leg1-climb,449.0713220214844,478.14264404296875,直连,,79.04372855980824,122.0
Q23-018,leg1-cruise,451.9142453486055,459.2505779661878,直连,,98.63528939247468,122.0
Q23-013,leg1-cruise,452.24134164032574,459.30637916281296,直连,,86.72403418306237,122.0
Q23-003,leg1-cruise,455.20033162434896,461.986923938322,直连,,88.63973302431107,122.0
Q23-006,leg1-cruise,455.30553099311965,462.28302024838416,直连,,93.8216292795549,122.0
Q23-018,leg1-cruise,459.2505779661878,466.5869105837701,直连,,99.48071856787222,122.0
Q23-013,leg1-cruise,459.30637916281296,466.37141668530023,直连,,89.6625139244244,122.0
Q23-003,leg1-cruise,461.986923938322,468.77351625229505,直连,,89.37232345411255,122.0
Q23-006,leg1-cruise,462.28302024838416,469.2605095036487,直连,,95.13578946998238,122.0
Q23-013,leg1-cruise,466.37141668530023,473.43645420778745,直连,,92.06174393576059,122.0
Q23-018,leg1-cruise,466.5869105837701,473.9232432013524,直连,,100.25287251629673,122.0
