sortie,phase,start_s,end_s,direct_available,reason,gap_id
Q23-018,leg1-climb,330.0,385.8872517903646,True,,
Q23-003,leg1-climb,360.0,455.20033162434896,True,,
Q23-006,leg1-climb,360.0,420.4180847167969,True,,
Q23-018,leg1-cruise,385.8872517903646,620.6498955529988,True,,
Q23-002,leg1-climb,390.0,518.0910583496094,True,,
Q23-013,leg1-climb,390.0,445.1763041178385,True,,
Q23-017,leg1-climb,420.0,478.14264404296875,True,,
Q23-006,leg1-cruise,420.4180847167969,740.2150102367439,True,,
Q23-013,leg1-cruise,445.1763041178385,699.5176549273787,True,,
Q23-003,leg1-cruise,455.20033162434896,783.3573686169336,True,,
Q23-017,leg1-cruise,478.14264404296875,682.3700657955625,True,,
Q23-002,leg1-cruise,518.0910583496094,781.3455814585584,True,,
Q23-016,leg1-climb,540.0,598.1426440429688,True,,
Q23-016,leg1-cruise,598.1426440429688,802.3700657955625,True,,
Q23-018,leg1-descent,620.6498955529988,653.9545977014363,True,,
Q23-018,S011-handoff,653.9545977014363,833.9545977014363,True,,
Q23-017,leg1-descent,682.3700657955625,726.8983708492734,True,,
Q23-013,leg1-cruise,699.5176549273787,826.6883303321488,False,,1
Q23-017,S001-handoff,726.8983708492734,1050.8983708492733,True,,
Q23-006,leg1-cruise,740.2150102367439,1040.024627911694,False,,2
Q23-002,leg1-cruise,781.3455814585584,820.3462515487731,False,,3
Q23-003,leg1-cruise,783.3573686169336,1071.7377950649627,False,,4
Q23-016,leg1-descent,802.3700657955625,846.8983708492734,True,,
Q23-002,leg1-descent,820.3462515487731,885.7355215683044,False,,3
Q23-013,leg1-descent,826.6883303321488,851.979895273555,False,,1
Q23-018,leg2-climb,833.9545977014363,861.7085161584675,True,,
Q23-016,S001-handoff,846.8983708492734,1314.8983708492733,True,,
Q23-013,S009-handoff,851.979895273555,1061.979895273555,False,,1
Q23-018,leg2-cruise,861.7085161584675,1096.4711599211018,True,,
Q23-002,S007-handoff,885.7355215683044,1095.7355215683044,False,,3
Q23-006,leg1-descent,1040.024627911694,1075.8063295718503,False,,2
Q23-017,leg2-climb,1050.8983708492733,1086.521014892242,True,,
Q23-013,leg2-climb,1061.979895273555,1105.619767506628,False,,1
Q23-003,leg1-descent,1071.7377950649627,1125.1381930141815,False,,4
Q23-006,S002-handoff,1075.8063295718503,1285.8063295718503,False,,2
Q23-017,leg2-cruise,1086.521014892242,1290.7484366448357,True,,
Q23-002,leg2-climb,1095.7355215683044,1147.2082591985127,False,,3
Q23-018,leg2-descent,1096.4711599211018,1163.5358620695392,True,,
Q23-013,leg2-cruise,1105.619767506628,1303.4778554334014,False,,1
Q23-003,S012-handoff,1125.1381930141815,1335.1381930141815,False,,4
Q23-002,leg2-cruise,1147.2082591985127,1295.7671114345628,False,,3
Q23-006,leg2-climb,1285.8063295718503,1315.6244142886471,False,,2
Q23-017,leg2-descent,1290.7484366448357,1363.4267416985467,True,,
Q23-002,leg2-descent,1295.7671114345628,1307.134396590813,False,,3
Q23-013,leg2-descent,1303.4778554334014,1335.9257021130888,False,,1
Q23-002,S015-handoff,1307.134396590813,1487.134396590813,False,,3
Q23-016,leg2-climb,1314.8983708492733,1350.521014892242,True,,
Q23-006,leg2-cruise,1315.6244142886471,1615.4340319635974,False,,2
Q23-003,leg2-climb,1335.1381930141815,1379.6385246385305,False,,4
Q23-013,S012-handoff,1335.9257021130888,1515.9257021130888,False,,1
Q23-016,leg2-cruise,1350.521014892242,1554.7484366448357,True,,
Q23-003,leg2-cruise,1379.6385246385305,1668.0189510865596,False,,4
Q23-002,leg3-climb,1487.134396590813,1519.567481714511,False,,3
Q23-013,leg3-climb,1515.9257021130888,1560.4260337374378,False,,1
Q23-002,leg3-cruise,1519.567481714511,1666.3751389959266,False,,3
Q23-008,leg1-climb,1554.0,1602.4522033691405,True,,
Q23-016,leg2-descent,1554.7484366448357,1627.4267416985467,True,,
Q23-013,leg3-cruise,1560.4260337374378,1797.1764196986335,False,,1
Q23-008,leg1-cruise,1602.4522033691405,1857.7364805598827,True,,
Q23-006,leg2-cruise,1615.4340319635974,1935.2309574835444,True,,
Q23-002,leg3-cruise,1666.3751389959266,1920.8417449503802,True,,
Q23-003,leg2-cruise,1668.0189510865596,1996.1759880791442,True,,
Q23-013,leg3-cruise,1797.1764196986335,2053.656004489929,True,,
Q23-008,leg1-descent,1857.7364805598827,1893.3591246028514,True,,
Q23-008,S001-handoff,1893.3591246028514,2133.3591246028514,True,,
Q23-002,leg3-descent,1920.8417449503802,2098.4814470988176,True,,
Q23-006,leg2-descent,1935.2309574835444,2007.7326591437006,True,,
Q23-003,leg2-descent,1996.1759880791442,2110.416386028363,True,,
Q23-013,leg3-descent,2053.656004489929,2167.8964024391476,True,,
Q23-008,leg2-climb,2133.3591246028514,2163.0446613053255,True,,
Q23-008,leg2-cruise,2163.0446613053255,2418.3289384960676,True,,
Q23-008,leg2-descent,2418.3289384960676,2476.4715825390363,True,,
Q23-005,leg1-climb,2510.386,2600.8799412434896,True,,
Q23-005,leg1-cruise,2600.8799412434896,2855.5595008347127,True,,
Q23-004,leg1-climb,2682.0,2836.749129231771,True,,
Q23-004,leg1-cruise,2836.749129231771,3160.227868569072,True,,
Q23-020,leg1-climb,2837.0,2927.4939412434896,True,,
Q23-005,leg1-cruise,2855.5595008347127,2924.127074570811,False,,5
Q23-001,leg1-climb,2865.0,2967.6455118815106,True,,
Q23-005,leg1-descent,2924.127074570811,2943.119804062999,False,,5
Q23-020,leg1-cruise,2927.4939412434896,3252.712093676466,True,,
Q23-005,S013-handoff,2943.119804062999,3153.119804062999,False,,5
Q23-001,leg1-cruise,2967.6455118815106,3226.477673219313,True,,
Q23-023,leg1-climb,2985.1549999999997,3083.238732910156,True,,
Q23-007,leg1-climb,3015.0,3094.465946451823,True,,
Q23-023,leg1-cruise,3083.238732910156,3368.2990024409564,True,,
Q23-007,leg1-cruise,3094.465946451823,3359.552055473148,True,,
Q23-005,leg2-climb,3153.119804062999,3159.9861309672956,False,,5
Q23-005,leg2-cruise,3159.9861309672956,3374.5643567345587,False,,5
Q23-004,leg1-cruise,3160.227868569072,3287.6588870958876,False,,6
Q23-001,leg1-cruise,3226.477673219313,3286.2081719895755,False,,7
Q23-020,leg1-cruise,3252.712093676466,3331.552857902642,False,,8
Q23-001,leg1-descent,3286.2081719895755,3319.8227862473877,False,,7
Q23-004,leg1-descent,3287.6588870958876,3384.0378421740124,False,,6
Q23-001,S010-handoff,3319.8227862473877,3529.8227862473877,False,,7
Q23-020,leg1-descent,3331.552857902642,3350.5455873948295,False,,8
Q23-020,S013-handoff,3350.5455873948295,3530.5455873948295,False,,8
Q23-007,leg1-descent,3359.552055473148,3380.0711912153356,True,,
Q23-023,leg1-cruise,3368.2990024409564,3623.8702785720184,False,,9
Q23-005,leg2-descent,3374.5643567345587,3431.483949019715,False,,5
Q23-007,S006-handoff,3380.0711912153356,3590.0711912153356,True,,
Q23-004,S014-handoff,3384.0378421740124,3594.0378421740124,False,,6
Q23-005,S009-handoff,3431.483949019715,3611.483949019715,False,,5
Q23-001,leg2-climb,3529.8227862473877,3591.810642285799,False,,7
Q23-020,leg2-climb,3530.5455873948295,3581.335711906548,False,,8
Q23-020,leg2-cruise,3581.335711906548,3696.6151879742906,False,,8
Q23-007,leg2-climb,3590.0711912153356,3607.170471000492,True,,
Q23-001,leg2-cruise,3591.810642285799,3709.0353614864703,False,,7
Q23-004,leg2-climb,3594.0378421740124,3674.35363807245,False,,6
Q23-007,leg2-cruise,3607.170471000492,3872.2565800218167,True,,
Q23-005,leg3-climb,3611.483949019715,3632.5602531375534,False,,5
Q23-023,leg1-descent,3623.8702785720184,3674.874944709714,False,,9
Q23-005,leg3-cruise,3632.5602531375534,3759.7309285423235,False,,5
Q23-004,leg2-cruise,3674.35363807245,3801.7846565992654,False,,6
Q23-023,S008-handoff,3674.874944709714,3962.874944709714,False,,9
Q23-020,leg2-descent,3696.6151879742906,3757.603337388353,False,,8
Q23-001,leg2-descent,3709.0353614864703,3783.660788732564,False,,7
Q23-020,S010-handoff,3757.603337388353,3937.603337388353,False,,8
Q23-005,leg3-cruise,3759.7309285423235,4014.0722793518635,True,,
Q23-001,S014-handoff,3783.660788732564,3963.660788732564,False,,7
Q23-004,leg2-cruise,3801.7846565992654,4125.263395936567,True,,
Q23-007,leg2-descent,3872.2565800218167,3967.615715764004,True,,
Q23-019,leg1-climb,3924.4809999999998,4003.9653554687497,True,,
Q23-020,leg3-climb,3937.603337388353,3965.61551593653,False,,8
Q23-023,leg2-climb,3962.874944709714,4003.67867761987,False,,9
Q23-001,leg3-climb,3963.660788732564,4043.9765846310015,False,,7
Q23-020,leg3-cruise,3965.61551593653,4035.301097835169,False,,8
Q23-023,leg2-cruise,4003.67867761987,4259.249953750932,False,,9
Q23-019,leg1-cruise,4003.9653554687497,4259.247806227828,True,,
Q23-005,leg3-descent,4014.0722793518635,4080.28384429327,True,,
Q23-020,leg3-cruise,4035.301097835169,4363.81884107161,True,,
Q23-001,leg3-cruise,4043.9765846310015,4151.219986501386,False,,7
Q23-004,leg2-descent,4125.263395936567,4310.962351014692,True,,
Q23-001,leg3-cruise,4151.219986501386,4404.704390922295,True,,
Q23-019,leg1-cruise,4259.247806227828,4357.433364212088,False,,10
Q23-023,leg2-cruise,4259.249953750932,4544.310223281732,True,,
Q23-019,leg1-descent,4357.433364212088,4423.138808548026,False,,10
Q23-020,leg3-descent,4363.81884107161,4486.993455329422,True,,
Q23-001,leg3-descent,4404.704390922295,4590.40334600042,True,,
Q23-019,S005-handoff,4423.138808548026,4747.138808548026,False,,10
Q23-010,leg1-climb,4440.284,4530.463722086588,True,,
Q23-010,leg1-cruise,4530.463722086588,4897.886171234741,True,,
Q23-023,leg2-descent,4544.310223281732,4666.914889419427,True,,
Q23-019,leg2-climb,4747.138808548026,4799.703164016776,False,,10
