sortie,phase,start_s,end_s,start_longitude,start_latitude,end_longitude,end_latitude,start_altitude_m,end_altitude_m
Q23-001,leg1-climb,2865.0,2967.6455118815106,109.2308517,23.0085095,109.2308517,23.0085095,127.7,435.63653564453125
Q23-001,leg1-cruise,2967.6455118815106,3286.2081719895755,109.2308517,23.0085095,109.2760168,23.0194009,435.63653564453125,435.63653564453125
Q23-001,leg1-descent,3286.2081719895755,3319.8227862473877,109.2760168,23.0194009,109.2760168,23.0194009,435.63653564453125,351.6
Q23-001,S010-handoff,3319.8227862473877,3529.8227862473877,109.2760168,23.0194009,109.2760168,23.0194009,351.6,351.6
Q23-001,leg2-climb,3529.8227862473877,3591.810642285799,109.2760168,23.0194009,109.2760168,23.0194009,351.6,537.5635681152344
Q23-001,leg2-cruise,3591.810642285799,3709.0353614864703,109.2760168,23.0194009,109.2835966,23.0052097,537.5635681152344,537.5635681152344
Q23-001,leg2-descent,3709.0353614864703,3783.660788732564,109.2835966,23.0052097,109.2835966,23.0052097,537.5635681152344,351.0
Q23-001,S014-handoff,3783.660788732564,3963.660788732564,109.2835966,23.0052097,109.2835966,23.0052097,351.0,351.0
Q23-001,leg3-climb,3963.660788732564,4043.9765846310015,109.2835966,23.0052097,109.2835966,23.0052097,351.0,591.9473876953125
Q23-001,leg3-cruise,4043.9765846310015,4404.704390922295,109.2835966,23.0052097,109.2308517,23.0085095,591.9473876953125,591.9473876953125
Q23-001,leg3-descent,4404.704390922295,4590.40334600042,109.2308517,23.0085095,109.2308517,23.0085095,591.9473876953125,127.7
Q23-002,leg1-climb,390.0,518.0910583496094,109.2308517,23.0085095,109.2308517,23.0085095,127.7,511.9731750488281
Q23-002,leg1-cruise,518.0910583496094,820.3462515487731,109.2308517,23.0085095,109.1928191,23.0294186,511.9731750488281,511.9731750488281
Q23-002,leg1-descent,820.3462515487731,885.7355215683044,109.1928191,23.0294186,109.1928191,23.0294186,511.9731750488281,348.5
Q23-002,S007-handoff,885.7355215683044,1095.7355215683044,109.1928191,23.0294186,109.1928191,23.0294186,348.5,348.5
Q23-002,leg2-climb,1095.7355215683044,1147.2082591985127,109.1928191,23.0294186,109.1928191,23.0294186,348.5,502.918212890625
Q23-002,leg2-cruise,1147.2082591985127,1295.7671114345628,109.1928191,23.0294186,109.1923786,23.0494548,502.918212890625,502.918212890625
