sortie,drone,aircraft,battery,preparation_start_s,takeoff_s,return_s,route,box_count,energy_kwh,return_soc_percent
Q23-001,U05,B,B-B04,2475.0,2865.0,4590.40334600042,S010->S014,3,2.2682580251475897,43.293549371310256
Q23-002,U06,B,B-B03,0.0,390.0,2098.4814470988176,S007->S015,3,2.356604955996895,41.08487610007763
Q23-003,U04,A,A-B06,0.0,360.0,2110.416386028363,S012,2,2.9610218101255965,34.1995153305423
Q23-004,U03,A,A-B05,2322.0,2682.0,4310.962351014692,S014,2,2.287579462141669,49.164900841296244
Q23-005,U06,B,B-B02,2120.386,2510.386,4080.2838442932702,S013->S009,3,2.447597924329428,38.810051891764296
Q23-006,U02,A,A-B04,0.0,360.0,2007.7326591437006,S002,2,2.9291056520786074,34.90876328714205
Q23-007,U04,A,A-B03,2655.0,3015.0,3967.6157157640037,S006,2,1.3095542466968424,70.89879451784795
Q23-008,U01,A,A-B02,1164.0,1554.0,2476.4715825390367,S001,3,1.2679999605907624,71.82222309798306
Q23-009,U02,A,A-B03,4922.489,5282.489,7184.767664396717,S003,2,2.98110828373102,33.75314925042178
Q23-010,U06,B,B-B03,4080.284,4440.284,6006.056436047869,S004,2,2.5863165225912823,35.34208693521794
Q23-011,U05,B,B-B02,5899.0,6259.0,7804.8901119942975,S008,2,2.67732571392882,33.0668571517795
Q23-012,U06,B,B-B01,6006.057,6366.057,7775.63110101601,S015,2,2.07381939058718,48.1545152353205
Q23-013,U05,B,B-B01,0.0,390.0,2167.8964024391476,S009->S012,3,2.8458399643237655,28.854000891905862
Q23-014,U01,A,A-B02,4487.0,4847.0,6182.759325243763,S005,2,2.129487386151858,52.678058085514266
Q23-015,U01,A,A-B01,6183.0,6543.0,7406.53586206954,S011,2,1.1554653973561329,74.32299116986371
Q23-016,U07,C,C-B02,0.0,540.0,1627.4267416985467,S001,8,3.004662059347582,62.44172425815522
Q23-017,U08,C,C-B01,0.0,420.0,1363.4267416985467,S001,4,2.4121359166308616,69.84830104211423
Q23-018,U01,A,A-B01,0.0,330.0,1163.5358620695392,S011,1,1.1047520546707181,75.4499543406507
Q23-019,U07,C,C-B03,3504.4809999999998,3924.4809999999998,5252.526617096052,S005,4,3.801896648845467,52.47629188943166
Q23-020,U01,A,A-B01,2477.0,2837.0,4486.993455329424,S013->S010,2,2.2463659463996954,50.08075674667343
Q23-021,U08,C,C-B01,4944.275,5424.275,7055.283126582539,S002,6,6.12498843027008,23.437644621624
Q23-022,U07,C,C-B02,5252.527,5762.527,7666.306412820788,S006->S007,7,4.28806196620504,46.399225422437
Q23-023,U08,C,C-B04,2595.1549999999997,2985.1549999999997,4666.914889419427,S008,3,5.42136436523035,32.23294543462063
Q23-024,U07,C,C-B04,8019.382,8439.382,10192.567491467791,S004,4,5.539956839091937,30.750539511350784
Q23-025,U08,C,C-B03,7115.541,7595.541,9551.351858112424,S003,6,6.1476824567455175,23.153969290681033
