运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,诊断说明
Q23-016,leg1-climb,330.0,385.8872517903646,直连,,
Q23-004,leg1-climb,360.0,420.4180847167969,直连,,
Q23-017,leg1-climb,360.0,455.20033162434896,直连,,
Q23-016,leg1-cruise,385.8872517903646,620.6498955529988,直连,,
Q23-001,leg1-climb,390.0,438.45220336914065,直连,,
Q23-021,leg1-climb,390.0,492.6455118815104,直连,,
Q23-003,leg1-climb,420.0,478.14264404296875,直连,,
Q23-004,leg1-cruise,420.4180847167969,740.2150102367439,直连,,
Q23-001,leg1-cruise,438.45220336914065,693.7364805598828,直连,,
Q23-017,leg1-cruise,455.20033162434896,711.6799164156444,直连,,
Q23-003,leg1-cruise,478.14264404296875,682.3700657955625,直连,,
Q23-021,leg1-cruise,492.6455118815104,751.4776732193129,直连,,
Q23-002,leg1-climb,540.0,598.1426440429688,直连,,
Q23-002,leg1-cruise,598.1426440429688,802.3700657955625,直连,,
Q23-016,leg1-descent,620.6498955529988,653.9545977014363,直连,,
Q23-016,S011-handoff,653.9545977014363,833.9545977014363,直连,,
Q23-003,leg1-descent,682.3700657955625,726.8983708492734,直连,,
Q23-001,leg1-descent,693.7364805598828,729.3591246028516,直连,,
Q23-017,leg1-cruise,711.6799164156444,948.43030237684,中继,R3-001,
Q23-003,S001-handoff,726.8983708492734,1050.8983708492733,直连,,
Q23-001,S001-handoff,729.3591246028516,969.3591246028516,直连,,
Q23-004,leg1-cruise,740.2150102367439,1040.024627911694,中继,R3-001,
Q23-021,leg1-cruise,751.4776732193129,811.208171989575,中继,R3-001,
Q23-002,leg1-descent,802.3700657955625,846.8983708492734,直连,,
Q23-021,leg1-descent,811.208171989575,844.8227862473875,中继,R3-001,
Q23-016,leg2-climb,833.9545977014363,861.7085161584675,直连,,
Q23-021,S010-handoff,844.8227862473875,1054.8227862473875,中继,R3-001,
Q23-002,S001-handoff,846.8983708492734,1314.8983708492733,直连,,
Q23-016,leg2-cruise,861.7085161584675,1096.4711599211018,直连,,
Q23-017,leg1-descent,948.43030237684,1001.8307003260587,中继,R3-001,
Q23-001,leg2-climb,969.3591246028516,999.0446613053256,直连,,
Q23-001,leg2-cruise,999.0446613053256,1254.3289384960676,直连,,
Q23-017,S012-handoff,1001.8307003260587,1211.8307003260588,中继,R3-001,
Q23-004,leg1-descent,1040.024627911694,1075.8063295718503,中继,R3-001,
Q23-003,leg2-climb,1050.8983708492733,1086.521014892242,直连,,
Q23-021,leg2-climb,1054.8227862473875,1116.810642285799,中继,R3-001,
Q23-004,S002-handoff,1075.8063295718503,1285.8063295718503,中继,R3-001,
Q23-003,leg2-cruise,1086.521014892242,1290.7484366448357,直连,,
Q23-016,leg2-descent,1096.4711599211018,1163.5358620695392,直连,,
Q23-021,leg2-cruise,1116.810642285799,1234.0353614864703,中继,R3-001,
Q23-017,leg2-climb,1211.8307003260588,1256.3310319504078,中继,R3-001,
Q23-021,leg2-descent,1234.0353614864703,1308.660788732564,中继,R3-001,
Q23-001,leg2-descent,1254.3289384960676,1312.4715825390363,直连,,
Q23-017,leg2-cruise,1256.3310319504078,1493.0814179116035,中继,R3-001,
Q23-004,leg2-climb,1285.8063295718503,1315.6244142886471,中继,R3-001,
