运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
Q23-016,leg1-climb,330.0,385.8872517903646,直连,,66.86922826520828,122.0
Q23-004,leg1-climb,360.0,380.1393615722656,直连,,60.23392494929279,122.0
Q23-017,leg1-climb,360.0,383.80008290608725,直连,,63.97228668276127,122.0
Q23-004,leg1-climb,380.1393615722656,400.2787231445313,直连,,77.03365564741469,122.0
Q23-017,leg1-climb,383.80008290608725,407.6001658121745,直连,,78.85462513877252,122.0
Q23-016,leg1-cruise,385.8872517903646,393.2235844079469,直连,,83.80932947714741,122.0
Q23-001,leg1-climb,390.0,414.2261016845703,直连,,64.31881537331904,122.0
Q23-021,leg1-climb,390.0,415.6613779703776,直连,,65.39393397923973,122.0
Q23-016,leg1-cruise,393.2235844079469,400.5599170255292,直连,,85.9918103904865,122.0
Q23-004,leg1-climb,400.2787231445313,420.4180847167969,直连,,82.40264797547299,122.0
Q23-016,leg1-cruise,400.5599170255292,407.89624964311156,直连,,88.52036194838145,122.0
Q23-017,leg1-climb,407.6001658121745,431.4002487182617,直连,,84.0548442399942,122.0
Q23-016,leg1-cruise,407.89624964311156,415.23258226069385,直连,,90.72671002699629,122.0
Q23-001,leg1-climb,414.2261016845703,438.45220336914065,直连,,79.04372855980824,122.0
Q23-016,leg1-cruise,415.23258226069385,422.56891487827613,直连,,92.57672691515728,122.0
Q23-021,leg1-climb,415.6613779703776,441.3227559407552,直连,,79.65212742394806,122.0
Q23-003,leg1-climb,420.0,449.0713220214844,直连,,64.31881537331904,122.0
Q23-004,leg1-cruise,420.4180847167969,427.6996305092681,直连,,84.51210541441777,122.0
Q23-016,leg1-cruise,422.56891487827613,429.9052474958585,直连,,94.14097494227529,122.0
Q23-004,leg1-cruise,427.6996305092681,434.9811763017393,直连,,86.40733625985912,122.0
Q23-016,leg1-cruise,429.9052474958585,437.2415801134408,直连,,95.48574184333452,122.0
Q23-017,leg1-climb,431.4002487182617,455.20033162434896,直连,,87.28503714858458,122.0
Q23-004,leg1-cruise,434.9811763017393,442.2627220942105,直连,,88.73036326388143,122.0
Q23-016,leg1-cruise,437.2415801134408,444.57791273102316,直连,,96.66068710473903,122.0
Q23-001,leg1-cruise,438.45220336914065,445.5434332911057,直连,,82.49070993893825,122.0
Q23-021,leg1-climb,441.3227559407552,466.9841339111328,直连,,84.78800933048046,122.0
Q23-004,leg1-cruise,442.2627220942105,449.54426788668167,直连,,90.82927733035537,122.0
Q23-016,leg1-cruise,444.57791273102316,451.9142453486055,直连,,97.70178415293066,122.0
Q23-001,leg1-cruise,445.5434332911057,452.6346632130708,直连,,85.10671415669991,122.0
Q23-003,leg1-climb,449.0713220214844,478.14264404296875,直连,,79.04372855980824,122.0
Q23-004,leg1-cruise,449.54426788668167,456.8258136791528,直连,,92.62192333488525,122.0
Q23-016,leg1-cruise,451.9142453486055,459.2505779661878,直连,,98.63528939247468,122.0
Q23-001,leg1-cruise,452.6346632130708,459.72589313503585,直连,,87.90557249990259,122.0
Q23-017,leg1-cruise,455.20033162434896,462.32476453521826,直连,,88.71115618841868,122.0
Q23-004,leg1-cruise,456.8258136791528,464.107359471624,直连,,94.15315755012614,122.0
Q23-016,leg1-cruise,459.2505779661878,466.5869105837701,直连,,99.48071856787222,122.0
