sortie,start_s,end_s,direct_available,reason,gap_id
Q23-017,711.6799164156444,1493.0814179116035,False,,1
Q23-004,740.2150102367439,1615.4340319635974,False,,2
Q23-021,751.4776732193129,1676.219986501386,False,,3
Q23-014,2137.1440024409562,3028.094953750932,False,,4
Q23-011,2382.7668062278276,3021.4077220010367,False,,5
Q23-010,2758.2493042386855,3300.2626284269522,False,,6
Q23-019,3012.5931509762395,3648.011464632965,False,,7
Q23-018,3160.227868569072,3801.7846565992654,False,,8
Q23-022,3202.3455814585586,4087.3751389959266,False,,9
Q23-023,3238.1735008347127,4142.344928542324,False,,10
Q23-025,5491.586089499344,5550.797698015178,False,,11
Q23-006,5491.5869501896605,6420.835438328151,False,,12
Q23-025,5560.100056789216,6064.118302187424,False,,13
Q23-013,5646.507319897441,6567.351276109428,False,,14
Q23-007,6458.496029191099,7509.904415102967,False,,15
Q23-008,6644.602171234741,7277.1343203958095,False,,16
Q23-005,8794.069023629234,9746.435677538266,False,,17
Q23-020,8794.069093676466,9576.658097835169,False,,18
Q23-024,8794.069654927378,9891.728419698633,False,,19
Q23-009,9003.17811565206,9778.033459189754,False,,20
