sortie,phase,start_s,end_s,start_longitude,start_latitude,end_longitude,end_latitude,start_altitude_m,end_altitude_m
Q23-001,leg1-climb,390.0,438.45220336914065,109.2308517,23.0085095,109.2308517,23.0085095,127.7,273.0566101074219
Q23-001,leg1-cruise,438.45220336914065,693.7364805598828,109.2308517,23.0085095,109.2432319,23.0335927,273.0566101074219,273.0566101074219
Q23-001,leg1-descent,693.7364805598828,729.3591246028516,109.2432319,23.0335927,109.2432319,23.0335927,273.0566101074219,184.0
Q23-001,S001-handoff,729.3591246028516,969.3591246028516,109.2432319,23.0335927,109.2432319,23.0335927,184.0,184.0
Q23-001,leg2-climb,969.3591246028516,999.0446613053256,109.2432319,23.0335927,109.2432319,23.0335927,184.0,273.0566101074219
Q23-001,leg2-cruise,999.0446613053256,1254.3289384960676,109.2432319,23.0335927,109.2308517,23.0085095,273.0566101074219,273.0566101074219
Q23-001,leg2-descent,1254.3289384960676,1312.4715825390363,109.2308517,23.0085095,109.2308517,23.0085095,273.0566101074219,127.7
Q23-002,leg1-climb,540.0,598.1426440429688,109.2308517,23.0085095,109.2308517,23.0085095,127.7,273.0566101074219
Q23-002,leg1-cruise,598.1426440429688,802.3700657955625,109.2308517,23.0085095,109.2432319,23.0335927,273.0566101074219,273.0566101074219
Q23-002,leg1-descent,802.3700657955625,846.8983708492734,109.2432319,23.0335927,109.2432319,23.0335927,273.0566101074219,184.0
Q23-002,S001-handoff,846.8983708492734,1314.8983708492733,109.2432319,23.0335927,109.2432319,23.0335927,184.0,184.0
Q23-002,leg2-climb,1314.8983708492733,1350.521014892242,109.2432319,23.0335927,109.2432319,23.0335927,184.0,273.0566101074219
Q23-002,leg2-cruise,1350.521014892242,1554.7484366448357,109.2432319,23.0335927,109.2308517,23.0085095,273.0566101074219,273.0566101074219
Q23-002,leg2-descent,1554.7484366448357,1627.4267416985467,109.2308517,23.0085095,109.2308517,23.0085095,273.0566101074219,127.7
Q23-003,leg1-climb,420.0,478.14264404296875,109.2308517,23.0085095,109.2308517,23.0085095,127.7,273.0566101074219
Q23-003,leg1-cruise,478.14264404296875,682.3700657955625,109.2308517,23.0085095,109.2432319,23.0335927,273.0566101074219,273.0566101074219
Q23-003,leg1-descent,682.3700657955625,726.8983708492734,109.2432319,23.0335927,109.2432319,23.0335927,273.0566101074219,184.0
Q23-003,S001-handoff,726.8983708492734,1050.8983708492733,109.2432319,23.0335927,109.2432319,23.0335927,184.0,184.0
Q23-003,leg2-climb,1050.8983708492733,1086.521014892242,109.2432319,23.0335927,109.2432319,23.0335927,184.0,273.0566101074219
Q23-003,leg2-cruise,1086.521014892242,1290.7484366448357,109.2432319,23.0335927,109.2308517,23.0085095,273.0566101074219,273.0566101074219
Q23-003,leg2-descent,1290.7484366448357,1363.4267416985467,109.2308517,23.0085095,109.2308517,23.0085095,273.0566101074219,127.7
Q23-004,leg1-climb,360.0,420.4180847167969,109.2308517,23.0085095,109.2308517,23.0085095,127.7,308.9542541503906
Q23-004,leg1-cruise,420.4180847167969,1040.024627911694,109.2308517,23.0085095,109.2585519,23.0703271,308.9542541503906,308.9542541503906
Q23-004,leg1-descent,1040.024627911694,1075.8063295718503,109.2585519,23.0703271,109.2585519,23.0703271,308.9542541503906,219.5
Q23-004,S002-handoff,1075.8063295718503,1285.8063295718503,109.2585519,23.0703271,109.2585519,23.0703271,219.5,219.5
Q23-004,leg2-climb,1285.8063295718503,1315.6244142886471,109.2585519,23.0703271,109.2585519,23.0703271,219.5,308.9542541503906
Q23-004,leg2-cruise,1315.6244142886471,1935.2309574835444,109.2585519,23.0703271,109.2308517,23.0085095,308.9542541503906,308.9542541503906
Q23-004,leg2-descent,1935.2309574835444,2007.7326591437006,109.2308517,23.0085095,109.2308517,23.0085095,308.9542541503906,127.7
Q23-005,leg1-climb,8463.811,8536.312701660156,109.2308517,23.0085095,109.2308517,23.0085095,127.7,308.9542541503906
Q23-005,leg1-cruise,8536.312701660156,9031.997936216074,109.2308517,23.0085095,109.2585519,23.0703271,308.9542541503906,308.9542541503906
Q23-005,leg1-descent,9031.997936216074,9076.72506329127,109.2585519,23.0703271,109.2585519,23.0703271,308.9542541503906,219.5
Q23-005,S002-handoff,9076.72506329127,9472.72506329127,109.2585519,23.0703271,109.2585519,23.0703271,219.5,219.5
Q23-005,leg2-climb,9472.72506329127,9508.506764951426,109.2585519,23.0703271,109.2585519,23.0703271,219.5,308.9542541503906
Q23-005,leg2-cruise,9508.506764951426,10004.191999507344,109.2585519,23.0703271,109.2308517,23.0085095,308.9542541503906,308.9542541503906
Q23-005,leg2-descent,10004.191999507344,10094.819126582539,109.2308517,23.0085095,109.2308517,23.0085095,308.9542541503906,127.7
Q23-006,leg1-climb,5019.542,5164.243379394532,109.2308517,23.0085095,109.2308517,23.0085095,127.7,561.8041381835938
Q23-006,leg1-cruise,5164.243379394532,5769.333010258255,109.2308517,23.0085095,109.1688578,23.0402714,561.8041381835938,561.8041381835938
Q23-006,leg1-descent,5769.333010258255,5858.654665531692,109.1688578,23.0402714,109.1688578,23.0402714,561.8041381835938,338.5
Q23-006,S003-handoff,5858.654665531692,6068.654665531692,109.1688578,23.0402714,109.1688578,23.0402714,338.5,338.5
Q23-006,leg2-climb,6068.654665531692,6143.089378259557,109.1688578,23.0402714,109.1688578,23.0402714,338.5,561.8041381835938
Q23-006,leg2-cruise,6143.089378259557,6748.17900912328,109.1688578,23.0402714,109.2308517,23.0085095,561.8041381835938,561.8041381835938
Q23-006,leg2-descent,6748.17900912328,6921.820664396717,109.2308517,23.0085095,109.2308517,23.0085095,561.8041381835938,127.7
Q23-007,leg1-climb,6028.0,6201.641655273437,109.2308517,23.0085095,109.2308517,23.0085095,127.7,561.8041381835938
Q23-007,leg1-cruise,6201.641655273437,6685.713359964416,109.2308517,23.0085095,109.1688578,23.0402714,561.8041381835938,561.8041381835938
Q23-007,leg1-descent,6685.713359964416,6797.365429056213,109.1688578,23.0402714,109.1688578,23.0402714,561.8041381835938,338.5
Q23-007,S003-handoff,6797.365429056213,7193.365429056213,109.1688578,23.0402714,109.1688578,23.0402714,338.5,338.5
Q23-007,leg2-climb,7193.365429056213,7282.68708432965,109.1688578,23.0402714,109.1688578,23.0402714,338.5,561.8041381835938
Q23-007,leg2-cruise,7282.68708432965,7766.758789020629,109.1688578,23.0402714,109.2308517,23.0085095,561.8041381835938,561.8041381835938
Q23-007,leg2-descent,7766.758789020629,7983.810858112425,109.2308517,23.0085095,109.2308517,23.0085095,561.8041381835938,127.7
Q23-008,leg1-climb,6187.0,6277.179722086588,109.2308517,23.0085095,109.2308517,23.0085095,127.7,398.2391662597656
Q23-008,leg1-cruise,6277.179722086588,6793.557218186695,109.2308517,23.0085095,109.2381714,23.0778414,398.2391662597656,398.2391662597656
Q23-008,leg1-descent,6793.557218186695,6861.5328846906,109.2381714,23.0778414,109.2381714,23.0778414,398.2391662597656,228.3
Q23-008,S004-handoff,6861.5328846906,7071.5328846906,109.2381714,23.0778414,109.2381714,23.0778414,228.3,228.3
Q23-008,leg2-climb,7071.5328846906,7128.179273443856,109.2381714,23.0778414,109.2381714,23.0778414,228.3,398.2391662597656
Q23-008,leg2-cruise,7128.179273443856,7644.556769543962,109.2381714,23.0778414,109.2308517,23.0085095,398.2391662597656,398.2391662597656
Q23-008,leg2-descent,7644.556769543962,7752.772436047869,109.2308517,23.0085095,109.2308517,23.0085095,398.2391662597656,127.7
Q23-009,leg1-climb,8527.54,8635.755666503906,109.2308517,23.0085095,109.2308517,23.0085095,127.7,398.2391662597656
Q23-009,leg1-cruise,8635.755666503906,9152.133162604012,109.2308517,23.0085095,109.2381714,23.0778414,398.2391662597656,398.2391662597656
Q23-009,leg1-descent,9152.133162604012,9237.102745733895,109.2381714,23.0778414,109.2381714,23.0778414,398.2391662597656,228.3
Q23-009,S004-handoff,9237.102745733895,9561.102745733895,109.2381714,23.0778414,109.2381714,23.0778414,228.3,228.3
Q23-009,leg2-climb,9561.102745733895,9629.0784122378,109.2381714,23.0778414,109.2381714,23.0778414,228.3,398.2391662597656
Q23-009,leg2-cruise,9629.0784122378,10145.455908337906,109.2381714,23.0778414,109.2308517,23.0085095,398.2391662597656,398.2391662597656
Q23-009,leg2-descent,10145.455908337906,10280.725491467789,109.2308517,23.0085095,109.2308517,23.0085095,398.2391662597656,127.7
Q23-010,leg1-climb,2368.0,2434.236962890625,109.2308517,23.0085095,109.2308517,23.0085095,127.7,326.410888671875
Q23-010,leg1-cruise,2434.236962890625,2876.071973819798,109.2308517,23.0085095,109.2283003,23.0561338,326.410888671875,326.410888671875
Q23-010,leg1-descent,2876.071973819798,2928.636329288548,109.2283003,23.0561338,109.2283003,23.0561338,326.410888671875,195.0
Q23-010,S005-handoff,2928.636329288548,3138.636329288548,109.2283003,23.0561338,109.2283003,23.0561338,195.0,195.0
Q23-010,leg2-climb,3138.636329288548,3182.4399588458396,109.2283003,23.0561338,109.2283003,23.0561338,195.0,326.410888671875
Q23-010,leg2-cruise,3182.4399588458396,3624.274969775013,109.2283003,23.0561338,109.2308517,23.0085095,326.410888671875,326.410888671875
Q23-010,leg2-descent,3624.274969775013,3703.7593252437628,109.2308517,23.0085095,109.2308517,23.0085095,326.410888671875,127.7
Q23-011,leg1-climb,2048.0,2127.48435546875,109.2308517,23.0085095,109.2308517,23.0085095,127.7,326.410888671875
Q23-011,leg1-cruise,2127.48435546875,2480.9523642120885,109.2308517,23.0085095,109.2283003,23.0561338,326.410888671875,326.410888671875
Q23-011,leg1-descent,2480.9523642120885,2546.657808548026,109.2283003,23.0561338,109.2283003,23.0561338,326.410888671875,195.0
Q23-011,S005-handoff,2546.657808548026,2870.657808548026,109.2283003,23.0561338,109.2283003,23.0561338,195.0,195.0
Q23-011,leg2-climb,2870.657808548026,2923.222164016776,109.2283003,23.0561338,109.2283003,23.0561338,195.0,326.410888671875
Q23-011,leg2-cruise,2923.222164016776,3276.6901727601144,109.2283003,23.0561338,109.2308517,23.0085095,326.410888671875,326.410888671875
Q23-011,leg2-descent,3276.6901727601144,3376.045617096052,109.2308517,23.0085095,109.2308517,23.0085095,326.410888671875,127.7
Q23-012,leg1-climb,3015.0,3094.465946451823,109.2308517,23.0085095,109.2308517,23.0085095,127.7,366.09783935546875
Q23-012,leg1-cruise,3094.465946451823,3359.552055473148,109.2308517,23.0085095,109.1997836,23.007714,366.09783935546875,366.09783935546875
Q23-012,leg1-descent,3359.552055473148,3380.0711912153356,109.1997836,23.007714,109.1997836,23.007714,366.09783935546875,314.8
Q23-012,S006-handoff,3380.0711912153356,3590.0711912153356,109.1997836,23.007714,109.1997836,23.007714,314.8,314.8
Q23-012,leg2-climb,3590.0711912153356,3607.170471000492,109.1997836,23.007714,109.1997836,23.007714,314.8,366.09783935546875
Q23-012,leg2-cruise,3607.170471000492,3872.2565800218167,109.1997836,23.007714,109.2308517,23.0085095,366.09783935546875,366.09783935546875
Q23-012,leg2-descent,3872.2565800218167,3967.615715764004,109.2308517,23.0085095,109.2308517,23.0085095,366.09783935546875,127.7
Q23-013,leg1-climb,5207.0,5288.736444091797,109.2308517,23.0085095,109.2308517,23.0085095,127.7,372.9093322753906
Q23-013,leg1-cruise,5288.736444091797,5964.525876169125,109.2308517,23.0085095,109.2127472,23.0795113,372.9093322753906,372.9093322753906
Q23-013,leg1-descent,5964.525876169125,6005.329609079281,109.2127472,23.0795113,109.2127472,23.0795113,372.9093322753906,270.9
Q23-013,S008-handoff,6005.329609079281,6215.329609079281,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9
Q23-013,leg2-climb,6215.329609079281,6249.332719837745,109.2127472,23.0795113,109.2127472,23.0795113,270.9,372.9093322753906
Q23-013,leg2-cruise,6249.332719837745,6925.122151915072,109.2127472,23.0795113,109.2308517,23.0085095,372.9093322753906,372.9093322753906
Q23-013,leg2-descent,6925.122151915072,7023.205884825228,109.2308517,23.0085095,109.2308517,23.0085095,372.9093322753906,127.7
Q23-014,leg1-climb,1754.0,1852.0837329101562,109.2308517,23.0085095,109.2308517,23.0085095,127.7,372.9093322753906
Q23-014,leg1-cruise,1852.0837329101562,2392.715278572018,109.2308517,23.0085095,109.2127472,23.0795113,372.9093322753906,372.9093322753906
Q23-014,leg1-descent,2392.715278572018,2443.7199447097137,109.2127472,23.0795113,109.2127472,23.0795113,372.9093322753906,270.9
Q23-014,S008-handoff,2443.7199447097137,2731.7199447097137,109.2127472,23.0795113,109.2127472,23.0795113,270.9,270.9
Q23-014,leg2-climb,2731.7199447097137,2772.52367761987,109.2127472,23.0795113,109.2127472,23.0795113,270.9,372.9093322753906
Q23-014,leg2-cruise,2772.52367761987,3313.155223281732,109.2127472,23.0795113,109.2308517,23.0085095,372.9093322753906,372.9093322753906
Q23-014,leg2-descent,3313.155223281732,3435.7598894194275,109.2308517,23.0085095,109.2308517,23.0085095,372.9093322753906,127.7
Q23-015,leg1-climb,6991.0,7046.887251790365,109.2308517,23.0085095,109.2308517,23.0085095,127.7,295.36175537109375
Q23-015,leg1-cruise,7046.887251790365,7234.697366800472,109.2308517,23.0085095,109.2203356,23.0319231,295.36175537109375,295.36175537109375
Q23-015,leg1-descent,7234.697366800472,7268.002068948909,109.2203356,23.0319231,109.2203356,23.0319231,295.36175537109375,212.1
Q23-015,S011-handoff,7268.002068948909,7478.002068948909,109.2203356,23.0319231,109.2203356,23.0319231,212.1,212.1
Q23-015,leg2-climb,7478.002068948909,7505.755987405941,109.2203356,23.0319231,109.2203356,23.0319231,212.1,295.36175537109375
Q23-015,leg2-cruise,7505.755987405941,7693.566102416048,109.2203356,23.0319231,109.2308517,23.0085095,295.36175537109375,295.36175537109375
Q23-015,leg2-descent,7693.566102416048,7760.6308045644855,109.2308517,23.0085095,109.2308517,23.0085095,295.36175537109375,127.7
Q23-016,leg1-climb,330.0,385.8872517903646,109.2308517,23.0085095,109.2308517,23.0085095,127.7,295.36175537109375
Q23-016,leg1-cruise,385.8872517903646,620.6498955529988,109.2308517,23.0085095,109.2203356,23.0319231,295.36175537109375,295.36175537109375
Q23-016,leg1-descent,620.6498955529988,653.9545977014363,109.2203356,23.0319231,109.2203356,23.0319231,295.36175537109375,212.1
Q23-016,S011-handoff,653.9545977014363,833.9545977014363,109.2203356,23.0319231,109.2203356,23.0319231,212.1,212.1
Q23-016,leg2-climb,833.9545977014363,861.7085161584675,109.2203356,23.0319231,109.2203356,23.0319231,212.1,295.36175537109375
Q23-016,leg2-cruise,861.7085161584675,1096.4711599211018,109.2203356,23.0319231,109.2308517,23.0085095,295.36175537109375,295.36175537109375
Q23-016,leg2-descent,1096.4711599211018,1163.5358620695392,109.2308517,23.0085095,109.2308517,23.0085095,295.36175537109375,127.7
Q23-017,leg1-climb,360.0,455.20033162434896,109.2308517,23.0085095,109.2308517,23.0085095,127.7,413.3009948730469
Q23-017,leg1-cruise,455.20033162434896,948.43030237684,109.2308517,23.0085095,109.2831357,23.054464,413.3009948730469,413.3009948730469
Q23-017,leg1-descent,948.43030237684,1001.8307003260587,109.2831357,23.054464,109.2831357,23.054464,413.3009948730469,279.8
Q23-017,S012-handoff,1001.8307003260587,1211.8307003260588,109.2831357,23.054464,109.2831357,23.054464,279.8,279.8
Q23-017,leg2-climb,1211.8307003260588,1256.3310319504078,109.2831357,23.054464,109.2831357,23.054464,279.8,413.3009948730469
Q23-017,leg2-cruise,1256.3310319504078,1749.5610027028988,109.2831357,23.054464,109.2308517,23.0085095,413.3009948730469,413.3009948730469
Q23-017,leg2-descent,1749.5610027028988,1863.8014006521175,109.2308517,23.0085095,109.2308517,23.0085095,413.3009948730469,127.7
Q23-018,leg1-climb,2682.0,2836.749129231771,109.2308517,23.0085095,109.2308517,23.0085095,127.7,591.9473876953125
Q23-018,leg1-cruise,2836.749129231771,3287.6588870958876,109.2308517,23.0085095,109.2835966,23.0052097,591.9473876953125,591.9473876953125
Q23-018,leg1-descent,3287.6588870958876,3384.0378421740124,109.2835966,23.0052097,109.2835966,23.0052097,591.9473876953125,351.0
Q23-018,S014-handoff,3384.0378421740124,3594.0378421740124,109.2835966,23.0052097,109.2835966,23.0052097,351.0,351.0
Q23-018,leg2-climb,3594.0378421740124,3674.35363807245,109.2835966,23.0052097,109.2835966,23.0052097,351.0,591.9473876953125
Q23-018,leg2-cruise,3674.35363807245,4125.263395936567,109.2835966,23.0052097,109.2308517,23.0085095,591.9473876953125,591.9473876953125
Q23-018,leg2-descent,4125.263395936567,4310.962351014692,109.2308517,23.0085095,109.2308517,23.0085095,591.9473876953125,127.7
Q23-019,leg1-climb,2540.0,2688.033085123698,109.2308517,23.0085095,109.2308517,23.0085095,127.7,571.7992553710938
Q23-019,leg1-cruise,2688.033085123698,3189.6259141685346,109.2308517,23.0085095,109.1923786,23.0494548,571.7992553710938,571.7992553710938
Q23-019,leg1-descent,3189.6259141685346,3228.545616316972,109.1923786,23.0494548,109.1923786,23.0494548,571.7992553710938,474.5
Q23-019,S015-handoff,3228.545616316972,3438.545616316972,109.1923786,23.0494548,109.1923786,23.0494548,474.5,474.5
Q23-019,leg2-climb,3438.545616316972,3470.9787014406697,109.1923786,23.0494548,109.1923786,23.0494548,474.5,571.7992553710938
Q23-019,leg2-cruise,3470.9787014406697,3972.571530485506,109.1923786,23.0494548,109.2308517,23.0085095,571.7992553710938,571.7992553710938
Q23-019,leg2-descent,3972.571530485506,4150.211232633944,109.2308517,23.0085095,109.2308517,23.0085095,571.7992553710938,127.7
Q23-020,leg1-climb,8378.357,8468.850941243489,109.2308517,23.0085095,109.2308517,23.0085095,127.7,399.18182373046875
Q23-020,leg1-cruise,8468.850941243489,8872.909857902641,109.2308517,23.0085095,109.2713839,23.0310882,399.18182373046875,399.18182373046875
Q23-020,leg1-descent,8872.909857902641,8891.902587394829,109.2713839,23.0310882,109.2713839,23.0310882,399.18182373046875,351.7
Q23-020,S013-handoff,8891.902587394829,9071.902587394829,109.2713839,23.0310882,109.2713839,23.0310882,351.7,351.7
Q23-020,leg2-climb,9071.902587394829,9122.692711906548,109.2713839,23.0310882,109.2713839,23.0310882,351.7,504.07037353515625
Q23-020,leg2-cruise,9122.692711906548,9237.97218797429,109.2713839,23.0310882,109.2760168,23.0194009,504.07037353515625,504.07037353515625
Q23-020,leg2-descent,9237.97218797429,9298.960337388353,109.2760168,23.0194009,109.2760168,23.0194009,504.07037353515625,351.6
Q23-020,S010-handoff,9298.960337388353,9478.960337388353,109.2760168,23.0194009,109.2760168,23.0194009,351.6,351.6
Q23-020,leg3-climb,9478.960337388353,9506.97251593653,109.2760168,23.0194009,109.2760168,23.0194009,351.6,435.63653564453125
Q23-020,leg3-cruise,9506.97251593653,9905.17584107161,109.2760168,23.0194009,109.2308517,23.0085095,435.63653564453125,435.63653564453125
Q23-020,leg3-descent,9905.17584107161,10028.350455329422,109.2308517,23.0085095,109.2308517,23.0085095,435.63653564453125,127.7
Q23-021,leg1-climb,390.0,492.6455118815104,109.2308517,23.0085095,109.2308517,23.0085095,127.7,435.63653564453125
Q23-021,leg1-cruise,492.6455118815104,811.208171989575,109.2308517,23.0085095,109.2760168,23.0194009,435.63653564453125,435.63653564453125
Q23-021,leg1-descent,811.208171989575,844.8227862473875,109.2760168,23.0194009,109.2760168,23.0194009,435.63653564453125,351.6
Q23-021,S010-handoff,844.8227862473875,1054.8227862473875,109.2760168,23.0194009,109.2760168,23.0194009,351.6,351.6
Q23-021,leg2-climb,1054.8227862473875,1116.810642285799,109.2760168,23.0194009,109.2760168,23.0194009,351.6,537.5635681152344
Q23-021,leg2-cruise,1116.810642285799,1234.0353614864703,109.2760168,23.0194009,109.2835966,23.0052097,537.5635681152344,537.5635681152344
Q23-021,leg2-descent,1234.0353614864703,1308.660788732564,109.2835966,23.0052097,109.2835966,23.0052097,537.5635681152344,351.0
Q23-021,S014-handoff,1308.660788732564,1488.660788732564,109.2835966,23.0052097,109.2835966,23.0052097,351.0,351.0
Q23-021,leg3-climb,1488.660788732564,1568.9765846310015,109.2835966,23.0052097,109.2835966,23.0052097,351.0,591.9473876953125
