架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
Q23-001,U04,A,A-B06,0.0,390.0,1312.4715825390365,S001,1.2679999605907624,71.82222309798306,3,2178.782682265257
Q23-002,U07,C,C-B01,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
Q23-003,U08,C,C-B02,0.0,420.0,1363.4267416985467,S001,2.4121359166308616,69.84830104211423,4,2850.046885786072
Q23-004,U02,A,A-B05,0.0,360.0,2007.7326591437009,S002,2.9291056520786074,34.90876328714205,2,3353.918736410854
Q23-005,U08,C,C-B02,7983.811,8463.811,10094.819126582537,S002,6.12498843027008,23.437644621624,6,12587.003493114018
Q23-006,U02,A,A-B05,4659.542,5019.542,6921.820664396718,S003,2.98110828373102,33.75314925042178,2,8283.029724141235
Q23-007,U08,C,C-B04,5548.0,6028.0,7983.810858112425,S003,6.1476824567455175,23.153969290681033,6,10482.141523481003
Q23-008,U06,B,B-B02,5827.0,6187.0,7752.772436047869,S004,2.5863165225912823,35.34208693521794,2,9540.17626250409
Q23-009,U07,C,C-B03,8107.54,8527.54,10280.72549146779,S004,5.539956839091937,30.750539511350784,4,12614.46380205519
Q23-010,U02,A,A-B03,2008.0,2368.0,3703.759325243763,S005,2.129487386151858,52.678058085514266,2,4818.944570132077
Q23-011,U07,C,C-B04,1628.0,2048.0,3376.0456170960524,S005,3.801896648845467,52.47629188943166,4,5239.0592928250335
Q23-012,U03,A,A-B02,2655.0,3015.0,3967.6157157640037,S006,1.3095542466968424,70.89879451784795,2,4845.93138703198
Q23-013,U04,A,A-B02,4847.0,5207.0,7023.205884825228,S008,3.211521065175303,28.632865218326607,2,8450.978636986982
Q23-014,U08,C,C-B03,1364.0,1754.0,3435.759889419427,S008,5.42136436523035,32.23294543462063,3,5737.379405002646
Q23-015,U05,B,B-B04,6631.0,6991.0,7760.6308045644855,S011,0.9674261894713756,75.81434526321561,2,8846.515486668748
Q23-016,U01,A,A-B01,0.0,330.0,1163.5358620695392,S011,1.1047520546707181,75.4499543406507,1,1982.68645564108
Q23-017,U05,B,B-B03,0.0,360.0,1863.8014006521175,S012,2.471727988536909,38.20680028657728,2,3601.5501956847784
Q23-018,U01,A,A-B01,2322.0,2682.0,4310.962351014692,S014,2.287579462141669,49.164900841296244,2,5471.818640077841
Q23-019,U04,A,A-B06,2180.0,2540.0,4150.211232633945,S015,2.475682947936683,44.984823379184824,2,5365.408528704542
Q23-020,U01,A,A-B01,8018.357,8378.357,10028.350455329422,S013→S010,2.2463659463996954,50.08075674667343,2,11177.300617622668
Q23-021,U06,B,B-B02,0.0,390.0,2115.40334600042,S010→S014,2.2682580251475897,43.293549371310256,3,3764.981823564375
Q23-022,U06,B,B-B04,2421.0,2811.0,4519.481447098818,S007→S015,2.356604955996895,41.08487610007763,3,6207.343594697471
Q23-023,U05,B,B-B01,2503.0,2893.0,4462.897844293269,S013→S009,2.447597924329428,38.810051891764296,3,6190.190278169355
Q23-024,U05,B,B-B03,8094.552,8484.552,10262.448402439148,S009→S012,2.8458399643237655,28.854000891905862,3,12162.312386979447
Q23-025,U07,C,C-B01,4105.73,4615.73,6519.5094128207875,S006→S007,4.28806196620504,46.399225422437,7,8514.192862001319
