covered_gap_ids,covered_sorties,service_start_s,service_end_s,preparation_start_s,longitude,latitude,ground_dsm_m,hover_altitude_m,agl_m,energy_kwh,return_soc_percent,return_o01_s,outbound_flight_s,return_flight_s
"[4, 5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",1598.3852900958318,7422.769452303852,916.1716600696325,109.2453366,23.0631517,224.78103637695312,474.7810363769531,250.0,2.07487602752245,35.16012413992344,7913.4071047502985,472.2136300261993,490.63765244644674
"[2, 3, 4, 5, 7, 8, 10, 12, 14, 17, 18, 21]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-018,Q2-019,Q2-020,Q2-021",922.5291497834601,7844.322975131394,353.84727930060967,109.2183003,23.0461338,314.61212158203125,614.6121215820312,300.0,2.3343611480457795,27.051214123569387,8225.312786796698,358.6818704828504,380.98981166530484
"[4, 5, 10, 12, 14, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-018,Q2-020,Q2-021,Q2-026,Q2-028,Q2-030,Q2-031",1598.3852900958318,8988.86208053246,964.7756415329194,109.205203,23.0458064,454.0745849609375,704.0745849609375,250.0,2.5107005413473904,21.540608082894053,9444.607301910315,423.6096485629124,455.7452213778538
"[5, 7, 8, 11, 12, 14, 15, 16, 17, 18, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",2421.467771120079,7422.769452303852,1739.2541410938795,109.2453366,23.0631517,224.78103637695312,474.7810363769531,250.0,1.823378602765041,43.01941866359248,7913.4071047502985,472.2136300261993,490.63765244644674
"[4, 7, 8, 9, 11, 12, 14, 15, 16, 17, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-018,Q2-021,Q2-024,Q2-026,Q2-027,Q2-028,Q2-029",1598.3852900958318,7422.769452303852,874.1703973544943,109.2677807,23.0597573,242.47857666015625,542.4785766601562,300.0,2.1008320001781797,34.348999994431885,7956.441822360456,514.2148927413375,533.6723700566044
"[3, 4, 5, 7, 8, 10, 12, 14, 17, 18, 21]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-018,Q2-019,Q2-020,Q2-021",1202.4283044869223,7844.322975131394,633.746434004072,109.2183003,23.0461338,314.61212158203125,614.6121215820312,300.0,2.248836406330833,29.723862302161475,8225.312786796698,358.6818704828504,380.98981166530484
"[5, 10, 12, 14, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-020,Q2-021,Q2-026,Q2-028,Q2-030,Q2-031",2421.467771120079,8988.86208053246,1787.8581225571666,109.205203,23.0458064,454.0745849609375,704.0745849609375,250.0,2.259203116589982,29.399902606563067,9444.607301910315,423.6096485629124,455.7452213778538
"[1, 4, 6, 7, 8, 9, 12, 13, 14, 17, 22]","Q2-008,Q2-009,Q2-010,Q2-011,Q2-012,Q2-013,Q2-018,Q2-021,Q2-022,Q2-023,Q2-024",803.9626477115796,8000.946961477172,152.17655200317665,109.2795646,23.027845,356.48876953125,656.48876953125,300.0,2.467883586327782,22.87863792725682,8469.345741816924,441.78609570840297,468.39878033975066
"[4, 5, 12, 14, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-020,Q2-021,Q2-026,Q2-028,Q2-030,Q2-031",1598.3852900958318,8988.86208053246,963.1714768276913,109.209989,23.0511106,390.0771789550781,690.0771789550781,300.0,2.516706812797546,21.352912100076693,9440.349212790674,425.21381326814054,451.48713225821217
"[7, 8, 11, 12, 14, 15, 16, 17, 18, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",2996.903230692702,7422.769452303852,2314.689600666503,109.2453366,23.0631517,224.78103637695312,474.7810363769531,250.0,1.6475511012289614,48.51402808659496,7913.4071047502985,472.2136300261993,490.63765244644674
"[7, 8, 9, 11, 12, 14, 15, 16, 17, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-021,Q2-024,Q2-026,Q2-027,Q2-028,Q2-029",2996.903230692702,7422.769452303852,2272.6883379513647,109.2677807,23.0597573,242.47857666015625,542.4785766601562,300.0,1.6735070738846916,47.70290394110339,7956.441822360456,514.2148927413375,533.6723700566044
"[2, 4, 5, 7, 8, 10, 12, 14, 17, 18]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-018,Q2-021",922.5291497834601,6373.201701800115,429.3175833222661,109.2187255,23.0381964,270.1216735839844,570.1216735839844,300.0,1.8419649785943633,42.43859441892616,6672.448407726642,283.21156646119397,299.24670592652603
"[10, 12, 14, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-017,Q2-020,Q2-021,Q2-026,Q2-028,Q2-030,Q2-031",3691.9542689266414,8988.86208053246,3058.344620363729,109.205203,23.0458064,454.0745849609375,704.0745849609375,250.0,1.8709989089268653,41.531284096035456,9444.607301910315,423.6096485629124,455.7452213778538
"[4, 5, 7, 8, 11, 12, 14, 17, 18, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-021,Q2-027,Q2-029",1598.3852900958318,7422.769452303852,954.8963610605458,109.2361751,23.0589327,309.4656982421875,609.4656982421875,300.0,2.0493791602502274,35.95690124218039,7875.572189525987,433.488929035286,452.80273722213497
"[4, 7, 8, 11, 12, 14, 15, 16, 17, 20]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-018,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",1598.3852900958318,7422.769452303852,927.0858597568692,109.2485519,23.0603271,265.1324462890625,565.1324462890625,300.0,2.0669481772437304,35.40786946113344,7903.616648756096,461.29943033896257,480.84719645224385
"[4, 5, 11, 12, 14, 15, 16, 17, 18, 20]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",1598.3852900958318,7422.769452303852,859.6226088037156,109.2265448,23.0724343,238.3843536376953,488.3843536376953,250.0,2.111371160511407,34.01965123401853,7969.5247620749715,528.7626812921162,546.7553097711201
"[4, 5, 7, 8, 10, 12, 14, 17, 18, 21]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-018,Q2-020,Q2-021",1598.3852900958318,7844.322975131394,1029.7034196129814,109.2183003,23.0461338,314.61212158203125,614.6121215820312,300.0,2.1278495496169993,33.504701574468776,8225.312786796698,358.6818704828504,380.98981166530484
"[4, 6, 7, 8, 9, 12, 13, 14, 17, 22]","Q2-008,Q2-009,Q2-011,Q2-012,Q2-013,Q2-018,Q2-021,Q2-022,Q2-023,Q2-024",1598.3852900958318,8000.946961477172,946.5991943874288,109.2795646,23.027845,356.48876953125,656.48876953125,300.0,2.2251433344881497,30.46427079724533,8469.345741816924,441.78609570840297,468.39878033975066
"[5, 10, 12, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-020,Q2-026,Q2-028,Q2-030,Q2-031",2421.467771120079,8988.86208053246,1821.6599208684363,109.2033957,23.0383723,476.96923828125,776.96923828125,300.0,2.2366414852620657,30.104953585560445,9411.942367307542,389.8078502516426,423.08028677508014
"[3, 4, 5, 7, 8, 12, 14, 17, 18, 21]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-019,Q2-020,Q2-021",1202.4283044869223,7844.322975131394,643.9157960880975,109.215203,23.0458064,281.1133117675781,581.1133117675781,300.0,2.2465284692148346,29.795985337036424,8210.21349561518,348.5125083988248,365.8905204837858
"[2, 3, 5, 7, 8, 10, 12, 17, 18, 21]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-019,Q2-020",922.5291497834601,7844.322975131394,464.6135946467484,109.2133709,23.0277561,306.1321716308594,606.1321716308594,300.0,2.265000942640248,29.21872054249225,8112.890478306843,247.91555513671165,268.5675031754486
"[5, 12, 14, 15, 16, 17, 18, 19, 21, 23]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-020,Q2-021,Q2-026,Q2-028,Q2-030,Q2-031",2421.467771120079,8988.86208053246,1786.2539578519384,109.209989,23.0511106,390.0771789550781,690.0771789550781,300.0,2.2652093880401374,29.212206623745708,9440.349212790674,425.21381326814054,451.48713225821217
"[2, 3, 4, 5, 10, 12, 14, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-018,Q2-019,Q2-020,Q2-021",922.5291497834601,7844.322975131394,351.34366164000767,109.209989,23.0411106,400.5534973144531,700.5534973144531,300.0,2.3320548397047642,27.12328625922612,8232.412921384384,361.1854881434524,388.08994625299016
"[3, 4, 5, 12, 14, 15, 16, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-016,Q2-018,Q2-019,Q2-020,Q2-021,Q2-026,Q2-028",1202.4283044869223,7844.322975131394,480.6845519690623,109.2033957,23.0583723,445.2040710449219,695.2040710449219,250.0,2.3380043418085763,26.937364318481993,8388.520837858401,511.74375251786006,544.1978627270072
"[2, 3, 5, 10, 12, 15, 16, 17, 18, 21]","Q2-012,Q2-013,Q2-014,Q2-015,Q2-016,Q2-017,Q2-019,Q2-020,Q2-026,Q2-028",922.5291497834601,7844.322975131394,306.6599181987664,109.2028191,23.0394186,507.341552734375,657.341552734375,150.0,2.3530409514568538,26.467470266973326,8285.995669443952,405.8692315846937,441.6726943125583
"[4, 5, 7, 8, 10, 12, 14, 17, 18]","Q2-008,Q2-009,Q2-012,Q2-013,Q2-014,Q2-016,Q2-017,Q2-018,Q2-021",1598.3852900958318,6373.201701800115,1105.1737236346378,109.2187255,23.0381964,270.1216735839844,570.1216735839844,300.0,1.635453380165583,48.89208186982553,6672.448407726642,283.21156646119397,299.24670592652603
"[8, 11, 12, 14, 15, 16, 17, 18, 20]","Q2-009,Q2-012,Q2-013,Q2-014,Q2-021,Q2-026,Q2-027,Q2-028,Q2-029",3023.126631185436,7422.769452303852,2340.913001159237,109.2453366,23.0631517,224.78103637695312,474.7810363769531,250.0,1.6395383955228484,48.764425139911,7913.4071047502985,472.2136300261993,490.63765244644674
