sortie,name,start_s,end_s,start_node,end_node,start_altitude_m,end_altitude_m
P00003,leg1-climb,422.0,482.4180847167969,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,308.9542541503906
P00003,leg1-cruise,482.4180847167969,978.1033192727145,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",308.9542541503906,308.9542541503906
P00003,leg1-descent,978.1033192727145,1013.8850209328708,"{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",308.9542541503906,219.5
P00003,S002-handoff,1013.8850209328708,1253.8850209328707,"{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",219.5,219.5
P00003,leg2-climb,1253.8850209328707,1283.7031056496676,"{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",219.5,308.9542541503906
P00003,leg2-cruise,1283.7031056496676,1779.3883402055853,"{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",308.9542541503906,308.9542541503906
P00003,leg2-descent,1779.3883402055853,1851.8900418657415,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",308.9542541503906,127.7
P00005,leg1-climb,450.0,522.5017016601563,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,308.9542541503906
P00005,leg1-cruise,522.5017016601563,1018.186936216074,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",308.9542541503906,308.9542541503906
P00005,leg1-descent,1018.186936216074,1062.9140632912693,"{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}","{'code': 'S002', 'longitude': 109.2585519, 'latitude': 23.0703271, 'elevation_m': 189.5}",308.9542541503906,219.5
