架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数
Q2-001,U07,C,C-B01,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8
Q2-002,U08,C,C-B02,0.0,420.0,1363.4267416985467,S001,2.4121359166308616,69.84830104211423,4
Q2-003,U05,B,B-B01,0.0,360.0,1126.678806680371,S011,0.9663067834640664,75.84233041339834,2
Q2-004,U06,B,B-B02,0.0,330.0,1066.678806680371,S011,0.8958731675326339,77.60317081168415,1
Q2-005,U06,B,B-B03,1066.678806680371,1456.678806680371,2277.036678343111,S001,1.0770625138134382,73.07343715466405,3
Q2-006,U08,C,C-B03,1363.4267416985467,1783.4267416985467,2792.29062697251,S006,2.3241812864593445,70.9477339192582,4
Q2-007,U05,B,B-B04,1126.678806680371,1486.678806680371,2333.260078835845,S006,1.097106338574758,72.57234153563105,2
Q2-008,U06,B,B-B01,2277.036678343111,2637.036678343111,3727.437619802442,S013,1.6362077508916966,59.094806227707586,2
Q2-009,U05,B,B-B02,2333.260078835845,2663.260078835845,3723.661020295176,S013,1.515445650922376,62.1138587269406,1
Q2-010,U01,A,A-B01,0.0,360.0,1653.8535692154742,S010,1.9524999797660452,56.61111156075456,2
Q2-011,U05,B,B-B03,3723.661020295176,4053.661020295176,5158.233259456618,S010,1.5137978432935315,62.15505391766172,1
Q2-012,U06,B,B-B04,5227.437619802442,5587.437619802442,6728.217410349552,S009,1.8848475991435154,52.878810021412114,2
Q2-013,U05,B,B-B01,5158.233259456618,5488.233259456618,6599.013050003728,S009,1.7475923238206748,56.31019190448313,1
Q2-014,U06,B,B-B02,6728.217410349552,7088.217410349552,8247.242731221646,S005,1.778276884704698,55.543077882382555,2
Q2-015,U02,A,A-B02,0.0,360.0,1712.4426794497324,S007,1.8990181164235906,57.79959741280909,2
Q2-016,U07,C,C-B04,1627.4267416985467,2047.4267416985467,3375.472358794599,S005,3.801896648845467,52.47629188943166,4
Q2-017,U08,C,C-B02,2850.0468857860715,3240.0468857860715,4607.272126920727,S007,3.1442317699063445,60.697102876170696,3
Q2-018,U03,A,A-B03,660.0,1020.0,2667.732659143701,S002,2.9291056520786074,34.90876328714205,2
Q2-019,U04,A,A-B04,660.0,1020.0,2630.2112326339443,S015,2.475682947936683,44.984823379184824,2
Q2-020,U05,B,B-B03,6599.013050003728,6929.013050003728,8308.587151019738,S015,1.9202607253391195,51.99348186652202,1
Q2-021,U07,C,C-B01,3375.472358794599,3855.472358794599,5486.4804853771375,S002,6.12498843027008,23.437644621624,6
Q2-022,U01,A,A-B05,1653.8535692154742,2013.8535692154742,3642.815920230166,S014,2.287579462141669,49.164900841296244,2
Q2-023,U06,B,B-B04,8307.242731221646,8637.242731221646,10055.84117909069,S014,1.781931987531721,55.45170031170697,1
Q2-024,U02,A,A-B06,2264.8618069858185,2624.8618069858185,4375.278193014181,S012,2.9610218101255965,34.1995153305423,2
Q2-025,U05,B,B-B01,9328.587151019738,9658.587151019738,11132.388551671855,S012,2.2918422768600646,42.703943078498384,1
Q2-026,U03,A,A-B01,4217.909118925665,4577.909118925665,6394.115003750893,S008,3.211521065175303,28.632865218326607,2
Q2-027,U04,A,A-B02,4141.047913083215,4501.047913083215,6325.009097181137,S004,3.0986054485476933,31.142101143384593,2
Q2-028,U08,C,C-B03,5567.272126920727,5957.272126920727,7639.032016340154,S008,5.42136436523035,32.23294543462063,3
Q2-029,U07,C,C-B04,7166.4804853771375,7586.4804853771375,9339.665976844928,S004,5.539956839091937,30.750539511350784,4
Q2-030,U01,A,A-B03,5442.815920230166,5802.815920230166,7705.094584626882,S003,2.98110828373102,33.75314925042178,2
Q2-031,U08,C,C-B02,7999.032016340154,8479.032016340154,10434.842874452579,S003,6.1476824567455175,23.153969290681033,6
