K,group,task_type,task_id
2,1,transport,Q23-001
2,1,transport,Q23-002
2,1,transport,Q23-003
2,1,transport,Q23-004
2,1,transport,Q23-005
2,1,transport,Q23-006
2,1,transport,Q23-007
2,1,transport,Q23-008
2,1,transport,Q23-009
2,1,transport,Q23-010
2,1,transport,Q23-011
2,1,transport,Q23-012
2,1,transport,Q23-013
2,1,transport,Q23-014
2,1,transport,Q23-017
2,1,transport,Q23-018
2,1,transport,Q23-019
2,1,transport,Q23-020
2,1,transport,Q23-021
2,1,transport,Q23-022
2,1,transport,Q23-023
2,1,transport,Q23-024
2,1,transport,Q23-025
2,1,relay,R3-001
2,1,relay,R3-002
2,1,relay,R3-003
2,1,relay,R3-004
2,1,relay,R3-005
2,1,relay,R3-006
2,1,relay,R3-007
2,2,transport,Q23-015
2,2,transport,Q23-016
3,1,transport,Q23-001
3,1,transport,Q23-002
3,1,transport,Q23-003
3,1,transport,Q23-004
3,1,transport,Q23-005
3,1,transport,Q23-006
3,1,transport,Q23-007
3,1,transport,Q23-010
3,1,transport,Q23-011
3,1,transport,Q23-012
3,1,transport,Q23-013
3,1,transport,Q23-014
3,1,transport,Q23-017
3,1,transport,Q23-018
3,1,transport,Q23-019
3,1,transport,Q23-020
3,1,transport,Q23-021
3,1,transport,Q23-022
3,1,transport,Q23-023
3,1,transport,Q23-024
3,1,transport,Q23-025
3,1,relay,R3-001
3,1,relay,R3-002
3,1,relay,R3-003
3,1,relay,R3-004
3,1,relay,R3-006
3,2,transport,Q23-008
3,2,transport,Q23-009
3,2,relay,R3-005
3,2,relay,R3-007
3,3,transport,Q23-015
3,3,transport,Q23-016
