架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",76,0.159,619.4267416985468,2.926237390911878,63.42203261360152
Q1-002,S001,C,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02",78,0.235,619.4267416985468,3.004662059347582,62.44172425815522
Q1-003,S002,B,"S002-MED-01,S002-WAT-01,S002-FOD-01",25,0.067,1189.890041865742,2.72189802120557,31.95254946986075
Q1-004,S002,C,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",56,0.144,1235.008126582538,5.739333605245894,28.25832993442633
Q1-005,S003,B,"S003-MED-01,S003-WAT-01,S003-FOD-01",25,0.067,1450.242812051228,2.779101785257816,30.52245536855459
Q1-006,S003,C,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-02,S003-HYG-01",56,0.144,1559.810858112426,5.763281578898964,27.95898026376296
Q1-007,S004,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",59,0.156,1429.185491467791,6.176858606791459,22.78926741510676
Q1-008,S005,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",59,0.156,1004.045617096052,4.238735064547415,47.01581169315732
Q1-009,S006,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",59,0.156,684.8638852739633,2.593934934324972,67.57581332093785
Q1-010,S007,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",45,0.129,1097.482101486218,3.410375992447635,57.37030009440456
Q1-011,S008,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",45,0.129,1393.759889419427,5.857451478257397,26.78185652178253
Q1-012,S009,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",25,0.067,930.77979054711,2.102431078237294,47.43922304406765
Q1-013,S010,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",25,0.067,924.5722391614418,1.821004406007365,54.47488984981588
Q1-014,S011,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",25,0.067,559.6308045644856,1.077146138189977,73.07134654525056
Q1-015,S012,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",25,0.067,1293.801400652118,2.755193470244485,31.12016324388787
Q1-016,S013,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",25,0.067,880.4009414593309,1.824533742616075,54.38665643459812
Q1-017,S014,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",25,0.067,1238.598447869045,2.137232717419558,46.56918206451104
Q1-018,S015,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",25,0.067,1199.57410101601,2.310845731625145,42.22885670937139
