电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,P00128,0.0,1192.4715825390365,72.82104637742377,1192.4715825390365,2045.7979796325276
A-B01,A,P00134,2045.7979796325276,3238.269562171564,72.82104637742377,3238.269562171564,4091.5959592650547
A-B01,A,P00107,4091.5959592650547,6101.589414594478,50.08075674667343,6101.589414594478,7250.539576887723
A-B02,A,P00338,0.0,1252.4715825390365,71.42106323441736,1252.4715825390365,2123.9977604916107
A-B02,A,P00057,2123.9977604916107,3851.3164002278018,57.665714113712326,3851.3164002278018,4901.662116749541
A-B02,A,P00077,5049.678061654617,6273.213923724155,74.32299116986371,6273.213923724155,7107.015038515927
A-B03,A,P00071,0.0,1653.8535692154742,56.61111156075456,1653.8535692154742,2717.909118925665
A-B03,A,P00131,2717.909118925665,3910.380701464702,72.82104637742377,3910.380701464702,4763.707098558193
A-B03,A,P00080,5062.790068458558,6226.325930528097,75.4499543406507,6226.325930528097,7045.4765240996385
A-B04,A,P00037,0.0,2007.7326591437009,34.90876328714205,2007.7326591437009,3353.918736410854
A-B04,A,P00049,3353.918736410854,5049.678061654617,52.678058085514266,5049.678061654617,6164.863306542931
A-B05,A,P00032,1192.4715825390365,2504.943165078073,71.82222309798306,2504.943165078073,3371.254264804293
A-B05,A,P00065,3371.254264804293,5062.790068458558,49.744221814961065,5062.790068458558,6216.115184864065
A-B06,A,P00053,1252.4715825390365,2565.08729830304,70.89879451784795,2565.08729830304,3443.4029695710165
A-B06,A,P00041,3851.3164002278018,6113.595064624518,33.75314925042178,6113.595064624518,7474.804124369035
B-B01,B,P00020,0.0,1923.8014006521175,31.120163243887866,1923.8014006521175,3784.3852377580615
B-B01,B,P00028,3784.3852377580615,5750.275349752359,25.350495996215884,5750.275349752359,7710.866752484617
B-B02,B,P00024,0.0,1868.5984478690452,46.56918206451104,1868.5984478690452,3461.3992920841874
B-B02,B,P00030,3828.496292162315,5734.386404156612,30.664349173220316,5734.386404156612,7602.87101848746
B-B03,B,P00026,1923.8014006521175,3753.375501668127,42.228856709371385,3753.375501668127,5421.408652039023
B-B04,B,P00114,1868.5984478690452,3828.496292162315,38.810051891764296,3828.496292162315,5555.7887260384005
C-B01,C,P00341,0.0,1561.4267416985467,65.89437662491494,1561.4267416985467,3133.7152481587227
C-B01,C,P00044,3859.0537436785908,6294.864601791016,23.153969290681033,6294.864601791016,8793.195267159594
C-B02,C,P00052,0.0,1748.0456170960524,52.47629188943166,1748.0456170960524,3611.059292825033
C-B02,C,P00009,3975.2061545193346,6280.391645987125,22.789267415106764,6280.391645987125,8786.624185326478
C-B03,C,P00118,1561.4267416985467,3975.2061545193346,46.399225422437,3975.2061545193346,5969.889603699867
C-B04,C,P00040,1748.0456170960524,3859.0537436785908,23.437644621624,3859.0537436785908,6351.238110210071
