架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
P00020,U05,B,B-B01,0,O01→S012→O01,1923.801,2.755193
P00052,U08,C,C-B02,0,O01→S005→O01,1748.046,3.801897
P00071,U03,A,A-B03,0,O01→S010→O01,1653.854,1.9525
P00128,U01,A,A-B01,0,O01→S001→O01,1192.472,1.223053
P00338,U02,A,A-B02,0,O01→S001→O01,1252.472,1.286052
P00341,U07,C,C-B01,0,O01→S001→O01,1561.427,2.72845
P00037,U04,A,A-B04,0,O01→S002→O01,2007.733,2.929106
P00024,U06,B,B-B02,0,O01→S014→O01,1868.598,2.137233
P00032,U01,A,A-B05,1192.472,O01→S001→O01,2504.943,1.268
P00053,U02,A,A-B06,1252.472,O01→S006→O01,2565.087,1.309554
P00118,U07,C,C-B03,1561.427,O01→S006→S007→O01,3975.206,4.288062
P00040,U08,C,C-B04,1748.046,O01→S002→O01,3859.054,6.124988
P00026,U05,B,B-B03,1923.801,O01→S015→O01,3753.376,2.310846
P00114,U06,B,B-B04,1868.598,O01→S013→S009→O01,3828.496,2.447598
P00134,U03,A,A-B01,2045.798,O01→S001→O01,3238.27,1.223053
P00057,U04,A,A-B02,2123.998,O01→S007→O01,3851.316,1.905043
P00131,U01,A,A-B03,2717.909,O01→S001→O01,3910.381,1.223053
P00049,U02,A,A-B04,3353.919,O01→S005→O01,5049.678,2.129487
P00065,U03,A,A-B05,3371.254,O01→S009→O01,5062.79,2.26151
P00028,U05,B,B-B01,3784.385,O01→S008→O01,5750.275,2.98598
P00041,U04,A,A-B06,3851.316,O01→S003→O01,6113.595,2.981108
P00044,U08,C,C-B01,3859.054,O01→S003→O01,6294.865,6.147682
P00009,U07,C,C-B02,3975.206,O01→S004→O01,6280.392,6.176859
P00107,U01,A,A-B01,4091.596,O01→S013→S010→O01,6101.589,2.246366
P00030,U06,B,B-B02,3828.496,O01→S008→O01,5734.386,2.773426
P00077,U02,A,A-B02,5049.678,O01→S011→O01,6273.214,1.155465
P00080,U03,A,A-B03,5062.79,O01→S011→O01,6226.326,1.104752
