货箱编号,架次编号,服务区编号,交付完成时刻（s）
S012-MED-01,P00020,S012,1271.831
S012-WAT-01,P00020,S012,1271.831
S012-FOD-01,P00020,S012,1271.831
S005-WAT-02,P00052,S005,1242.658
S005-WAT-03,P00052,S005,1242.658
S005-FOD-01,P00052,S005,1242.658
S005-HYG-01,P00052,S005,1242.658
S010-MED-01,P00071,S010,1104.463
S010-WAT-01,P00071,S010,1104.463
S001-WAT-02,P00128,S001,849.359
S001-WAT-05,P00338,S001,909.359
S001-FOD-01,P00338,S001,909.359
S001-WAT-06,P00341,S001,1248.898
S001-WAT-07,P00341,S001,1248.898
S001-WAT-08,P00341,S001,1248.898
S001-FOD-02,P00341,S001,1248.898
S001-FOD-03,P00341,S001,1248.898
S001-HYG-01,P00341,S001,1248.898
S001-HYG-02,P00341,S001,1248.898
S002-MED-01,P00037,S002,1285.806
S002-WAT-01,P00037,S002,1285.806
S014-MED-01,P00024,S014,1241.856
S014-WAT-01,P00024,S014,1241.856
S014-FOD-01,P00024,S014,1241.856
S001-MED-01,P00032,S001,2161.831
S001-MED-02,P00032,S001,2161.831
S001-WAT-01,P00032,S001,2161.831
S006-MED-01,P00053,S006,2187.543
S006-WAT-01,P00053,S006,2187.543
S006-WAT-02,P00118,S006,2728.504
S006-WAT-03,P00118,S006,2728.504
S006-FOD-01,P00118,S006,2728.504
S006-HYG-01,P00118,S006,2728.504
S007-WAT-02,P00118,S007,3415.425
S007-FOD-01,P00118,S007,3415.425
S007-HYG-01,P00118,S007,3415.425
S002-WAT-02,P00040,S002,3236.96
S002-WAT-03,P00040,S002,3236.96
S002-WAT-04,P00040,S002,3236.96
S002-FOD-01,P00040,S002,3236.96
S002-FOD-02,P00040,S002,3236.96
S002-HYG-01,P00040,S002,3236.96
S015-MED-01,P00026,S015,3142.028
S015-WAT-01,P00026,S015,3142.028
S015-FOD-01,P00026,S015,3142.028
S009-FOD-01,P00114,S009,3359.696
S013-MED-01,P00114,S013,2901.332
S013-WAT-01,P00114,S013,2901.332
S001-WAT-04,P00134,S001,2895.157
S007-MED-01,P00057,S007,3265.297
S007-WAT-01,P00057,S007,3265.297
S001-WAT-03,P00131,S001,3567.268
S005-MED-01,P00049,S005,4484.555
S005-WAT-01,P00049,S005,4484.555
S009-MED-01,P00065,S009,4498.612
S009-WAT-01,P00065,S009,4498.612
S008-MED-01,P00028,S008,5077.557
S008-WAT-01,P00028,S008,5077.557
S008-FOD-01,P00028,S008,5077.557
S003-MED-01,P00041,S003,5260.429
S003-WAT-01,P00041,S003,5260.429
S003-WAT-02,P00044,S003,5504.419
S003-WAT-03,P00044,S003,5504.419
S003-WAT-04,P00044,S003,5504.419
S003-FOD-01,P00044,S003,5504.419
S003-FOD-02,P00044,S003,5504.419
S003-HYG-01,P00044,S003,5504.419
S004-MED-01,P00009,S004,5560.769
S004-WAT-01,P00009,S004,5560.769
S004-WAT-02,P00009,S004,5560.769
S004-WAT-03,P00009,S004,5560.769
S004-FOD-01,P00009,S004,5560.769
S004-HYG-01,P00009,S004,5560.769
S010-FOD-01,P00107,S010,5552.199
S013-FOD-01,P00107,S013,5145.142
S008-WAT-02,P00030,S008,5061.668
S008-HYG-01,P00030,S008,5061.668
S011-MED-01,P00077,S011,5943.633
S011-WAT-01,P00077,S011,5943.633
S011-FOD-01,P00080,S011,5896.745
