货箱编号,服务区编号,架次编号,质量（kg）,交付完成时刻（s）
S004-MED-01,S004,P00009,3.0,5624.824072394104
S004-WAT-01,S004,P00009,14.0,5624.824072394104
S004-WAT-02,S004,P00009,14.0,5624.824072394104
S004-WAT-03,S004,P00009,14.0,5624.824072394104
S004-FOD-01,S004,P00009,8.0,5624.824072394104
S004-HYG-01,S004,P00009,6.0,5624.824072394104
S005-MED-01,S005,P00010,3.0,3533.8735171121825
S005-WAT-01,S005,P00010,14.0,3533.8735171121825
S005-WAT-02,S005,P00010,14.0,3533.8735171121825
S005-WAT-03,S005,P00010,14.0,3533.8735171121825
S005-FOD-01,S005,P00010,8.0,3533.8735171121825
S005-HYG-01,S005,P00010,6.0,3533.8735171121825
S006-MED-01,S006,P00011,3.0,1209.0769426369816
S006-WAT-01,S006,P00011,14.0,1209.0769426369816
S006-WAT-02,S006,P00011,14.0,1209.0769426369816
S006-WAT-03,S006,P00011,14.0,1209.0769426369816
S006-FOD-01,S006,P00011,8.0,1209.0769426369816
S006-HYG-01,S006,P00011,6.0,1209.0769426369816
S009-MED-01,S009,P00014,3.0,2992.599396820631
S009-WAT-01,S009,P00014,14.0,2992.599396820631
S009-FOD-01,S009,P00014,8.0,2992.599396820631
S011-MED-01,S011,P00018,3.0,6197.9754640591045
S011-WAT-01,S011,P00018,14.0,6197.9754640591045
S011-FOD-01,S011,P00018,8.0,6197.9754640591045
S012-MED-01,S012,P00020,3.0,1328.384317563094
S012-WAT-01,S012,P00020,14.0,1328.384317563094
S012-FOD-01,S012,P00020,8.0,1328.384317563094
S014-MED-01,S014,P00024,3.0,1241.8558906011892
S014-WAT-01,S014,P00024,14.0,1241.8558906011892
S014-FOD-01,S014,P00024,8.0,1241.8558906011892
S015-MED-01,S015,P00026,3.0,4679.626343602191
S015-WAT-01,S015,P00026,14.0,4679.626343602191
S015-FOD-01,S015,P00026,8.0,4679.626343602191
S008-MED-01,S008,P00028,3.0,3646.290285966142
S008-WAT-01,S008,P00028,14.0,3646.290285966142
S008-FOD-01,S008,P00028,8.0,3646.290285966142
S008-WAT-02,S008,P00030,14.0,5552.18039896044
S008-HYG-01,S008,P00030,6.0,5552.18039896044
S001-MED-01,S001,P00032,3.0,3336.966762287485
S001-MED-02,S001,P00032,3.0,3336.966762287485
S001-WAT-01,S001,P00032,14.0,3336.966762287485
S001-WAT-02,S001,P00035,14.0,1314.8983708492733
S001-WAT-03,S001,P00035,14.0,1314.8983708492733
S001-WAT-04,S001,P00035,14.0,1314.8983708492733
S001-FOD-01,S001,P00035,8.0,1314.8983708492733
S001-FOD-02,S001,P00035,8.0,1314.8983708492733
S001-FOD-03,S001,P00035,8.0,1314.8983708492733
S001-HYG-01,S001,P00035,6.0,1314.8983708492733
S001-HYG-02,S001,P00035,6.0,1314.8983708492733
S002-MED-01,S002,P00037,3.0,2478.277913110887
S002-WAT-01,S002,P00037,14.0,2478.277913110887
S002-WAT-02,S002,P00040,14.0,3049.7779495652326
S002-WAT-03,S002,P00040,14.0,3049.7779495652326
S002-WAT-04,S002,P00040,14.0,3049.7779495652326
S002-FOD-01,S002,P00040,8.0,3049.7779495652326
S002-FOD-02,S002,P00040,8.0,3049.7779495652326
S002-HYG-01,S002,P00040,6.0,3049.7779495652326
S003-MED-01,S003,P00041,3.0,5379.712951568368
S003-WAT-01,S003,P00041,14.0,5379.712951568368
S003-WAT-02,S003,P00044,14.0,5317.237442912715
S003-WAT-03,S003,P00044,14.0,5317.237442912715
S003-WAT-04,S003,P00044,14.0,5317.237442912715
S003-FOD-01,S003,P00044,8.0,5317.237442912715
S003-FOD-02,S003,P00044,8.0,5317.237442912715
S003-HYG-01,S003,P00044,6.0,5317.237442912715
S007-MED-01,S007,P00057,3.0,1209.9601163655109
S007-WAT-01,S007,P00057,14.0,1209.9601163655109
S010-MED-01,S010,P00071,3.0,2296.9350348134403
S010-WAT-01,S010,P00071,14.0,2296.9350348134403
S013-MED-01,S013,P00089,3.0,3129.343568027357
S013-WAT-01,S013,P00089,14.0,3129.343568027357
S010-FOD-01,S010,P00107,8.0,1483.1247773645675
S013-FOD-01,S013,P00107,8.0,1076.0670273710437
S001-WAT-05,S001,P00137,14.0,849.3591246028516
S001-WAT-06,S001,P00140,14.0,4049.5633682855887
S001-WAT-07,S001,P00143,14.0,5572.743217815055
S001-WAT-08,S001,P00146,14.0,849.3591246028516
S007-WAT-02,S007,P00272,14.0,3927.6244736234385
S007-FOD-01,S007,P00275,8.0,5627.6896408179855
S007-HYG-01,S007,P00278,6.0,5627.6896408179855
