运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
P00137,leg1-climb,330,339.6904406738281,直连,
P00146,leg1-climb,330,339.6904406738281,直连,
P00137,leg1-climb,339.6904406738281,349.3808813476563,直连,
P00146,leg1-climb,339.6904406738281,349.3808813476563,直连,
P00137,leg1-climb,349.3808813476563,359.0713220214844,直连,
P00146,leg1-climb,349.3808813476563,359.0713220214844,直连,
P00137,leg1-climb,359.0713220214844,368.7617626953125,直连,
P00146,leg1-climb,359.0713220214844,368.7617626953125,直连,
P00137,leg1-climb,368.7617626953125,378.4522033691406,直连,
P00146,leg1-climb,368.7617626953125,378.4522033691406,直连,
P00137,leg1-cruise,378.4522033691406,388.2708294149384,直连,
P00146,leg1-cruise,378.4522033691406,388.2708294149384,直连,
P00107,leg1-climb,382.5214399762144,391.5708341005634,直连,
P00137,leg1-cruise,388.2708294149384,398.0894554607362,直连,
P00146,leg1-cruise,388.2708294149384,398.0894554607362,直连,
P00024,leg1-climb,390,399.6718205769857,直连,
P00107,leg1-climb,391.5708341005634,400.6202282249124,直连,
P00137,leg1-cruise,398.0894554607362,407.908081506534,直连,
P00146,leg1-cruise,398.0894554607362,407.908081506534,直连,
P00024,leg1-climb,399.6718205769857,409.3436411539714,直连,
P00107,leg1-climb,400.6202282249124,409.6696223492613,直连,
P00137,leg1-cruise,407.908081506534,417.7267075523317,直连,
P00146,leg1-cruise,407.908081506534,417.7267075523317,直连,
P00024,leg1-climb,409.3436411539714,419.015461730957,直连,
P00107,leg1-climb,409.6696223492613,418.7190164736103,直连,
P00137,leg1-cruise,417.7267075523317,427.5453335981295,直连,
P00146,leg1-cruise,417.7267075523317,427.5453335981295,直连,
P00107,leg1-climb,418.7190164736103,427.7684105979592,直连,
P00024,leg1-climb,419.015461730957,428.6872823079427,直连,
P00137,leg1-cruise,427.5453335981295,437.3639596439273,直连,
P00146,leg1-cruise,427.5453335981295,437.3639596439273,直连,
P00107,leg1-climb,427.7684105979592,436.8178047223082,直连,
P00057,leg1-climb,428.6607964974155,438.5139548320008,直连,
P00024,leg1-climb,428.6872823079427,438.3591028849284,直连,
P00107,leg1-climb,436.8178047223082,445.8671988466571,直连,
P00137,leg1-cruise,437.3639596439273,447.1825856897251,直连,
P00146,leg1-cruise,437.3639596439273,447.1825856897251,直连,
P00024,leg1-climb,438.3591028849284,448.0309234619141,直连,
P00057,leg1-climb,438.5139548320008,448.3671131665862,直连,
P00107,leg1-climb,445.8671988466571,454.9165929710061,直连,
P00020,leg1-climb,446.5536172370353,456.0736503994702,直连,
P00137,leg1-cruise,447.1825856897251,457.0012117355228,直连,
P00146,leg1-cruise,447.1825856897251,457.0012117355228,直连,
P00024,leg1-climb,448.0309234619141,457.7027440388998,直连,
P00057,leg1-climb,448.3671131665862,458.2202715011715,直连,
P00107,leg1-climb,454.9165929710061,463.965987095355,直连,
P00020,leg1-climb,456.0736503994702,465.5936835619051,直连,
P00137,leg1-cruise,457.0012117355228,466.8198377813206,直连,
P00146,leg1-cruise,457.0012117355228,466.8198377813206,直连,
P00024,leg1-climb,457.7027440388998,467.3745646158854,直连,
P00057,leg1-climb,458.2202715011715,468.0734298357569,直连,
P00107,leg1-climb,463.965987095355,473.015381219704,直连,
P00020,leg1-climb,465.5936835619051,475.11371672434,直连,
P00137,leg1-cruise,466.8198377813206,476.6384638271184,直连,
P00146,leg1-cruise,466.8198377813206,476.6384638271184,直连,
P00024,leg1-climb,467.3745646158854,477.0463851928711,直连,
P00057,leg1-climb,468.0734298357569,477.9265881703422,直连,
P00107,leg1-cruise,473.015381219704,477.94292898384,直连,
P00020,leg1-climb,475.11371672434,484.6337498867749,直连,
P00137,leg1-cruise,476.6384638271184,486.4570898729162,直连,
P00146,leg1-cruise,476.6384638271184,486.4570898729162,直连,
P00024,leg1-climb,477.0463851928711,486.7182057698568,直连,
P00057,leg1-climb,477.9265881703422,487.7797465049275,直连,
P00107,leg1-cruise,477.94292898384,482.870476747976,直连,
P00011,leg1-climb,480,489.5359135742187,直连,
P00107,leg1-cruise,482.870476747976,487.798024512112,直连,
P00020,leg1-climb,484.6337498867749,494.1537830492098,直连,
P00137,leg1-cruise,486.4570898729162,496.275715918714,直连,
P00146,leg1-cruise,486.4570898729162,496.275715918714,直连,
P00024,leg1-climb,486.7182057698568,496.3900263468425,直连,
P00057,leg1-climb,487.7797465049275,497.6329048395129,直连,
