sortie,name,start_s,end_s,start_node,end_node,start_altitude_m,end_altitude_m
P00009,leg1-climb,4519.261326660209,4627.476993164116,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,398.2391662597656
P00009,leg1-cruise,4627.476993164116,5143.854489264222,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,398.2391662597656
P00009,leg1-descent,5143.854489264222,5228.824072394105,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",398.2391662597656,228.3
P00009,S004-handoff,5228.824072394105,5624.824072394105,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,228.3
P00009,leg2-climb,5624.824072394105,5692.799738898011,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}",228.3,398.2391662597656
P00009,leg2-cruise,5692.799738898011,6209.1772349981175,"{'code': 'S004', 'longitude': 109.2381714, 'latitude': 23.0778414, 'elevation_m': 198.3}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,398.2391662597656
P00009,leg2-descent,6209.1772349981175,6344.446818128,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",398.2391662597656,127.7
P00010,leg1-climb,2639.2157085641566,2718.7000640329065,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}",127.7,326.410888671875
P00010,leg1-cruise,2718.7000640329065,3072.168072776245,"{'code': 'O01', 'longitude': 109.2308517, 'latitude': 23.0085095, 'elevation_m': 127.7}","{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}",326.410888671875,326.410888671875
P00010,leg1-descent,3072.168072776245,3137.8735171121825,"{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}","{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}",326.410888671875,195.0
P00010,S005-handoff,3137.8735171121825,3533.8735171121825,"{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}","{'code': 'S005', 'longitude': 109.2283003, 'latitude': 23.0561338, 'elevation_m': 165.0}",195.0,195.0
