架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00009,U08,C,C-B02,4039.2613266602093,4519.261326660209,6344.446818128,S004,6.176858606791459,22.789267415106764,6,8850.679357467354
P00010,U08,C,C-B04,2159.2157085641566,2639.2157085641566,4039.261325660209,S005,4.238735064547415,47.01581169315732,6,6020.585405641801
P00011,U07,C,C-B01,0.0,480.0,1560.8638852739632,S006,2.593934934324972,67.57581332093785,6,3096.72126332031
P00014,U05,B,B-B03,1900.6195015470757,2290.6195015470757,3461.3992920941855,S009,2.102431078237294,47.439223044067646,3,5039.1194259970125
P00018,U05,B,B-B03,5290.973395110195,5680.973395110195,6480.604199674681,S011,1.0771461381899774,73.07134654525056,3,7614.034192890338
P00020,U06,B,B-B02,56.55361723703527,446.55361723703527,1980.3550178891528,S012,2.7551934702444854,31.120163243887866,3,3840.9388549950963
P00024,U05,B,B-B01,0.0,390.0,1868.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3461.3992920841874
P00026,U05,B,B-B01,3461.399293094186,3851.399293094186,5290.973394110195,S015,2.3108457316251445,42.228856709371385,3,6959.006544481091
P00028,U06,B,B-B04,2353.118563302327,2743.118563302327,4319.008675296624,S008,2.9859801601513647,25.350495996215884,3,6279.600078028881
P00030,U06,B,B-B02,4319.008676296624,4679.008676296624,6224.8987882909205,S008,2.7734260330711873,30.664349173220316,2,8093.383402621768
P00032,U03,A,A-B01,2367.6076376846336,2757.6076376846336,3680.07922022367,S001,1.2679999605907624,71.82222309798306,3,4546.39031994989
P00035,U08,C,C-B02,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
P00037,U02,A,A-B06,1192.4715835390366,1552.4715835390366,3200.2042426827375,S002,2.9291056520786074,34.90876328714205,2,4546.390319949891
P00040,U07,C,C-B03,1560.8638862739633,2040.8638862739633,3671.872012856502,S002,6.12498843027008,23.437644621624,6,6164.056379387982
P00041,U03,A,A-B05,3970.600286036676,4330.600286036676,6232.878950433393,S003,2.98110828373102,33.75314925042178,2,7594.088010177909
P00044,U07,C,C-B01,3671.8720138565022,4151.872013856502,6107.682871968927,S003,6.1476824567455175,23.153969290681033,6,8606.013537337505
P00057,U04,A,A-B04,68.6607964974155,428.6607964974155,1795.9794362336063,S007,1.9050428648829452,57.665714113712326,2,2846.3251527553457
P00071,U01,A,A-B05,1192.4715835390366,1552.4715835390366,2846.325152754511,S010,1.9524999797660452,56.61111156075456,2,3910.3807024647012
P00089,U04,A,A-B02,2045.7979806325277,2405.7979806325275,3657.8224887555193,S013,1.9577132427346737,56.495261272562814,2,4723.384092212203
P00107,U03,A,A-B03,22.521439976214424,382.5214399762144,2032.5148953056378,S013→S010,2.2463659463996954,50.08075674667343,2,3181.4650575988835
P00137,U01,A,A-B01,0.0,330.0,1192.4715825390365,S001,1.22305291301593,72.82104637742377,1,2045.7979796325276
P00140,U02,A,A-B03,3200.2042436827373,3530.2042436827373,4392.675826221774,S001,1.22305291301593,72.82104637742377,1,5246.002223315265
P00143,U02,A,A-B02,4723.384093212203,5053.384093212203,5915.85567575124,S001,1.22305291301593,72.82104637742377,1,6769.182072844731
P00146,U02,A,A-B02,0.0,330.0,1192.4715825390365,S001,1.22305291301593,72.82104637742377,1,2045.7979796325276
P00272,U01,A,A-B04,2846.3251537553433,3176.3251537553433,4513.643793491534,S007,1.8722535568068988,58.394365404291136,1,5554.517043235749
P00275,U04,A,A-B01,4546.39032094989,4876.39032094989,6213.708960686081,S007,1.8195296211705392,59.56600841843247,1,7239.350851246459
P00278,U01,A,A-B06,4546.39032094989,4876.39032094989,6213.708960686081,S007,1.8056190044402682,59.8751332346607,1,7235.332228635491
