K,group,resource,task_id,start_s,end_s,half_open,shared_across_groups
2,1,A_airframe,P00032,2367.6076376846336,3680.07922022367,True,False
2,1,A_airframe,P00037,1192.4715835390366,3200.2042426827375,True,False
2,1,A_airframe,P00041,3970.600286036676,6232.878950433393,True,False
2,1,A_airframe,P00057,68.6607964974155,1795.9794362336063,True,False
2,1,A_airframe,P00071,1192.4715835390366,2846.325152754511,True,False
2,1,A_airframe,P00089,2045.7979806325277,3657.8224887555193,True,False
2,1,A_airframe,P00107,22.521439976214424,2032.5148953056378,True,False
2,1,A_airframe,P00137,0.0,1192.4715825390365,True,False
2,1,A_airframe,P00140,3200.2042436827373,4392.675826221774,True,False
2,1,A_airframe,P00143,4723.384093212203,5915.85567575124,True,False
2,1,A_airframe,P00146,0.0,1192.4715825390365,True,False
2,1,A_airframe,P00272,2846.3251537553433,4513.643793491534,True,False
2,1,A_airframe,P00275,4546.39032094989,6213.708960686081,True,False
2,1,A_airframe,P00278,4546.39032094989,6213.708960686081,True,False
2,1,B_airframe,P00014,1900.6195015470757,3461.3992920941855,True,False
2,2,B_airframe,P00018,5290.973395110195,6480.604199674681,True,False
2,1,B_airframe,P00020,56.55361723703527,1980.3550178891528,True,False
2,1,B_airframe,P00024,0.0,1868.5984478690452,True,False
2,1,B_airframe,P00026,3461.399293094186,5290.973394110195,True,False
2,1,B_airframe,P00028,2353.118563302327,4319.008675296624,True,False
2,1,B_airframe,P00030,4319.008676296624,6224.8987882909205,True,False
2,1,C_airframe,P00009,4039.2613266602093,6344.446818128,True,False
2,1,C_airframe,P00010,2159.2157085641566,4039.261325660209,True,False
2,1,C_airframe,P00011,0.0,1560.8638852739632,True,False
2,1,C_airframe,P00035,0.0,1627.4267416985467,True,False
2,1,C_airframe,P00040,1560.8638862739633,3671.872012856502,True,False
2,1,C_airframe,P00044,3671.8720138565022,6107.682871968927,True,False
2,1,A_battery,P00032,2367.6076376846336,4546.39031994989,True,False
2,1,A_battery,P00037,1192.4715835390366,4546.390319949891,True,False
2,1,A_battery,P00041,3970.600286036676,7594.088010177909,True,False
2,1,A_battery,P00057,68.6607964974155,2846.3251527553457,True,False
2,1,A_battery,P00071,1192.4715835390366,3910.3807024647012,True,False
2,1,A_battery,P00089,2045.7979806325277,4723.384092212203,True,False
2,1,A_battery,P00107,22.521439976214424,3181.4650575988835,True,False
2,1,A_battery,P00137,0.0,2045.7979796325276,True,False
2,1,A_battery,P00140,3200.2042436827373,5246.002223315265,True,False
2,1,A_battery,P00143,4723.384093212203,6769.182072844731,True,False
2,1,A_battery,P00146,0.0,2045.7979796325276,True,False
2,1,A_battery,P00272,2846.3251537553433,5554.517043235749,True,False
2,1,A_battery,P00275,4546.39032094989,7239.350851246459,True,False
2,1,A_battery,P00278,4546.39032094989,7235.332228635491,True,False
2,1,B_battery,P00014,1900.6195015470757,5039.1194259970125,True,False
2,2,B_battery,P00018,5290.973395110195,7614.034192890338,True,False
2,1,B_battery,P00020,56.55361723703527,3840.9388549950963,True,False
2,1,B_battery,P00024,0.0,3461.3992920841874,True,False
2,1,B_battery,P00026,3461.399293094186,6959.006544481091,True,False
2,1,B_battery,P00028,2353.118563302327,6279.600078028881,True,False
2,1,B_battery,P00030,4319.008676296624,8093.383402621768,True,False
2,1,C_battery,P00009,4039.2613266602093,8850.679357467354,True,False
2,1,C_battery,P00010,2159.2157085641566,6020.585405641801,True,False
2,1,C_battery,P00011,0.0,3096.72126332031,True,False
2,1,C_battery,P00035,0.0,3274.522716105184,True,False
2,1,C_battery,P00040,1560.8638862739633,6164.056379387982,True,False
2,1,C_battery,P00044,3671.8720138565022,8606.013537337505,True,False
2,1,relay_airframe,RU-001,146.20045728484945,4007.2014886181087,True,False
2,1,relay_airframe,RU-002,37.640310014238594,6740.963348332994,True,False
2,1,relay_airframe,RU-003,4176.6680079187045,6780.604199674681,True,False
2,1,relay_energy,RU-001,146.20045728484945,4612.563463719959,True,False
2,1,relay_energy,RU-002,37.640310014238594,7686.944390322689,True,False
2,1,relay_energy,RU-003,4176.6680079187045,7236.746052119621,True,False
3,1,A_airframe,P00032,2367.6076376846336,3680.07922022367,True,False
3,1,A_airframe,P00037,1192.4715835390366,3200.2042426827375,True,False
3,1,A_airframe,P00041,3970.600286036676,6232.878950433393,True,False
3,1,A_airframe,P00057,68.6607964974155,1795.9794362336063,True,False
3,1,A_airframe,P00071,1192.4715835390366,2846.325152754511,True,False
3,1,A_airframe,P00089,2045.7979806325277,3657.8224887555193,True,False
3,1,A_airframe,P00107,22.521439976214424,2032.5148953056378,True,False
3,1,A_airframe,P00137,0.0,1192.4715825390365,True,False
3,1,A_airframe,P00140,3200.2042436827373,4392.675826221774,True,False
3,1,A_airframe,P00143,4723.384093212203,5915.85567575124,True,False
3,1,A_airframe,P00146,0.0,1192.4715825390365,True,False
3,1,A_airframe,P00272,2846.3251537553433,4513.643793491534,True,False
3,1,A_airframe,P00275,4546.39032094989,6213.708960686081,True,False
3,1,A_airframe,P00278,4546.39032094989,6213.708960686081,True,False
3,1,B_airframe,P00014,1900.6195015470757,3461.3992920941855,True,False
3,3,B_airframe,P00018,5290.973395110195,6480.604199674681,True,False
3,1,B_airframe,P00020,56.55361723703527,1980.3550178891528,True,False
3,1,B_airframe,P00024,0.0,1868.5984478690452,True,False
3,1,B_airframe,P00026,3461.399293094186,5290.973394110195,True,False
3,1,B_airframe,P00028,2353.118563302327,4319.008675296624,True,False
3,1,B_airframe,P00030,4319.008676296624,6224.8987882909205,True,False
3,1,C_airframe,P00009,4039.2613266602093,6344.446818128,True,False
3,1,C_airframe,P00010,2159.2157085641566,4039.261325660209,True,False
3,2,C_airframe,P00011,0.0,1560.8638852739632,True,False
3,1,C_airframe,P00035,0.0,1627.4267416985467,True,False
3,1,C_airframe,P00040,1560.8638862739633,3671.872012856502,True,False
3,1,C_airframe,P00044,3671.8720138565022,6107.682871968927,True,False
3,1,A_battery,P00032,2367.6076376846336,4546.39031994989,True,False
3,1,A_battery,P00037,1192.4715835390366,4546.390319949891,True,False
3,1,A_battery,P00041,3970.600286036676,7594.088010177909,True,False
3,1,A_battery,P00057,68.6607964974155,2846.3251527553457,True,False
3,1,A_battery,P00071,1192.4715835390366,3910.3807024647012,True,False
3,1,A_battery,P00089,2045.7979806325277,4723.384092212203,True,False
3,1,A_battery,P00107,22.521439976214424,3181.4650575988835,True,False
3,1,A_battery,P00137,0.0,2045.7979796325276,True,False
3,1,A_battery,P00140,3200.2042436827373,5246.002223315265,True,False
3,1,A_battery,P00143,4723.384093212203,6769.182072844731,True,False
3,1,A_battery,P00146,0.0,2045.7979796325276,True,False
3,1,A_battery,P00272,2846.3251537553433,5554.517043235749,True,False
3,1,A_battery,P00275,4546.39032094989,7239.350851246459,True,False
3,1,A_battery,P00278,4546.39032094989,7235.332228635491,True,False
3,1,B_battery,P00014,1900.6195015470757,5039.1194259970125,True,False
3,3,B_battery,P00018,5290.973395110195,7614.034192890338,True,False
3,1,B_battery,P00020,56.55361723703527,3840.9388549950963,True,False
3,1,B_battery,P00024,0.0,3461.3992920841874,True,False
3,1,B_battery,P00026,3461.399293094186,6959.006544481091,True,False
3,1,B_battery,P00028,2353.118563302327,6279.600078028881,True,False
3,1,B_battery,P00030,4319.008676296624,8093.383402621768,True,False
3,1,C_battery,P00009,4039.2613266602093,8850.679357467354,True,False
3,1,C_battery,P00010,2159.2157085641566,6020.585405641801,True,False
3,2,C_battery,P00011,0.0,3096.72126332031,True,False
3,1,C_battery,P00035,0.0,3274.522716105184,True,False
3,1,C_battery,P00040,1560.8638862739633,6164.056379387982,True,False
3,1,C_battery,P00044,3671.8720138565022,8606.013537337505,True,False
3,1,relay_airframe,RU-001,146.20045728484945,4007.2014886181087,True,False
3,1,relay_airframe,RU-002,37.640310014238594,6740.963348332994,True,False
3,1,relay_airframe,RU-003,4176.6680079187045,6780.604199674681,True,False
