电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,P00080,0.0,1163.5358620695392,75.4499543406507,1163.5358620695392,1982.68645564108
A-B01,A,P00089,1984.0,3596.024508122992,56.495261272562814,3596.024508122992,4661.586111579675
A-B01,A,P00236,4663.0,6298.759325243764,53.46694227710709,6298.759325243764,7403.689075641371
A-B02,A,P00053,0.0,1312.6157157640037,70.89879451784795,1312.6157157640037,2190.93138703198
A-B02,A,P00071,2193.0,3846.853569215474,56.61111156075456,3846.853569215474,4910.909118925665
A-B02,A,P00077,5060.0,6283.535862069539,74.32299116986371,6283.535862069539,7117.33697686131
A-B03,A,P00245,0.0,1635.7593252437632,55.03000067396958,1635.7593252437632,2720.369316482159
A-B03,A,P00239,2892.0,4527.759325243764,53.46694227710709,4527.759325243764,5632.689075641371
A-B04,A,P00037,0.0,2007.7326591437009,34.90876328714205,2007.7326591437009,3353.918736410854
A-B04,A,P00049,3364.0,5059.759325243764,52.678058085514266,5059.759325243764,6174.944570132078
A-B05,A,P00057,1164.0,2891.3186397361906,57.665714113712326,2891.3186397361906,3941.66435625793
A-B05,A,P00041,3943.0,6205.278664396717,33.75314925042178,6205.278664396717,7566.487724141234
A-B06,A,P00242,1313.0,2948.759325243763,54.71065016901375,2948.759325243763,4037.5208730465843
A-B06,A,P00107,4038.0,6047.993455329423,50.08075674667343,6047.993455329423,7196.943617622669
B-B01,B,P00020,0.0,1923.8014006521175,31.120163243887866,1923.8014006521175,3784.3852377580615
B-B01,B,P00028,3793.0,5758.890111994297,25.350495996215884,5758.890111994297,7719.481514726554
B-B02,B,P00030,290.0,2195.890111994297,30.664349173220316,2195.890111994297,4064.374726325145
B-B02,B,P00026,4065.0,5894.574101016009,42.228856709371385,5894.574101016009,7562.607251386905
B-B03,B,P00024,1924.0,3792.5984478690452,46.56918206451104,3792.5984478690452,5385.399292084187
B-B04,B,P00014,2196.0,3756.7797905471098,47.439223044067646,3756.7797905471098,5334.499924449938
C-B01,C,P00001,0.0,1561.4267416985467,63.42203261360152,1561.4267416985467,3187.2827017371806
C-B01,C,P00044,3740.0,6175.810858112425,23.153969290681033,6175.810858112425,8674.141523481003
C-B02,C,P00002,0.0,1627.4267416985467,62.44172425815522,1627.4267416985467,3274.522716105184
C-B02,C,P00009,3976.0,6281.185491467791,22.789267415106764,6281.185491467791,8787.418030807145
C-B03,C,P00118,1562.0,3975.779412820788,46.399225422437,3975.779412820788,5970.46286200132
C-B04,C,P00040,1628.0,3739.0081265825384,23.437644621624,3739.0081265825384,6231.192493114018
