货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S002-MED-01,医疗物资,P00003,S002,True,3600.0,3600.0,2314.8850209328707,0.0,医疗期望送达:是;首批截止:是
S002-WAT-01,饮用水,P00003,S002,True,3600.0,3600.0,2314.8850209328707,0.0,首批截止:是
S002-FOD-01,应急食品,P00003,S002,False,7200.0,,2314.8850209328707,0.0,无需硬时限
S002-WAT-02,饮用水,P00005,S002,False,3600.0,,1422.9140632912693,0.0,无需硬时限
S002-WAT-03,饮用水,P00005,S002,False,3600.0,,1422.9140632912693,0.0,无需硬时限
S002-WAT-04,饮用水,P00005,S002,False,3600.0,,1422.9140632912693,0.0,无需硬时限
S002-FOD-02,应急食品,P00005,S002,False,7200.0,,1422.9140632912693,0.0,无需硬时限
S002-HYG-01,生活卫生用品,P00005,S002,False,10800.0,,1422.9140632912693,0.0,无需硬时限
S004-MED-01,医疗物资,P00009,S004,True,7200.0,7200.0,5627.562745733895,0.0,医疗期望送达:是;首批截止:是
S004-WAT-01,饮用水,P00009,S004,True,7200.0,7200.0,5627.562745733895,0.0,首批截止:是
S004-WAT-02,饮用水,P00009,S004,False,7200.0,,5627.562745733895,0.0,无需硬时限
S004-WAT-03,饮用水,P00009,S004,False,7200.0,,5627.562745733895,0.0,无需硬时限
S004-FOD-01,应急食品,P00009,S004,False,10800.0,,5627.562745733895,0.0,无需硬时限
S004-HYG-01,生活卫生用品,P00009,S004,False,14400.0,,5627.562745733895,0.0,无需硬时限
S009-MED-01,医疗物资,P00014,S009,True,10800.0,10800.0,5851.979895273555,0.0,医疗期望送达:是;首批截止:是
S009-WAT-01,饮用水,P00014,S009,True,10800.0,10800.0,5851.979895273555,0.0,首批截止:是
S009-FOD-01,应急食品,P00014,S009,False,14400.0,,5851.979895273555,0.0,无需硬时限
S012-MED-01,医疗物资,P00020,S012,True,7200.0,3600.0,3178.830700326059,0.0,医疗期望送达:是;首批截止:是
S012-WAT-01,饮用水,P00020,S012,True,3600.0,3600.0,3178.830700326059,0.0,首批截止:是
S012-FOD-01,应急食品,P00020,S012,False,7200.0,,3178.830700326059,0.0,无需硬时限
S015-MED-01,医疗物资,P00026,S015,True,7200.0,7200.0,4131.227050508005,0.0,医疗期望送达:是;首批截止:是
S015-WAT-01,饮用水,P00026,S015,True,10800.0,10800.0,4131.227050508005,0.0,首批截止:是
S015-FOD-01,应急食品,P00026,S015,False,14400.0,,4131.227050508005,0.0,无需硬时限
S008-MED-01,医疗物资,P00028,S008,True,7200.0,7200.0,5124.171722663816,0.0,医疗期望送达:是;首批截止:是
S008-WAT-01,饮用水,P00028,S008,True,7200.0,7200.0,5124.171722663816,0.0,首批截止:是
S008-FOD-01,应急食品,P00028,S008,False,10800.0,,5124.171722663816,0.0,无需硬时限
S008-WAT-02,饮用水,P00030,S008,False,7200.0,,1234.1717226638152,0.0,无需硬时限
S008-HYG-01,生活卫生用品,P00030,S008,False,14400.0,,1234.1717226638152,0.0,无需硬时限
S001-MED-01,医疗物资,P00032,S001,True,3600.0,3600.0,969.3591246028516,0.0,医疗期望送达:是;首批截止:是
S001-MED-02,医疗物资,P00032,S001,False,3600.0,,969.3591246028516,0.0,医疗期望送达:是
S001-WAT-01,饮用水,P00032,S001,True,3600.0,3600.0,969.3591246028516,0.0,首批截止:是
S001-WAT-02,饮用水,P00035,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-03,饮用水,P00035,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-WAT-04,饮用水,P00035,S001,False,3600.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-01,应急食品,P00035,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-02,应急食品,P00035,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-FOD-03,应急食品,P00035,S001,False,7200.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-01,生活卫生用品,P00035,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S001-HYG-02,生活卫生用品,P00035,S001,False,10800.0,,1314.8983708492733,0.0,无需硬时限
S003-MED-01,医疗物资,P00041,S003,True,7200.0,7200.0,5441.112665531692,0.0,医疗期望送达:是;首批截止:是
S003-WAT-01,饮用水,P00041,S003,True,7200.0,7200.0,5441.112665531692,0.0,首批截止:是
S003-WAT-02,饮用水,P00044,S003,False,7200.0,,3705.3654290562126,0.0,无需硬时限
S003-WAT-03,饮用水,P00044,S003,False,7200.0,,3705.3654290562126,0.0,无需硬时限
S003-WAT-04,饮用水,P00044,S003,False,7200.0,,3705.3654290562126,0.0,无需硬时限
S003-FOD-01,应急食品,P00044,S003,False,10800.0,,3705.3654290562126,0.0,无需硬时限
S003-FOD-02,应急食品,P00044,S003,False,10800.0,,3705.3654290562126,0.0,无需硬时限
S003-HYG-01,生活卫生用品,P00044,S003,False,14400.0,,3705.3654290562126,0.0,无需硬时限
S005-MED-01,医疗物资,P00049,S005,True,10800.0,10800.0,4371.636329288548,0.0,医疗期望送达:是;首批截止:是
S005-WAT-01,饮用水,P00049,S005,True,10800.0,10800.0,4371.636329288548,0.0,首批截止:是
S005-WAT-02,饮用水,P00052,S005,False,10800.0,,5738.657808548026,0.0,无需硬时限
S005-WAT-03,饮用水,P00052,S005,False,10800.0,,5738.657808548026,0.0,无需硬时限
S005-FOD-01,应急食品,P00052,S005,False,14400.0,,5738.657808548026,0.0,无需硬时限
S005-HYG-01,生活卫生用品,P00052,S005,False,18000.0,,5738.657808548026,0.0,无需硬时限
S006-MED-01,医疗物资,P00053,S006,True,3600.0,3600.0,935.0711912153351,0.0,医疗期望送达:是;首批截止:是
S006-WAT-01,饮用水,P00053,S006,True,3600.0,3600.0,935.0711912153351,0.0,首批截止:是
S007-MED-01,医疗物资,P00057,S007,True,3600.0,3600.0,3528.299319868095,0.0,医疗期望送达:是;首批截止:是
S007-WAT-01,饮用水,P00057,S007,True,3600.0,3600.0,3528.299319868095,0.0,首批截止:是
S010-MED-01,医疗物资,P00071,S010,True,3600.0,3600.0,2417.4634512744037,0.0,医疗期望送达:是;首批截止:是
S010-WAT-01,饮用水,P00071,S010,True,3600.0,3600.0,2417.4634512744037,0.0,首批截止:是
S011-MED-01,医疗物资,P00077,S011,True,10800.0,10800.0,5830.954597701437,0.0,医疗期望送达:是;首批截止:是
S011-WAT-01,饮用水,P00077,S011,True,10800.0,10800.0,5830.954597701437,0.0,首批截止:是
S011-FOD-01,应急食品,P00080,S011,False,14400.0,,5999.954597701437,0.0,无需硬时限
S013-MED-01,医疗物资,P00089,S013,True,3600.0,3600.0,3263.5455873948295,0.0,医疗期望送达:是;首批截止:是
S013-WAT-01,饮用水,P00089,S013,True,3600.0,3600.0,3263.5455873948295,0.0,首批截止:是
S014-MED-01,医疗物资,P00095,S014,True,7200.0,3600.0,1272.0378421740124,0.0,医疗期望送达:是;首批截止:是
S014-WAT-01,饮用水,P00095,S014,True,3600.0,3600.0,1272.0378421740124,0.0,首批截止:是
S014-FOD-01,应急食品,P00098,S014,False,7200.0,,5327.037842174012,0.0,无需硬时限
S010-FOD-01,应急食品,P00107,S010,False,7200.0,,4610.603337388353,0.0,无需硬时限
S013-FOD-01,应急食品,P00107,S013,False,7200.0,,4203.545587394829,0.0,无需硬时限
S006-WAT-02,饮用水,P00118,S006,False,3600.0,,2795.0769426369816,0.0,无需硬时限
S006-WAT-03,饮用水,P00118,S006,False,3600.0,,2795.0769426369816,0.0,无需硬时限
S006-FOD-01,应急食品,P00118,S006,False,7200.0,,2795.0769426369816,0.0,无需硬时限
S006-HYG-01,生活卫生用品,P00118,S006,False,10800.0,,2795.0769426369816,0.0,无需硬时限
S007-WAT-02,饮用水,P00118,S007,False,3600.0,,3481.998362077679,0.0,无需硬时限
S007-FOD-01,应急食品,P00118,S007,False,7200.0,,3481.998362077679,0.0,无需硬时限
S007-HYG-01,生活卫生用品,P00118,S007,False,10800.0,,3481.998362077679,0.0,无需硬时限
S001-WAT-05,饮用水,P00137,S001,False,3600.0,,2897.359124602852,0.0,无需硬时限
S001-WAT-06,饮用水,P00140,S001,False,3600.0,,2043.3591246028516,0.0,无需硬时限
S001-WAT-07,饮用水,P00144,S001,False,3600.0,,800.3022691647031,0.0,无需硬时限
S001-WAT-08,饮用水,P00146,S001,False,3600.0,,850.3591246028516,0.0,无需硬时限
