K,site,group,atomic_unit
2,S001,1,S001
2,S002,1,"S002,S010,S012,S013,S014"
2,S003,1,"S003,S004,S005,S007,S008,S015"
2,S004,1,"S003,S004,S005,S007,S008,S015"
2,S005,1,"S003,S004,S005,S007,S008,S015"
2,S006,1,S006
2,S007,1,"S003,S004,S005,S007,S008,S015"
2,S008,1,"S003,S004,S005,S007,S008,S015"
2,S009,1,S009
2,S010,1,"S002,S010,S012,S013,S014"
2,S012,1,"S002,S010,S012,S013,S014"
2,S013,1,"S002,S010,S012,S013,S014"
2,S014,1,"S002,S010,S012,S013,S014"
2,S015,1,"S003,S004,S005,S007,S008,S015"
2,S011,2,S011
3,S001,1,S001
3,S002,1,"S002,S010,S012,S013,S014"
3,S003,1,"S003,S004,S005,S007,S008,S015"
3,S004,1,"S003,S004,S005,S007,S008,S015"
3,S005,1,"S003,S004,S005,S007,S008,S015"
3,S007,1,"S003,S004,S005,S007,S008,S015"
3,S008,1,"S003,S004,S005,S007,S008,S015"
3,S009,1,S009
3,S010,1,"S002,S010,S012,S013,S014"
3,S012,1,"S002,S010,S012,S013,S014"
3,S013,1,"S002,S010,S012,S013,S014"
3,S014,1,"S002,S010,S012,S013,S014"
3,S015,1,"S003,S004,S005,S007,S008,S015"
3,S006,2,S006
3,S011,3,S011
