运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00128,leg1-climb,330.0,368.76176269531254,直连,,54.80497750786803,122.0
P00071,leg1-climb,360.0,369.3314101710464,直连,,55.62142493215843,122.0
P00107,leg1-climb,360.0,369.04939412434896,直连,,56.2129160027533,122.0
P00128,leg1-climb,368.76176269531254,378.45220336914065,直连,,80.94666213903065,122.0
P00107,leg1-climb,369.04939412434896,378.09878824869793,直连,,66.38297288678419,122.0
P00071,leg1-climb,369.3314101710464,378.6628203420928,直连,,66.89926097440376,122.0
P00107,leg1-climb,378.09878824869793,387.1481823730469,直连,,73.65557611128986,122.0
P00128,leg1-cruise,378.45220336914065,388.2708294149384,直连,,82.88383902694989,122.0
P00071,leg1-climb,378.6628203420928,387.9942305131392,直连,,74.03111890316714,122.0
P00107,leg1-climb,387.1481823730469,396.19757649739586,直连,,77.55760837078127,122.0
P00071,leg1-climb,387.9942305131392,397.3256406841856,直连,,77.89386793099945,122.0
P00128,leg1-cruise,388.2708294149384,398.0894554607362,直连,,86.77063365844988,122.0
P00024,leg1-climb,390.0,399.6718205769857,直连,,54.84926104563459,122.0
P00020,leg1-climb,395.0,404.5200331624349,直连,,55.20206987342256,122.0
P00107,leg1-climb,396.19757649739586,405.2469706217448,直连,,80.24042241053876,122.0
P00071,leg1-climb,397.3256406841856,406.657050855232,直连,,80.55821443491213,122.0
P00128,leg1-cruise,398.0894554607362,407.90808150653396,直连,,90.16068595088801,122.0
P00024,leg1-climb,399.6718205769857,409.34364115397136,直连,,67.48415012187199,122.0
P00020,leg1-climb,404.5200331624349,414.04006632486977,直连,,67.22820357699504,122.0
P00107,leg1-climb,405.2469706217448,414.29636474609373,直连,,82.2872031221879,122.0
P00071,leg1-climb,406.657050855232,415.9884610262784,直连,,82.59426367590437,122.0
P00128,leg1-cruise,407.90808150653396,417.72670755233173,直连,,92.74417043864779,122.0
P00024,leg1-climb,409.34364115397136,419.01546173095704,直连,,74.46380373438195,122.0
P00032,leg1-climb,414.0,423.6904406738281,直连,,54.80497750786803,122.0
P00020,leg1-climb,414.04006632486977,423.5600994873047,直连,,74.27352924398483,122.0
P00107,leg1-climb,414.29636474609373,423.3457588704427,直连,,83.94246818974946,122.0
P00071,leg1-climb,415.9884610262784,425.3198711973248,直连,,84.24251418046586,122.0
P00128,leg1-cruise,417.72670755233173,427.5453335981295,直连,,94.77944721369933,122.0
P00024,leg1-climb,419.01546173095704,428.6872823079427,直连,,78.283142532026,122.0
P00107,leg1-climb,423.3457588704427,432.39515299479166,直连,,85.33221615138905,122.0
P00020,leg1-climb,423.5600994873047,433.0801326497396,直连,,78.11171836792278,122.0
P00032,leg1-climb,423.6904406738281,433.38088134765627,直连,,67.51503459175112,122.0
P00071,leg1-climb,425.3198711973248,434.6512813683712,直连,,85.62731847828361,122.0
P00128,leg1-cruise,427.5453335981295,437.3639596439273,直连,,96.44576962711744,122.0
P00024,leg1-climb,428.6872823079427,438.3591028849284,直连,,80.92693785901753,122.0
P00107,leg1-climb,432.39515299479166,441.4445471191406,直连,,86.52997009376686,122.0
P00020,leg1-climb,433.0801326497396,442.6001658121745,直连,,80.76445636907572,122.0
P00032,leg1-climb,433.38088134765627,443.0713220214844,直连,,74.48686069242545,122.0
P00071,leg1-climb,434.6512813683712,443.9826915394176,直连,,86.82140053434753,122.0
P00128,leg1-cruise,437.3639596439273,447.1825856897251,直连,,97.8520566432842,122.0
P00024,leg1-climb,438.3591028849284,448.0309234619141,直连,,82.95100231144117,122.0
P00107,leg1-climb,441.4445471191406,450.4939412434896,直连,,87.58239599079008,122.0
P00020,leg1-climb,442.6001658121745,452.12019897460937,直连,,82.79374142065464,122.0
P00032,leg1-climb,443.0713220214844,452.76176269531254,直连,,78.30394043774606,122.0
P00071,leg1-climb,443.9826915394176,453.314101710464,直连,,87.87099149767278,122.0
P00128,leg1-cruise,447.1825856897251,457.0012117355228,直连,,99.06671421641943,122.0
P00024,leg1-climb,448.0309234619141,457.70274403889977,直连,,84.59140206329432,122.0
P00107,leg1-cruise,450.4939412434896,455.4303741630255,直连,,88.12419219950223,122.0
P00020,leg1-climb,452.12019897460937,461.6402321370443,直连,,84.43756318095365,122.0
P00032,leg1-climb,452.76176269531254,462.45220336914065,直连,,80.94666213903065,122.0
P00071,leg1-climb,453.314101710464,462.6455118815104,直连,,88.80731548479534,122.0
P00107,leg1-cruise,455.4303741630255,460.3668070825614,直连,,88.57532738184243,122.0
P00128,leg1-cruise,457.0012117355228,466.81983778132064,直连,,100.13484872048119,122.0
P00024,leg1-climb,457.70274403889977,467.37456461588545,直连,,85.9706652946353,122.0
P00107,leg1-cruise,460.3668070825614,465.30324000209737,直连,,89.35746077825594,122.0
P00020,leg1-climb,461.6402321370443,471.1602652994792,直连,,85.81924271851256,122.0
P00032,leg1-cruise,462.45220336914065,472.2708294149384,直连,,82.88383902694989,122.0
P00071,leg1-cruise,462.6455118815104,467.5426567872713,直连,,89.28515490633258,122.0
P00107,leg1-cruise,465.30324000209737,470.23967292163326,直连,,90.31685831908601,122.0
P00128,leg1-cruise,466.81983778132064,476.6384638271184,直连,,101.08755538491656,122.0
P00024,leg1-climb,467.37456461588545,477.0463851928711,直连,,87.16062741373639,122.0
P00071,leg1-cruise,467.5426567872713,472.4398016930323,直连,,89.62925383637995,122.0
P00107,leg1-cruise,470.23967292163326,475.17610584116915,直连,,91.33529226640847,122.0
P00020,leg1-climb,471.1602652994792,480.68029846191405,直连,,87.01100199192074,122.0
P00032,leg1-cruise,472.2708294149384,482.0894554607362,直连,,86.77063365844988,122.0
P00071,leg1-cruise,472.4398016930323,477.3369465987932,直连,,90.24509077687689,122.0
P00107,leg1-cruise,475.17610584116915,480.1125387607051,直连,,92.3434578756372,122.0
P00128,leg1-cruise,476.6384638271184,486.4570898729162,直连,,101.94709420372484,122.0
P00024,leg1-climb,477.0463851928711,486.7182057698568,直连,,88.20703498957403,122.0
P00071,leg1-cruise,477.3369465987932,482.2340915045541,直连,,91.03078166248696,122.0
P00011,leg1-climb,480.0,489.53591357421874,直连,,58.20256818211547,122.0
P00107,leg1-cruise,480.1125387607051,485.048971680241,直连,,93.30767752650702,122.0
P00020,leg1-climb,480.68029846191405,490.20033162434896,直连,,88.05879851973762,122.0
P00032,leg1-cruise,482.0894554607362,491.90808150653396,直连,,90.16068595088801,122.0
P00071,leg1-cruise,482.2340915045541,487.13123641031507,直连,,91.89670976764633,122.0
P00107,leg1-cruise,485.048971680241,489.98540459977687,直连,,94.21478340124324,122.0
P00128,leg1-cruise,486.4570898729162,496.27571591871396,直连,,102.72991147153638,122.0
P00024,leg1-climb,486.7182057698568,496.3900263468425,直连,,89.14082538467477,122.0
P00071,leg1-cruise,487.13123641031507,492.028381316076,直连,,92.78146930976463,122.0
P00011,leg1-climb,489.53591357421874,499.0718271484375,直连,,64.0051704744007,122.0
P00107,leg1-cruise,489.98540459977687,494.9218375193128,直连,,95.06206930939192,122.0
P00020,leg1-cruise,490.20033162434896,495.1326313318739,直连,,88.62227218585926,122.0
P00032,leg1-cruise,491.90808150653396,501.72670755233173,直连,,92.74417043864779,122.0
P00071,leg1-cruise,492.028381316076,496.9255262218369,直连,,93.64924535085245,122.0
P00107,leg1-cruise,494.9218375193128,499.8582704388487,直连,,95.85170361562494,122.0
P00020,leg1-cruise,495.1326313318739,500.0649310393988,直连,,89.23777313299067,122.0
P00128,leg1-cruise,496.27571591871396,506.0943419645117,直连,,103.44848484892461,122.0
P00024,leg1-climb,496.3900263468425,506.06184692382817,直连,,89.98390077552928,122.0
P00071,leg1-cruise,496.9255262218369,501.82267112759786,直连,,94.48176855904806,122.0
P00011,leg1-climb,499.0718271484375,508.6077407226563,直连,,72.0080100726417,122.0
P00107,leg1-cruise,499.8582704388487,504.7947033583846,直连,,96.58786179510618,122.0
P00020,leg1-cruise,500.0649310393988,504.9972307469237,直连,,90.25620028335653,122.0
P00032,leg1-cruise,501.72670755233173,511.5453335981295,直连,,94.77944721369933,122.0
P00071,leg1-cruise,501.82267112759786,506.7198160333588,直连,,95.27127073701281,122.0
P00107,leg1-cruise,504.7947033583846,509.73113627792054,直连,,97.27532325035529,122.0
P00020,leg1-cruise,504.9972307469237,509.9295304544486,直连,,91.44067173795399,122.0
P00024,leg1-climb,506.06184692382817,515.7336675008139,直连,,90.7523363876894,122.0
P00128,leg1-cruise,506.0943419645117,515.9129680103094,直连,,104.11249625163042,122.0
P00071,leg1-cruise,506.7198160333588,511.61696093911974,直连,,96.01578119184599,122.0
P00011,leg1-climb,508.6077407226563,518.143654296875,直连,,76.10138478115555,122.0
P00107,leg1-cruise,509.73113627792054,514.6675691974565,直连,,97.91881695631245,122.0
P00020,leg1-cruise,509.9295304544486,514.8618301619736,直连,,92.6407245722975,122.0
P00032,leg1-cruise,511.5453335981295,521.3639596439273,直连,,96.44576962711744,122.0
