K,group,resource,task_id,start_s,end_s,half_open
2,1,A_airframe,P00041,5228.0,7490.278664396717,True
2,1,A_airframe,P00057,1816.0,3543.3186397361906,True
2,1,A_airframe,P00071,135.0,1788.8535692154742,True
2,1,A_airframe,P00089,0.0,1612.0245081229918,True
2,1,A_airframe,P00107,23.0,2032.9934553294233,True
2,1,A_airframe,P00272,1882.0,3549.3186397361906,True
2,1,A_airframe,P00275,5274.0,6941.318639736191,True
2,1,A_airframe,P00278,1882.0,3549.3186397361906,True
2,1,B_airframe,P00003,1960.0,3779.8900418657418,True
2,1,B_airframe,P00014,3842.0,5402.77979054711,True
2,2,B_airframe,P00018,1981.0,3170.6308045644855,True
2,1,B_airframe,P00020,55.0,1978.8014006521175,True
2,1,B_airframe,P00024,0.0,1868.5984478690452,True
2,1,B_airframe,P00026,5627.0,7456.574101016009,True
2,1,B_airframe,P00028,5403.0,7368.890111994297,True
2,1,B_airframe,P00030,3509.0,5414.890111994297,True
2,1,C_airframe,P00001,0.0,1561.4267416985467,True
2,1,C_airframe,P00002,0.0,1627.4267416985467,True
2,1,C_airframe,P00005,1852.0,3897.0081265825384,True
2,1,C_airframe,P00009,3280.0,5585.185491467791,True
2,1,C_airframe,P00010,5586.0,7466.045617096052,True
2,1,C_airframe,P00011,1563.0,3123.863885273963,True
2,1,C_airframe,P00044,5150.0,7585.810858112425,True
2,1,A_battery,P00041,5228.0,8851.487724141234,True
2,1,A_battery,P00057,1816.0,4593.66435625793,True
2,1,A_battery,P00071,135.0,2852.909118925665,True
2,1,A_battery,P00089,0.0,2677.586111579675,True
2,1,A_battery,P00107,23.0,3181.943617622669,True
2,1,A_battery,P00272,1882.0,4590.191889480406,True
2,1,A_battery,P00275,5274.0,7966.960530296568,True
2,1,A_battery,P00278,1882.0,4570.941907685601,True
2,1,B_battery,P00003,1960.0,5626.045851054822,True
2,1,B_battery,P00014,3842.0,6980.499924449938,True
2,2,B_battery,P00018,1981.0,4304.060797780143,True
2,1,B_battery,P00020,55.0,3839.3852377580615,True
2,1,B_battery,P00024,0.0,3461.3992920841874,True
2,1,B_battery,P00026,5627.0,9124.607251386906,True
2,1,B_battery,P00028,5403.0,9329.481514726554,True
2,1,B_battery,P00030,3509.0,7283.374726325144,True
2,1,C_battery,P00001,0.0,3187.2827017371806,True
2,1,C_battery,P00002,0.0,3274.522716105184,True
2,1,C_battery,P00005,1852.0,6284.744311336634,True
2,1,C_battery,P00009,3280.0,8091.4180308071445,True
2,1,C_battery,P00010,5586.0,9447.369697077644,True
2,1,C_battery,P00011,1563.0,4659.72126332031,True
2,1,C_battery,P00044,5150.0,10084.141523481003,True
2,1,relay_airframe,RU-001,289.6041695052735,1783.5910689895995,True
2,1,relay_airframe,RU-002,143.9669236321697,2392.1898817877523,True
2,1,relay_airframe,RU-003,1784.78248886549,4558.069623968169,True
2,1,relay_airframe,RU-004,3416.768565606437,6021.849413824716,True
2,1,relay_airframe,RU-005,5212.78248886549,8121.069623968169,True
2,1,relay_energy,RU-001,289.6041695052735,2042.2240800294678,True
2,1,relay_energy,RU-002,143.9669236321697,2797.354578708693,True
2,1,relay_energy,RU-003,1784.78248886549,5016.207667555174,True
2,1,relay_energy,RU-004,3416.768565606437,6478.133354702042,True
2,1,relay_energy,RU-005,5212.78248886549,8595.965480055174,True
3,1,A_airframe,P00041,5228.0,7490.278664396717,True
3,1,A_airframe,P00057,1816.0,3543.3186397361906,True
3,1,A_airframe,P00071,135.0,1788.8535692154742,True
