K,group,resource,task_id,start_s,end_s,half_open,shared_across_groups
2,1,A_airframe,P00032,2047.0,3359.4715825390367,True,False
2,1,A_airframe,P00037,1193.0,3200.732659143701,True,False
2,1,A_airframe,P00041,3912.0,6174.278664396717,True,False
2,1,A_airframe,P00057,68.0,1795.3186397361908,True,False
2,1,A_airframe,P00071,1193.0,2846.853569215474,True,False
2,1,A_airframe,P00089,2047.0,3659.024508122992,True,False
2,1,A_airframe,P00107,23.0,2032.9934553294233,True,False
2,1,A_airframe,P00137,0.0,1192.4715825390365,True,False
2,1,A_airframe,P00140,3201.0,4393.471582539037,True,False
2,1,A_airframe,P00143,4726.0,5918.471582539037,True,False
2,1,A_airframe,P00146,0.0,1192.4715825390365,True,False
2,1,A_airframe,P00272,2847.0,4514.318639736191,True,False
2,1,A_airframe,P00275,4227.0,5894.318639736191,True,False
2,1,A_airframe,P00278,4548.0,6215.318639736191,True,False
2,1,B_airframe,P00014,1869.0,3429.7797905471098,True,False
2,2,B_airframe,P00018,5292.0,6481.6308045644855,True,False
2,1,B_airframe,P00020,57.0,1980.8014006521175,True,False
2,1,B_airframe,P00024,0.0,1868.5984478690452,True,False
2,1,B_airframe,P00026,3462.0,5291.574101016009,True,False
2,1,B_airframe,P00028,1981.0,3946.890111994297,True,False
2,1,B_airframe,P00030,4103.0,6008.890111994297,True,False
2,1,C_airframe,P00009,3874.0,6179.185491467791,True,False
2,1,C_airframe,P00010,1628.0,3508.0456170960524,True,False
2,1,C_airframe,P00011,0.0,1560.8638852739632,True,False
2,1,C_airframe,P00035,0.0,1627.4267416985467,True,False
2,1,C_airframe,P00040,1561.0,3672.0081265825384,True,False
2,1,C_airframe,P00044,3674.0,6109.810858112425,True,False
2,1,A_battery,P00032,2047.0,4225.782682265257,True,False
2,1,A_battery,P00037,1193.0,4546.918736410854,True,False
2,1,A_battery,P00041,3912.0,7535.487724141234,True,False
2,1,A_battery,P00057,68.0,2845.66435625793,True,False
2,1,A_battery,P00071,1193.0,3910.909118925665,True,False
