货箱编号,物资类型,架次编号,服务区编号,是否首批保障,期望送达时间（s）,首批截止时间（s）,交付完成时刻（s）,期望时间迟到（s）,硬时限检查
S015-MED-01,医疗物资,P00026,S015,True,7200.0,7200.0,1218.2270505080046,0.0,医疗期望送达:是;首批截止:是
S015-WAT-01,饮用水,P00026,S015,True,10800.0,10800.0,1218.2270505080046,0.0,首批截止:是
S015-FOD-01,应急食品,P00026,S015,False,14400.0,,1218.2270505080046,0.0,无需硬时限
S008-WAT-02,饮用水,P00030,S008,False,7200.0,,1233.1717226638152,0.0,无需硬时限
S008-HYG-01,生活卫生用品,P00030,S008,False,14400.0,,1233.1717226638152,0.0,无需硬时限
S005-WAT-02,饮用水,P00052,S005,False,10800.0,,1242.6578085480262,0.0,无需硬时限
S005-WAT-03,饮用水,P00052,S005,False,10800.0,,1242.6578085480262,0.0,无需硬时限
S005-FOD-01,应急食品,P00052,S005,False,14400.0,,1242.6578085480262,0.0,无需硬时限
S005-HYG-01,生活卫生用品,P00052,S005,False,18000.0,,1242.6578085480262,0.0,无需硬时限
S007-MED-01,医疗物资,P00057,S007,True,3600.0,3600.0,1141.2993198680954,0.0,医疗期望送达:是;首批截止:是
S007-WAT-01,饮用水,P00057,S007,True,3600.0,3600.0,1141.2993198680954,0.0,首批截止:是
S010-MED-01,医疗物资,P00071,S010,True,3600.0,3600.0,1104.4634512744037,0.0,医疗期望送达:是;首批截止:是
S010-WAT-01,饮用水,P00071,S010,True,3600.0,3600.0,1104.4634512744037,0.0,首批截止:是
S001-WAT-04,饮用水,P00134,S001,False,3600.0,,849.3591246028516,0.0,无需硬时限
S001-WAT-05,饮用水,P00355,S001,False,3600.0,,909.3591246028516,0.0,无需硬时限
S001-FOD-01,应急食品,P00355,S001,False,7200.0,,909.3591246028516,0.0,无需硬时限
S001-WAT-06,饮用水,P00417,S001,False,3600.0,,1248.8983708492733,0.0,无需硬时限
S001-WAT-07,饮用水,P00417,S001,False,3600.0,,1248.8983708492733,0.0,无需硬时限
S001-WAT-08,饮用水,P00417,S001,False,3600.0,,1248.8983708492733,0.0,无需硬时限
S001-FOD-02,应急食品,P00417,S001,False,7200.0,,1248.8983708492733,0.0,无需硬时限
S001-FOD-03,应急食品,P00417,S001,False,7200.0,,1248.8983708492733,0.0,无需硬时限
S001-HYG-01,生活卫生用品,P00417,S001,False,10800.0,,1248.8983708492733,0.0,无需硬时限
S001-HYG-02,生活卫生用品,P00417,S001,False,10800.0,,1248.8983708492733,0.0,无需硬时限
S013-MED-01,医疗物资,P00089,S013,True,3600.0,3600.0,2276.0171699338657,0.0,医疗期望送达:是;首批截止:是
S013-WAT-01,饮用水,P00089,S013,True,3600.0,3600.0,2276.0171699338657,0.0,首批截止:是
S001-MED-01,医疗物资,P00032,S001,True,3600.0,3600.0,2221.830707141888,0.0,医疗期望送达:是;首批截止:是
S001-MED-02,医疗物资,P00032,S001,False,3600.0,,2221.830707141888,0.0,医疗期望送达:是
S001-WAT-01,饮用水,P00032,S001,True,3600.0,3600.0,2221.830707141888,0.0,首批截止:是
S006-WAT-02,饮用水,P00118,S006,False,3600.0,,2728.5036843355283,0.0,无需硬时限
S006-WAT-03,饮用水,P00118,S006,False,3600.0,,2728.5036843355283,0.0,无需硬时限
S006-FOD-01,应急食品,P00118,S006,False,7200.0,,2728.5036843355283,0.0,无需硬时限
S006-HYG-01,生活卫生用品,P00118,S006,False,10800.0,,2728.5036843355283,0.0,无需硬时限
S007-WAT-02,饮用水,P00118,S007,False,3600.0,,3415.4251037762256,0.0,无需硬时限
S007-FOD-01,应急食品,P00118,S007,False,7200.0,,3415.4251037762256,0.0,无需硬时限
S007-HYG-01,生活卫生用品,P00118,S007,False,10800.0,,3415.4251037762256,0.0,无需硬时限
S002-WAT-02,饮用水,P00040,S002,False,3600.0,,3236.959680387322,0.0,无需硬时限
S002-WAT-03,饮用水,P00040,S002,False,3600.0,,3236.959680387322,0.0,无需硬时限
S002-WAT-04,饮用水,P00040,S002,False,3600.0,,3236.959680387322,0.0,无需硬时限
S002-FOD-01,应急食品,P00040,S002,False,7200.0,,3236.959680387322,0.0,无需硬时限
S002-FOD-02,应急食品,P00040,S002,False,7200.0,,3236.959680387322,0.0,无需硬时限
S002-HYG-01,生活卫生用品,P00040,S002,False,10800.0,,3236.959680387322,0.0,无需硬时限
S012-MED-01,医疗物资,P00020,S012,True,7200.0,3600.0,3101.4048013420684,0.0,医疗期望送达:是;首批截止:是
S012-WAT-01,饮用水,P00020,S012,True,3600.0,3600.0,3101.4048013420684,0.0,首批截止:是
S012-FOD-01,应急食品,P00020,S012,False,7200.0,,3101.4048013420684,0.0,无需硬时限
S014-MED-01,医疗物资,P00024,S014,True,7200.0,3600.0,3147.746002595486,0.0,医疗期望送达:是;首批截止:是
S014-WAT-01,饮用水,P00024,S014,True,3600.0,3600.0,3147.746002595486,0.0,首批截止:是
S014-FOD-01,应急食品,P00024,S014,False,7200.0,,3147.746002595486,0.0,无需硬时限
S006-MED-01,医疗物资,P00053,S006,True,3600.0,3600.0,2980.8691708478627,0.0,医疗期望送达:是;首批截止:是
S006-WAT-01,饮用水,P00053,S006,True,3600.0,3600.0,2980.8691708478627,0.0,首批截止:是
S002-MED-01,医疗物资,P00037,S002,True,3600.0,3600.0,3409.804090063461,0.0,医疗期望送达:是;首批截止:是
S002-WAT-01,饮用水,P00037,S002,True,3600.0,3600.0,3409.804090063461,0.0,首批截止:是
S001-WAT-03,饮用水,P00131,S001,False,3600.0,,3567.268243528517,0.0,无需硬时限
S001-WAT-02,饮用水,P00128,S001,False,3600.0,,3653.85521526488,53.85521526487992,无需硬时限
S005-MED-01,医疗物资,P00049,S005,True,10800.0,10800.0,4561.890594092842,0.0,医疗期望送达:是;首批截止:是
S005-WAT-01,饮用水,P00049,S005,True,10800.0,10800.0,4561.890594092842,0.0,首批截止:是
S008-MED-01,医疗物资,P00028,S008,True,7200.0,7200.0,5046.547224331942,0.0,医疗期望送达:是;首批截止:是
S008-WAT-01,饮用水,P00028,S008,True,7200.0,7200.0,5046.547224331942,0.0,首批截止:是
S008-FOD-01,应急食品,P00028,S008,False,10800.0,,5046.547224331942,0.0,无需硬时限
S009-MED-01,医疗物资,P00014,S009,True,10800.0,10800.0,4866.468455136897,0.0,医疗期望送达:是;首批截止:是
S009-WAT-01,饮用水,P00014,S009,True,10800.0,10800.0,4866.468455136897,0.0,首批截止:是
