架次编号,航段序号,from,to,payload_kg,distance_m,cruise_altitude_m,flight_s,energy_kwh
P00026,1,O01,S015,25.0,6019.113948538039,571.7992553710938,588.2270505080047,1.4270441918581558
P00026,2,S015,O01,0.0,6019.113948538039,571.7992553710938,611.3470505080047,0.8838015397669887
P00030,1,O01,S008,20.0,8109.473184927932,372.9093322753906,663.1717226638152,1.5898434293076122
P00030,2,S008,O01,0.0,8109.473184927932,372.9093322753906,672.718389330482,1.1835826037635748
P00052,1,O01,S005,42.0,5302.02013115008,326.410888671875,498.6578085480262,2.1357526867382792
P00052,2,S005,O01,0.0,5302.02013115008,326.410888671875,505.3878085480262,1.6661439621071876
P00057,1,O01,S007,17.0,4533.827897987457,511.9731750488281,571.2993198680954,1.0456595936902333
P00057,2,S007,O01,0.0,4533.827897987457,511.9731750488281,586.0193198680954,0.8593832711927119
P00071,1,O01,S010,17.0,4778.43990162097,435.63653564453125,534.4634512744037,1.0701245542414421
P00071,2,S010,O01,0.0,4778.43990162097,435.63653564453125,549.3901179410705,0.8823754255246029
P00134,1,O01,S001,14.0,3063.411326288906,273.0566101074219,339.3591246028516,0.64805311410426
P00134,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
P00355,1,O01,S001,22.0,3063.411326288906,273.0566101074219,339.3591246028516,0.7110523555395489
P00355,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
P00417,1,O01,S001,70.0,3063.411326288906,273.0566101074219,306.8983708492734,1.7623097033736654
P00417,2,S001,O01,0.0,3063.411326288906,273.0566101074219,312.5283708492734,0.9661401666331395
P00089,1,O01,S013,17.0,4848.706999909826,399.18182373046875,513.5455873948292,1.0723708925240345
P00089,2,S013,O01,0.0,4848.706999909826,399.18182373046875,528.4789207281625,0.8853423502106391
P00032,1,O01,S001,20.0,3063.411326288906,273.0566101074219,339.3591246028516,0.6930001616790924
P00032,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
P00118,1,O01,S006,70.0,3181.0333082558964,366.09783935546875,333.0769426369817,1.8762677286137184
P00118,2,S006,S007,28.0,2516.493361922958,590.361328125,398.9214194406972,0.9735378683527626
P00118,3,S007,O01,0.0,4533.827897987457,511.9731750488281,559.7810507431091,1.438256369238559
P00040,1,O01,S002,64.0,7435.278518338766,308.9542541503906,612.9140632912693,3.813553196754571
P00040,2,S002,O01,0.0,7435.278518338766,308.9542541503906,622.0940632912692,2.311435233515509
P00020,1,O01,S012,25.0,7398.449561287365,413.3009948730469,641.8307003260587,1.6654411477339581
P00020,2,S012,O01,0.0,7398.449561287365,413.3009948730469,651.9707003260587,1.0897523225105272
P00024,1,O01,S014,25.0,5410.9170943694,591.9473876953125,611.8558906011892,1.3049900720879226
P00024,2,S014,O01,0.0,5410.9170943694,591.9473876953125,626.7425572678559,0.8322426453316359
P00053,1,O01,S006,17.0,3181.0333082558964,366.09783935546875,365.0711912153351,0.7233825270818953
P00053,2,S006,O01,0.0,3181.0333082558964,366.09783935546875,377.54452454866845,0.586171719614947
P00037,1,O01,S002,17.0,7435.278518338766,308.9542541503906,715.8063295718504,1.567064446515872
P00037,2,S002,O01,0.0,7435.278518338766,308.9542541503906,721.9263295718504,1.3620412055627353
P00131,1,O01,S001,14.0,3063.411326288906,273.0566101074219,339.3591246028516,0.64805311410426
P00131,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
P00128,1,O01,S001,14.0,3063.411326288906,273.0566101074219,339.3591246028516,0.64805311410426
P00128,2,S001,O01,0.0,3063.411326288906,273.0566101074219,343.11245793618485,0.57499979891167
P00049,1,O01,S005,17.0,5302.02013115008,326.410888671875,560.6363292885483,1.1403208916352823
P00049,2,S005,O01,0.0,5302.02013115008,326.410888671875,565.122995955215,0.9891664945165758
P00028,1,O01,S008,25.0,8109.473184927932,372.9093322753906,663.1717226638152,1.80239755638779
P00028,2,S008,O01,0.0,8109.473184927932,372.9093322753906,672.718389330482,1.1835826037635748
P00014,1,O01,S009,25.0,5722.680393214653,293.2289123535156,461.979895273555,1.2693558680147266
P00014,2,S009,O01,0.0,5722.680393214653,293.2289123535156,468.799895273555,0.8330752102225674
P00044,1,O01,S003,64.0,7261.075570364676,561.8041381835938,769.3654290562129,3.854449956814672
P00044,2,S003,O01,0.0,7261.075570364676,561.8041381835938,790.4454290562128,2.293232499930845
P00041,1,O01,S003,17.0,7261.075570364676,561.8041381835938,839.1126655316918,1.6149747941555515
P00041,2,S003,O01,0.0,7261.075570364676,561.8041381835938,853.1659988650251,1.3661334895754682
P00009,1,O01,S004,59.0,7745.662441501595,398.2391662597656,709.5627457338954,3.7486354476344226
P00009,2,S004,O01,0.0,7745.662441501595,398.2391662597656,719.6227457338954,2.4282231591570365
P00107,1,O01,S013,16.0,4848.706999909826,399.18182373046875,513.5455873948292,1.0606676793482328
P00107,2,S013,S010,8.0,1383.3537128129105,504.07037353515625,227.0577499935238,0.30332284152685984
P00107,3,S010,O01,0.0,4778.43990162097,435.63653564453125,549.3901179410705,0.8823754255246029
P00077,1,O01,S011,17.0,2817.1517251516107,295.36175537109375,323.95459770143634,0.6263270364693926
P00077,2,S011,O01,0.0,2817.1517251516107,295.36175537109375,329.58126436810295,0.5291383608867404
P00080,1,O01,S011,8.0,2817.1517251516107,295.36175537109375,323.95459770143634,0.5756136937839778
P00080,2,S011,O01,0.0,2817.1517251516107,295.36175537109375,329.58126436810295,0.5291383608867404
