货箱编号,服务区编号,架次编号,质量（kg）,交付完成时刻（s）
S004-MED-01,S004,P00009,3.0,5459.562745733895
S004-WAT-01,S004,P00009,14.0,5459.562745733895
S004-WAT-02,S004,P00009,14.0,5459.562745733895
S004-WAT-03,S004,P00009,14.0,5459.562745733895
S004-FOD-01,S004,P00009,8.0,5459.562745733895
S004-HYG-01,S004,P00009,6.0,5459.562745733895
S005-MED-01,S005,P00010,3.0,3002.657808548026
S005-WAT-01,S005,P00010,14.0,3002.657808548026
S005-WAT-02,S005,P00010,14.0,3002.657808548026
S005-WAT-03,S005,P00010,14.0,3002.657808548026
S005-FOD-01,S005,P00010,8.0,3002.657808548026
S005-HYG-01,S005,P00010,6.0,3002.657808548026
S006-MED-01,S006,P00011,3.0,1209.0769426369816
S006-WAT-01,S006,P00011,14.0,1209.0769426369816
S006-WAT-02,S006,P00011,14.0,1209.0769426369816
S006-WAT-03,S006,P00011,14.0,1209.0769426369816
S006-FOD-01,S006,P00011,8.0,1209.0769426369816
S006-HYG-01,S006,P00011,6.0,1209.0769426369816
S009-MED-01,S009,P00014,3.0,2960.979895273555
S009-WAT-01,S009,P00014,14.0,2960.979895273555
S009-FOD-01,S009,P00014,8.0,2960.979895273555
S011-MED-01,S011,P00018,3.0,6199.002068948909
S011-WAT-01,S011,P00018,14.0,6199.002068948909
S011-FOD-01,S011,P00018,8.0,6199.002068948909
S012-MED-01,S012,P00020,3.0,1328.8307003260588
S012-WAT-01,S012,P00020,14.0,1328.8307003260588
S012-FOD-01,S012,P00020,8.0,1328.8307003260588
S014-MED-01,S014,P00024,3.0,1241.8558906011892
S014-WAT-01,S014,P00024,14.0,1241.8558906011892
S014-FOD-01,S014,P00024,8.0,1241.8558906011892
S015-MED-01,S015,P00026,3.0,4680.227050508005
S015-WAT-01,S015,P00026,14.0,4680.227050508005
S015-FOD-01,S015,P00026,8.0,4680.227050508005
S008-MED-01,S008,P00028,3.0,3274.171722663815
S008-WAT-01,S008,P00028,14.0,3274.171722663815
S008-FOD-01,S008,P00028,8.0,3274.171722663815
S008-WAT-02,S008,P00030,14.0,5336.171722663816
S008-HYG-01,S008,P00030,6.0,5336.171722663816
S001-MED-01,S001,P00032,3.0,3016.359124602852
S001-MED-02,S001,P00032,3.0,3016.359124602852
S001-WAT-01,S001,P00032,14.0,3016.359124602852
S001-WAT-02,S001,P00035,14.0,1314.8983708492733
S001-WAT-03,S001,P00035,14.0,1314.8983708492733
S001-WAT-04,S001,P00035,14.0,1314.8983708492733
S001-FOD-01,S001,P00035,8.0,1314.8983708492733
S001-FOD-02,S001,P00035,8.0,1314.8983708492733
S001-FOD-03,S001,P00035,8.0,1314.8983708492733
S001-HYG-01,S001,P00035,6.0,1314.8983708492733
S001-HYG-02,S001,P00035,6.0,1314.8983708492733
S002-MED-01,S002,P00037,3.0,2478.8063295718503
S002-WAT-01,S002,P00037,14.0,2478.8063295718503
S002-WAT-02,S002,P00040,14.0,3049.9140632912695
S002-WAT-03,S002,P00040,14.0,3049.9140632912695
S002-WAT-04,S002,P00040,14.0,3049.9140632912695
S002-FOD-01,S002,P00040,8.0,3049.9140632912695
S002-FOD-02,S002,P00040,8.0,3049.9140632912695
S002-HYG-01,S002,P00040,6.0,3049.9140632912695
S003-MED-01,S003,P00041,3.0,5321.112665531692
S003-WAT-01,S003,P00041,14.0,5321.112665531692
S003-WAT-02,S003,P00044,14.0,5319.365429056213
S003-WAT-03,S003,P00044,14.0,5319.365429056213
S003-WAT-04,S003,P00044,14.0,5319.365429056213
S003-FOD-01,S003,P00044,8.0,5319.365429056213
S003-FOD-02,S003,P00044,8.0,5319.365429056213
S003-HYG-01,S003,P00044,6.0,5319.365429056213
S007-MED-01,S007,P00057,3.0,1209.2993198680954
S007-WAT-01,S007,P00057,14.0,1209.2993198680954
S010-MED-01,S010,P00071,3.0,2297.4634512744037
S010-WAT-01,S010,P00071,14.0,2297.4634512744037
S013-MED-01,S013,P00089,3.0,3130.5455873948295
S013-WAT-01,S013,P00089,14.0,3130.5455873948295
S010-FOD-01,S010,P00107,8.0,1483.603337388353
S013-FOD-01,S013,P00107,8.0,1076.5455873948292
S001-WAT-05,S001,P00137,14.0,849.3591246028516
S001-WAT-06,S001,P00140,14.0,4050.359124602852
S001-WAT-07,S001,P00143,14.0,5575.359124602852
S001-WAT-08,S001,P00146,14.0,849.3591246028516
S007-WAT-02,S007,P00272,14.0,3928.299319868095
S007-FOD-01,S007,P00275,8.0,5308.299319868095
S007-HYG-01,S007,P00278,6.0,5629.299319868095
