架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00009,U08,C,C-B02,3874.0,4354.0,6179.185491467791,S004,6.176858606791459,22.789267415106764,6,8685.418030807145
P00010,U08,C,C-B04,1628.0,2108.0,3508.0456170960524,S005,4.238735064547415,47.01581169315732,6,5489.369697077644
P00011,U07,C,C-B01,0.0,480.0,1560.8638852739632,S006,2.593934934324972,67.57581332093785,6,3096.72126332031
P00014,U05,B,B-B03,1869.0,2259.0,3429.7797905471098,S009,2.102431078237294,47.439223044067646,3,5007.499924449938
P00018,U05,B,B-B03,5292.0,5682.0,6481.6308045644855,S011,1.0771461381899774,73.07134654525056,3,7615.060797780143
P00020,U06,B,B-B02,57.0,447.0,1980.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3841.3852377580615
P00024,U05,B,B-B01,0.0,390.0,1868.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3461.3992920841874
P00026,U05,B,B-B01,3462.0,3852.0,5291.574101016009,S015,2.3108457316251445,42.228856709371385,3,6959.607251386905
P00028,U06,B,B-B04,1981.0,2371.0,3946.890111994297,S008,2.9859801601513647,25.350495996215884,3,5907.481514726555
P00030,U06,B,B-B02,4103.0,4463.0,6008.890111994297,S008,2.7734260330711873,30.664349173220316,2,7877.374726325144
P00032,U03,A,A-B01,2047.0,2437.0,3359.4715825390367,S001,1.2679999605907624,71.82222309798306,3,4225.782682265257
P00035,U08,C,C-B02,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
P00037,U02,A,A-B06,1193.0,1553.0,3200.732659143701,S002,2.9291056520786074,34.90876328714205,2,4546.918736410854
P00040,U07,C,C-B03,1561.0,2041.0,3672.0081265825384,S002,6.12498843027008,23.437644621624,6,6164.192493114018
P00041,U03,A,A-B05,3912.0,4272.0,6174.278664396717,S003,2.98110828373102,33.75314925042178,2,7535.487724141234
P00044,U07,C,C-B01,3674.0,4154.0,6109.810858112425,S003,6.1476824567455175,23.153969290681033,6,8608.141523481003
P00057,U04,A,A-B04,68.0,428.0,1795.3186397361908,S007,1.9050428648829452,57.665714113712326,2,2845.66435625793
P00071,U01,A,A-B05,1193.0,1553.0,2846.853569215474,S010,1.9524999797660452,56.61111156075456,2,3910.909118925665
P00089,U04,A,A-B02,2047.0,2407.0,3659.024508122992,S013,1.9577132427346737,56.495261272562814,2,4724.586111579675
P00107,U03,A,A-B03,23.0,383.0,2032.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3181.943617622669
P00137,U01,A,A-B01,0.0,330.0,1192.4715825390365,S001,1.22305291301593,72.82104637742377,1,2045.7979796325276
P00140,U02,A,A-B03,3201.0,3531.0,4393.471582539037,S001,1.22305291301593,72.82104637742377,1,5246.797979632528
P00143,U02,A,A-B02,4726.0,5056.0,5918.471582539037,S001,1.22305291301593,72.82104637742377,1,6771.797979632528
P00146,U02,A,A-B02,0.0,330.0,1192.4715825390365,S001,1.22305291301593,72.82104637742377,1,2045.7979796325276
P00272,U01,A,A-B04,2847.0,3177.0,4514.318639736191,S007,1.8722535568068988,58.394365404291136,1,5555.191889480406
P00275,U04,A,A-B01,4227.0,4557.0,5894.318639736191,S007,1.8195296211705392,59.56600841843247,1,6919.960530296568
P00278,U01,A,A-B06,4548.0,4878.0,6215.318639736191,S007,1.8056190044402682,59.8751332346607,1,7236.941907685601
