架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,起飞时刻（s）,返回O01时刻（s）,访问服务区顺序,架次能耗（kWh）,返航SOC（%）,逐箱交付数,电池充电完成时刻（s）
P00009,U07,C,C-B01,4064.0,4544.0,6369.185491467791,S004,6.176858606791459,22.789267415106764,6,8875.418030807145
P00014,U05,B,B-B01,3812.0,4202.0,5372.77979054711,S009,2.102431078237294,47.439223044067646,3,6950.499924449938
P00018,U05,B,B-B03,5373.0,5763.0,6562.6308045644855,S011,1.0771461381899774,73.07134654525056,3,7696.060797780143
P00020,U06,B,B-B02,62.0,452.0,1985.8014006521175,S012,2.7551934702444854,31.120163243887866,3,3846.3852377580615
P00024,U05,B,B-B01,5.0,395.0,1873.5984478690452,S014,2.1372327174195584,46.56918206451104,3,3466.3992920841874
P00026,U05,B,B-B03,1874.0,2264.0,3703.5741010160095,S015,2.3108457316251445,42.228856709371385,3,5371.607251386906
P00028,U06,B,B-B04,1986.0,2376.0,3951.890111994297,S008,2.9859801601513647,25.350495996215884,3,5912.481514726555
P00030,U06,B,B-B02,3952.0,4312.0,5857.890111994297,S008,2.7734260330711873,30.664349173220316,2,7726.374726325144
P00032,U01,A,A-B01,0.0,390.0,1312.4715825390365,S001,1.2679999605907624,71.82222309798306,3,2178.782682265257
P00035,U07,C,C-B01,0.0,540.0,1627.4267416985467,S001,3.004662059347582,62.44172425815522,8,3274.522716105184
P00037,U02,A,A-B06,1798.0,2158.0,3805.732659143701,S002,2.9291056520786074,34.90876328714205,2,5151.918736410854
P00040,U08,C,C-B02,0.0,480.0,2111.0081265825384,S002,6.12498843027008,23.437644621624,6,4603.192493114018
P00041,U03,A,A-B01,2181.0,2541.0,4443.278664396717,S003,2.98110828373102,33.75314925042178,2,5804.487724141234
P00044,U07,C,C-B03,1628.0,2108.0,4063.8108581124256,S003,6.1476824567455175,23.153969290681033,6,6562.141523481003
P00049,U01,A,A-B05,4826.0,5186.0,6521.759325243764,S005,2.129487386151858,52.678058085514266,2,7636.944570132078
P00052,U08,C,C-B02,4814.0,5234.0,6562.045617096052,S005,3.801896648845467,52.47629188943166,4,8425.059292825033
P00053,U02,A,A-B02,1.0,361.0,1313.6157157640037,S006,1.3095542466968424,70.89879451784795,2,2191.93138703198
P00057,U04,A,A-B02,2193.0,2553.0,3920.3186397361906,S007,1.9050428648829452,57.665714113712326,2,4970.66435625793
P00071,U03,A,A-B03,12.0,372.0,1665.8535692154742,S010,1.9524999797660452,56.61111156075456,2,2729.909118925665
P00089,U01,A,A-B05,1313.0,1673.0,2925.024508122992,S013,1.9577132427346737,56.495261272562814,2,3990.586111579675
P00107,U04,A,A-B04,28.0,388.0,2037.9934553294233,S013→S010,2.2463659463996954,50.08075674667343,2,3186.943617622669
P00118,U08,C,C-B04,2112.0,2622.0,4525.779412820788,S006→S007,4.28806196620504,46.399225422437,7,6520.46286200132
P00137,U01,A,A-B03,3379.0,3709.0,4571.471582539037,S001,1.22305291301593,72.82104637742377,1,5424.797979632528
P00140,U02,A,A-B04,3806.0,4136.0,4998.471582539037,S001,1.22305291301593,72.82104637742377,1,5851.797979632528
P00143,U03,A,A-B02,4972.0,5302.0,6164.471582539037,S001,1.22305291301593,72.82104637742377,1,7017.797979632528
P00146,U02,A,A-B06,5153.0,5483.0,6345.471582539037,S001,1.22305291301593,72.82104637742377,1,7198.797979632528
