K,group,task_type,task_id
2,1,transport,P00001
2,1,transport,P00003
2,1,transport,P00005
2,1,transport,P00009
2,1,transport,P00010
2,1,transport,P00014
2,1,transport,P00020
2,1,transport,P00024
2,1,transport,P00026
2,1,transport,P00028
2,1,transport,P00030
2,1,transport,P00041
2,1,transport,P00044
2,1,transport,P00053
2,1,transport,P00057
2,1,transport,P00071
2,1,transport,P00089
2,1,transport,P00107
2,1,transport,P00118
2,1,transport,P00140
2,1,transport,P00143
2,1,transport,P00146
2,1,transport,P00149
2,1,transport,P00152
2,1,transport,P00155
2,1,transport,P00158
2,1,transport,P00161
2,1,relay,RU-001
2,1,relay,RU-002
2,1,relay,RU-003
2,1,relay,RU-004
2,2,transport,P00018
3,1,transport,P00001
3,1,transport,P00003
3,1,transport,P00005
3,1,transport,P00009
3,1,transport,P00020
3,1,transport,P00024
3,1,transport,P00026
3,1,transport,P00028
3,1,transport,P00030
3,1,transport,P00041
3,1,transport,P00044
3,1,transport,P00053
3,1,transport,P00057
3,1,transport,P00071
3,1,transport,P00089
3,1,transport,P00107
3,1,transport,P00118
3,1,transport,P00140
3,1,transport,P00143
3,1,transport,P00146
3,1,transport,P00149
3,1,transport,P00152
3,1,transport,P00155
3,1,transport,P00158
3,1,transport,P00161
3,1,relay,RU-001
3,1,relay,RU-002
3,1,relay,RU-003
3,2,transport,P00010
3,2,transport,P00014
3,2,relay,RU-004
3,3,transport,P00018
