电池编号,机型编号,架次编号,任务占用开始（s）,返航释放（s）,返航SOC（%）,充电开始（s）,充电完成（s）
A-B01,A,P00143,0.0,1192.4715825390365,72.82104637742377,1192.4715825390365,2045.7979796325276
A-B01,A,P00053,2047.0,3359.6157157640037,70.89879451784795,3359.6157157640037,4237.93138703198
A-B01,A,P00049,4239.0,5934.759325243764,52.678058085514266,5934.759325243764,7049.944570132078
A-B02,A,P00146,0.0,1192.4715825390365,72.82104637742377,1192.4715825390365,2045.7979796325276
A-B02,A,P00037,2047.0,4054.732659143701,34.90876328714205,4054.732659143701,5400.918736410854
A-B03,A,P00032,0.0,1312.4715825390365,71.82222309798306,1312.4715825390365,2178.782682265257
A-B03,A,P00057,2386.0,4113.318639736191,57.665714113712326,4113.318639736191,5163.66435625793
A-B04,A,P00071,0.0,1653.8535692154742,56.61111156075456,1653.8535692154742,2717.909118925665
A-B04,A,P00140,2806.0,3998.4715825390367,72.82104637742377,3998.4715825390367,4851.797979632528
A-B04,A,P00077,4853.0,6076.535862069539,74.32299116986371,6076.535862069539,6910.33697686131
A-B05,A,P00137,1193.0,2385.4715825390367,72.82104637742377,2385.4715825390367,3238.7979796325276
A-B05,A,P00107,3360.0,5369.993455329423,50.08075674667343,5369.993455329423,6518.943617622669
A-B06,A,P00089,1193.0,2805.024508122992,56.495261272562814,2805.024508122992,3870.586111579675
A-B06,A,P00041,3999.0,6261.278664396717,33.75314925042178,6261.278664396717,7622.487724141234
B-B01,B,P00014,0.0,1560.77979054711,47.439223044067646,1560.77979054711,3138.4999244499377
B-B01,B,P00026,3430.0,5259.574101016009,42.228856709371385,5259.574101016009,6927.607251386905
B-B02,B,P00028,0.0,1965.890111994297,25.350495996215884,1965.890111994297,3926.4815147265554
B-B02,B,P00030,3927.0,5832.890111994297,30.664349173220316,5832.890111994297,7701.374726325144
B-B03,B,P00024,1561.0,3429.5984478690452,46.56918206451104,3429.5984478690452,5022.399292084187
B-B03,B,P00081,5260.0,6329.6308045644855,77.57689903804321,6329.6308045644855,7384.964554571737
B-B04,B,P00020,1966.0,3889.8014006521175,31.120163243887866,3889.8014006521175,5750.3852377580615
C-B01,C,P00035,0.0,1627.4267416985467,62.44172425815522,1627.4267416985467,3274.522716105184
C-B01,C,P00044,3861.0,6296.810858112425,23.153969290681033,6296.810858112425,8795.141523481003
C-B02,C,P00052,0.0,1748.0456170960524,52.47629188943166,1748.0456170960524,3611.059292825033
C-B02,C,P00009,4042.0,6347.185491467791,22.789267415106764,6347.185491467791,8853.418030807145
C-B03,C,P00118,1628.0,4041.779412820788,46.399225422437,4041.779412820788,6036.46286200132
C-B04,C,P00040,1749.0,3860.0081265825384,23.437644621624,3860.0081265825384,6352.192493114018
