架次编号,无人机编号,机型编号,电池编号,准备开始时刻（s）,准备完成时刻（s）,装载完成/起飞时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,质量（kg）,体积（m³）,返航SOC（%）
P00009,U07,C,C-B02,4042.0,4342.0,4522.0,S004,6347.185491467791,6.176858606791459,59.0,0.156,22.789267415106764
P00014,U05,B,B-B01,0.0,300.0,390.0,S009,1560.77979054711,2.102431078237294,25.0,0.067,47.439223044067646
P00020,U06,B,B-B04,1966.0,2266.0,2356.0,S012,3889.8014006521175,2.7551934702444854,25.0,0.067,31.120163243887866
P00024,U05,B,B-B03,1561.0,1861.0,1951.0,S014,3429.5984478690452,2.1372327174195584,25.0,0.067,46.56918206451104
P00026,U05,B,B-B01,3430.0,3730.0,3820.0,S015,5259.574101016009,2.3108457316251445,25.0,0.067,42.228856709371385
P00028,U06,B,B-B02,0.0,300.0,390.0,S008,1965.890111994297,2.9859801601513647,25.0,0.067,25.350495996215884
P00030,U06,B,B-B02,3927.0,4227.0,4287.0,S008,5832.890111994297,2.7734260330711873,20.0,0.062,30.664349173220316
P00032,U03,A,A-B03,0.0,300.0,390.0,S001,1312.4715825390365,1.2679999605907624,20.0,0.051000000000000004,71.82222309798306
P00035,U07,C,C-B01,0.0,300.0,540.0,S001,1627.4267416985467,3.004662059347582,78.0,0.23500000000000001,62.44172425815522
P00037,U04,A,A-B02,2047.0,2347.0,2407.0,S002,4054.732659143701,2.9291056520786074,17.0,0.039,34.90876328714205
P00040,U08,C,C-B04,1749.0,2049.0,2229.0,S002,3860.0081265825384,6.12498843027008,64.0,0.17200000000000001,23.437644621624
P00041,U02,A,A-B06,3999.0,4299.0,4359.0,S003,6261.278664396717,2.98110828373102,17.0,0.039,33.75314925042178
P00044,U08,C,C-B01,3861.0,4161.0,4341.0,S003,6296.810858112425,6.1476824567455175,64.0,0.17200000000000001,23.153969290681033
P00049,U01,A,A-B01,4239.0,4539.0,4599.0,S005,5934.759325243764,2.129487386151858,17.0,0.039,52.678058085514266
P00052,U08,C,C-B02,0.0,300.0,420.0,S005,1748.0456170960524,3.801896648845467,42.0,0.117,52.47629188943166
P00053,U03,A,A-B01,2047.0,2347.0,2407.0,S006,3359.6157157640037,1.3095542466968424,17.0,0.039,70.89879451784795
P00057,U01,A,A-B03,2386.0,2686.0,2746.0,S007,4113.318639736191,1.9050428648829452,17.0,0.039,57.665714113712326
P00071,U04,A,A-B04,0.0,300.0,360.0,S010,1653.8535692154742,1.9524999797660452,17.0,0.039,56.61111156075456
P00077,U04,A,A-B04,4853.0,5153.0,5213.0,S011,6076.535862069539,1.1554653973561329,17.0,0.039,74.32299116986371
P00081,U05,B,B-B03,5260.0,5560.0,5590.0,S011,6329.6308045644855,0.8969240384782713,8.0,0.028,77.57689903804321
P00089,U02,A,A-B06,1193.0,1493.0,1553.0,S013,2805.024508122992,1.9577132427346737,17.0,0.039,56.495261272562814
P00107,U03,A,A-B05,3360.0,3660.0,3720.0,S013→S010,5369.993455329423,2.2463659463996954,16.0,0.056,50.08075674667343
P00118,U07,C,C-B03,1628.0,1928.0,2138.0,S006→S007,4041.779412820788,4.28806196620504,70.0,0.20700000000000002,46.399225422437
P00137,U01,A,A-B05,1193.0,1493.0,1523.0,S001,2385.4715825390367,1.22305291301593,14.0,0.027,72.82104637742377
P00140,U02,A,A-B04,2806.0,3106.0,3136.0,S001,3998.4715825390367,1.22305291301593,14.0,0.027,72.82104637742377
P00143,U01,A,A-B01,0.0,300.0,330.0,S001,1192.4715825390365,1.22305291301593,14.0,0.027,72.82104637742377
P00146,U02,A,A-B02,0.0,300.0,330.0,S001,1192.4715825390365,1.22305291301593,14.0,0.027,72.82104637742377
