K,group,resource,task_id,start_s,end_s,half_open
2,1,A_airframe,P00032,0.0,1312.4715825390365,True
2,1,A_airframe,P00037,1798.0,3805.732659143701,True
2,1,A_airframe,P00041,2181.0,4443.278664396717,True
2,1,A_airframe,P00049,4826.0,6521.759325243764,True
2,1,A_airframe,P00053,1.0,1313.6157157640037,True
2,1,A_airframe,P00057,2193.0,3920.3186397361906,True
2,1,A_airframe,P00071,12.0,1665.8535692154742,True
2,1,A_airframe,P00089,1313.0,2925.024508122992,True
2,1,A_airframe,P00107,28.0,2037.9934553294233,True
2,1,A_airframe,P00137,3379.0,4571.471582539037,True
2,1,A_airframe,P00140,3806.0,4998.471582539037,True
2,1,A_airframe,P00143,4972.0,6164.471582539037,True
2,1,A_airframe,P00146,5153.0,6345.471582539037,True
2,1,B_airframe,P00014,3812.0,5372.77979054711,True
2,2,B_airframe,P00018,5373.0,6562.6308045644855,True
2,1,B_airframe,P00020,62.0,1985.8014006521175,True
2,1,B_airframe,P00024,5.0,1873.5984478690452,True
2,1,B_airframe,P00026,1874.0,3703.5741010160095,True
2,1,B_airframe,P00028,1986.0,3951.890111994297,True
2,1,B_airframe,P00030,3952.0,5857.890111994297,True
2,1,C_airframe,P00009,4064.0,6369.185491467791,True
2,1,C_airframe,P00035,0.0,1627.4267416985467,True
2,1,C_airframe,P00040,0.0,2111.0081265825384,True
2,1,C_airframe,P00044,1628.0,4063.8108581124256,True
2,1,C_airframe,P00052,4814.0,6562.045617096052,True
2,1,C_airframe,P00118,2112.0,4525.779412820788,True
2,1,A_battery,P00032,0.0,2178.782682265257,True
2,1,A_battery,P00037,1798.0,5151.918736410854,True
2,1,A_battery,P00041,2181.0,5804.487724141234,True
2,1,A_battery,P00049,4826.0,7636.944570132078,True
2,1,A_battery,P00053,1.0,2191.93138703198,True
2,1,A_battery,P00057,2193.0,4970.66435625793,True
2,1,A_battery,P00071,12.0,2729.909118925665,True
2,1,A_battery,P00089,1313.0,3990.586111579675,True
2,1,A_battery,P00107,28.0,3186.943617622669,True
2,1,A_battery,P00137,3379.0,5424.797979632528,True
2,1,A_battery,P00140,3806.0,5851.797979632528,True
2,1,A_battery,P00143,4972.0,7017.797979632528,True
2,1,A_battery,P00146,5153.0,7198.797979632528,True
2,1,B_battery,P00014,3812.0,6950.499924449938,True
2,2,B_battery,P00018,5373.0,7696.060797780143,True
2,1,B_battery,P00020,62.0,3846.3852377580615,True
2,1,B_battery,P00024,5.0,3466.3992920841874,True
2,1,B_battery,P00026,1874.0,5371.607251386906,True
2,1,B_battery,P00028,1986.0,5912.481514726555,True
2,1,B_battery,P00030,3952.0,7726.374726325144,True
2,1,C_battery,P00009,4064.0,8875.418030807145,True
2,1,C_battery,P00035,0.0,3274.522716105184,True
2,1,C_battery,P00040,0.0,4603.192493114018,True
2,1,C_battery,P00044,1628.0,6562.141523481003,True
2,1,C_battery,P00052,4814.0,8425.059292825033,True
2,1,C_battery,P00118,2112.0,6520.46286200132,True
2,1,relay_airframe,RU-001,71.44458569527194,3359.3541773255615,True
2,1,relay_airframe,RU-002,1690.78248886549,5080.069623968169,True
2,1,relay_airframe,RU-003,3692.768565606437,6805.849413824716,True
2,1,relay_airframe,RU-004,5082.604169505274,6812.5910689896,True
2,1,relay_energy,RU-001,71.44458569527194,3892.2959352703842,True
2,1,relay_energy,RU-002,1690.78248886549,5614.672945332953,True
2,1,relay_energy,RU-003,3692.768565606437,7325.1923824798205,True
2,1,relay_energy,RU-004,5082.604169505274,7157.159686347033,True
