运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号,直连路径损耗（dB）,直连门限（dB）
P00147,leg1-climb,330.0,339.6904406738281,直连,,54.80497750786803,122.0
P00143,leg1-climb,337.0,346.6904406738281,直连,,54.80497750786803,122.0
P00147,leg1-climb,339.6904406738281,349.38088134765627,直连,,67.51503459175112,122.0
P00143,leg1-climb,346.6904406738281,356.38088134765627,直连,,67.51503459175112,122.0
P00147,leg1-climb,349.38088134765627,359.0713220214844,直连,,74.48686069242545,122.0
P00143,leg1-climb,356.38088134765627,366.0713220214844,直连,,74.48686069242545,122.0
P00147,leg1-climb,359.0713220214844,368.76176269531254,直连,,78.30394043774606,122.0
P00053,leg1-climb,360.0,369.93324330647783,直连,,54.20585834236107,122.0
P00143,leg1-climb,366.0713220214844,375.76176269531254,直连,,78.30394043774606,122.0
P00147,leg1-climb,368.76176269531254,378.45220336914065,直连,,80.94666213903065,122.0
P00053,leg1-climb,369.93324330647783,379.8664866129557,直连,,67.908021435302,122.0
P00143,leg1-climb,375.76176269531254,385.45220336914065,直连,,80.94666213903065,122.0
P00147,leg1-cruise,378.45220336914065,388.17731869069274,直连,,83.28353644380317,122.0
P00053,leg1-climb,379.8664866129557,389.7997299194336,直连,,74.78204726946568,122.0
P00143,leg1-cruise,385.45220336914065,395.2708294149384,直连,,82.88383902694989,122.0
P00147,leg1-cruise,388.17731869069274,393.0398763514688,直连,,86.95310959683883,122.0
P00053,leg1-climb,389.7997299194336,399.73297322591145,直连,,78.57067892861296,122.0
P00147,leg1-cruise,393.0398763514688,397.90243401224484,直连,,89.13297145284443,122.0
P00143,leg1-cruise,395.2708294149384,405.0894554607362,直连,,86.77063365844988,122.0
P00147,leg1-cruise,397.90243401224484,402.76499167302086,直连,,90.96904582032133,122.0
P00053,leg1-climb,399.73297322591145,409.6662165323893,直连,,81.19984520234055,122.0
P00147,leg1-cruise,402.76499167302086,407.6275493337969,直连,,92.52533379544903,122.0
P00143,leg1-cruise,405.0894554607362,414.90808150653396,直连,,90.16068595088801,122.0
P00147,leg1-cruise,407.6275493337969,412.4901069945729,直连,,93.8652047943,122.0
P00053,leg1-climb,409.6662165323893,419.5994598388672,直连,,83.21535105027098,122.0
P00147,leg1-cruise,412.4901069945729,417.352664655349,直连,,95.0369496468407,122.0
P00143,leg1-cruise,414.90808150653396,424.72670755233173,直连,,92.74417043864779,122.0
P00147,leg1-cruise,417.352664655349,422.21522231612505,直连,,96.0758495781406,122.0
P00107,leg1-climb,418.0,427.04939412434896,直连,,56.2129160027533,122.0
P00053,leg1-climb,419.5994598388672,429.53270314534507,直连,,84.85013341755516,122.0
P00147,leg1-cruise,422.21522231612505,427.07777997690107,直连,,97.00778546221129,122.0
P00143,leg1-cruise,424.72670755233173,434.5453335981295,直连,,94.77944721369933,122.0
P00107,leg1-climb,427.04939412434896,436.09878824869793,直连,,66.38297288678419,122.0
P00147,leg1-cruise,427.07777997690107,431.9403376376771,直连,,97.8520566432842,122.0
P00053,leg1-climb,429.53270314534507,439.4659464518229,直连,,86.22542664716444,122.0
P00147,leg1-cruise,431.9403376376771,436.80289529845317,直连,,98.62333273407312,122.0
P00143,leg1-cruise,434.5453335981295,444.3639596439273,直连,,96.44576962711744,122.0
P00107,leg1-climb,436.09878824869793,445.1481823730469,直连,,73.65557611128986,122.0
P00147,leg1-cruise,436.80289529845317,441.6654529592292,直连,,99.33297510855927,122.0
P00053,leg1-cruise,439.4659464518229,449.2839504896497,直连,,87.14418816324618,122.0
P00147,leg1-cruise,441.6654529592292,446.5280106200052,直连,,99.98993672592563,122.0
P00143,leg1-cruise,444.3639596439273,454.1825856897251,直连,,97.8520566432842,122.0
P00107,leg1-climb,445.1481823730469,454.19757649739586,直连,,77.55760837078127,122.0
P00147,leg1-cruise,446.5280106200052,456.2531259415573,直连,,100.89190152621748,122.0
P00053,leg1-cruise,449.2839504896497,454.19295250856317,直连,,88.46694117382063,122.0
P00037,leg1-climb,453.0,461.6311549595424,直连,,57.0220320104171,122.0
P00143,leg1-cruise,454.1825856897251,464.0012117355228,直连,,99.06671421641943,122.0
P00053,leg1-cruise,454.19295250856317,459.1019545274766,直连,,89.60661687358545,122.0
P00107,leg1-climb,454.19757649739586,463.2469706217448,直连,,80.24042241053876,122.0
P00147,leg1-cruise,456.2531259415573,461.1156836023333,直连,,101.70997271261015,122.0
P00053,leg1-cruise,459.1019545274766,468.91995856530343,直连,,91.33986635610543,122.0
P00147,leg1-cruise,461.1156836023333,465.9782412631094,直连,,102.2158735002532,122.0
P00037,leg1-climb,461.6311549595424,470.2623099190848,直连,,65.55593377326753,122.0
P00107,leg1-climb,463.2469706217448,472.29636474609373,直连,,82.2872031221879,122.0
P00143,leg1-cruise,464.0012117355228,473.81983778132064,直连,,100.13484872048119,122.0
P00147,leg1-cruise,465.9782412631094,470.8407989238855,直连,,102.69417775738575,122.0
P00053,leg1-cruise,468.91995856530343,478.73796260313026,直连,,93.4334944376099,122.0
P00037,leg1-climb,470.2623099190848,478.89346487862724,直连,,73.06691391177247,122.0
P00147,leg1-cruise,470.8407989238855,475.7033565846615,直连,,103.14771693998803,122.0
P00107,leg1-climb,472.29636474609373,481.3457588704427,直连,,83.94246818974946,122.0
P00143,leg1-cruise,473.81983778132064,483.6384638271184,直连,,101.08755538491656,122.0
P00147,leg1-cruise,475.7033565846615,480.5659142454375,直连,,103.57891123289369,122.0
P00053,leg1-cruise,478.73796260313026,488.55596664095714,直连,,95.22326313354593,122.0
P00037,leg1-climb,478.89346487862724,487.52461983816966,直连,,77.03365564741469,122.0
P00147,leg1-cruise,480.5659142454375,485.42847190621353,直连,,103.98984494957003,122.0
P00107,leg1-climb,481.3457588704427,490.39515299479166,直连,,85.33221615138905,122.0
P00020,leg1-climb,482.0,491.5200331624349,直连,,55.20206987342256,122.0
P00143,leg1-cruise,483.6384638271184,493.4570898729162,直连,,101.94709420372484,122.0
P00147,leg1-cruise,485.42847190621353,490.29102956698955,直连,,114.3823255321554,122.0
P00037,leg1-climb,487.52461983816966,496.15577479771207,直连,,79.74662436906455,122.0
P00053,leg1-cruise,488.55596664095714,498.37397067878396,直连,,96.75282535347614,122.0
P00147,leg1-cruise,490.29102956698955,495.1535872277656,直连,,114.75793022341097,122.0
P00107,leg1-climb,490.39515299479166,499.4445471191406,直连,,86.52997009376686,122.0
P00020,leg1-climb,491.5200331624349,501.0400663248698,直连,,67.22820357699511,122.0
P00143,leg1-cruise,493.4570898729162,503.27571591871396,直连,,102.72991147153638,122.0
P00147,leg1-cruise,495.1535872277656,500.0161448885417,直连,,115.11804335831835,122.0
P00037,leg1-climb,496.15577479771207,504.7869297572545,直连,,81.81085065026684,122.0
P00053,leg1-cruise,498.37397067878396,508.1919747166108,直连,,98.0761533209399,122.0
P00107,leg1-climb,499.4445471191406,508.4939412434896,直连,,87.58239599079008,122.0
P00147,leg1-cruise,500.0161448885417,504.8787025493177,直连,,115.46388643738172,122.0
P00020,leg1-climb,501.0400663248698,510.5600994873047,直连,,74.27352924398483,122.0
P00040,leg1-climb,503.0,512.0627127075195,直连,,58.81621869882936,122.0
P00143,leg1-cruise,503.27571591871396,513.0943419645117,直连,,103.44848484892461,122.0
P00037,leg1-climb,504.7869297572545,513.4180847167969,直连,,83.47748838814795,122.0
P00147,leg1-cruise,504.8787025493177,509.74126021009374,直连,,115.79654258722702,122.0
P00053,leg1-cruise,508.1919747166108,518.0099787544376,直连,,99.23704115616549,122.0
