服务区编号,货箱数,往返架次数,总能耗（kWh）,累计作业时间（s）,未交付箱数
S001,15,2,5.93089945025946,3188.853483397093,0
S002,8,2,8.461231626451465,3864.89816844828,0
S003,8,2,8.54238336415678,4450.053670163654,0
S004,6,1,6.176858606791459,2305.1854914677906,0
S005,6,1,4.238735064547415,1880.0456170960524,0
S006,6,1,2.593934934324972,1560.8638852739632,0
S007,5,1,3.410375992447636,1907.4821014862184,0
S008,5,1,5.857451478257397,2203.759889419427,0
S009,3,1,2.102431078237294,1560.77979054711,0
S010,3,1,1.821004406007365,1554.5722391614418,0
S011,3,1,1.0771461381899774,1189.6308045644855,0
S012,3,1,2.7551934702444854,1923.8014006521173,0
S013,3,1,1.8245337426160748,1510.4009414593309,0
S014,3,1,2.1372327174195584,1868.5984478690448,0
S015,3,1,2.3108457316251445,1829.5741010160093,0
